"","Statistic","Year","Type.of.Crop","value"
"115","Variation in Cereal Stocks (000 Tonnes)","2004","14",NA
"116","Cereal Products for Domestic Use (000 Tonnes)","2004","14",NA
"117","Cereal Products for Other Uses (000 Tonnes)","2004","14",NA
"118","Human Consumption of Cereal Products (000 Tonnes)","2004","14",NA
"119","Consumption per Person of Cereal Products (Kg)","2004","14",NA
"120","Self Sufficiency in Cereal Products (%)","2004","14",NA
"121","Usable Cereal Production (000 Tonnes)","2005","14",NA
"122","Cereal Imports (000 Tonnes)","2005","14",NA
"123","Supplies = Uses of Cereal Products (000 Tonnes)","2005","14",NA
"124","Cereal Exports (000 Tonnes)","2005","14",NA
"125","Variation in Cereal Stocks (000 Tonnes)","2005","14",NA
"126","Cereal Products for Domestic Use (000 Tonnes)","2005","14",NA
"127","Cereal Products for Other Uses (000 Tonnes)","2005","14",NA
"128","Human Consumption of Cereal Products (000 Tonnes)","2005","14",NA
"129","Consumption per Person of Cereal Products (Kg)","2005","14",NA
"130","Self Sufficiency in Cereal Products (%)","2005","14",NA
"131","Usable Cereal Production (000 Tonnes)","2006","14",NA
"132","Cereal Imports (000 Tonnes)","2006","14",NA
"133","Supplies = Uses of Cereal Products (000 Tonnes)","2006","14",NA
"134","Cereal Exports (000 Tonnes)","2006","14",NA
"135","Variation in Cereal Stocks (000 Tonnes)","2006","14",NA
"136","Cereal Products for Domestic Use (000 Tonnes)","2006","14",NA
"137","Cereal Products for Other Uses (000 Tonnes)","2006","14",NA
"138","Human Consumption of Cereal Products (000 Tonnes)","2006","14",NA
"139","Consumption per Person of Cereal Products (Kg)","2006","14",NA
"140","Self Sufficiency in Cereal Products (%)","2006","14",NA
"141","Usable Cereal Production (000 Tonnes)","2007","14",NA
"142","Cereal Imports (000 Tonnes)","2007","14",NA
"143","Supplies = Uses of Cereal Products (000 Tonnes)","2007","14",NA
"144","Cereal Exports (000 Tonnes)","2007","14",NA
"145","Variation in Cereal Stocks (000 Tonnes)","2007","14",NA
"146","Cereal Products for Domestic Use (000 Tonnes)","2007","14",NA
"147","Cereal Products for Other Uses (000 Tonnes)","2007","14",NA
"148","Human Consumption of Cereal Products (000 Tonnes)","2007","14",NA
"149","Consumption per Person of Cereal Products (Kg)","2007","14",NA
"150","Self Sufficiency in Cereal Products (%)","2007","14",NA
"151","Usable Cereal Production (000 Tonnes)","2008","14",NA
"152","Cereal Imports (000 Tonnes)","2008","14",NA
"153","Supplies = Uses of Cereal Products (000 Tonnes)","2008","14",NA
"154","Cereal Exports (000 Tonnes)","2008","14",NA
"155","Variation in Cereal Stocks (000 Tonnes)","2008","14",NA
"156","Cereal Products for Domestic Use (000 Tonnes)","2008","14",NA
"157","Cereal Products for Other Uses (000 Tonnes)","2008","14",NA
"158","Human Consumption of Cereal Products (000 Tonnes)","2008","14",NA
"159","Consumption per Person of Cereal Products (Kg)","2008","14",NA
"160","Self Sufficiency in Cereal Products (%)","2008","14",NA
"161","Usable Cereal Production (000 Tonnes)","2009","14",NA
"162","Cereal Imports (000 Tonnes)","2009","14",NA
"163","Supplies = Uses of Cereal Products (000 Tonnes)","2009","14",NA
"164","Cereal Exports (000 Tonnes)","2009","14",NA
"165","Variation in Cereal Stocks (000 Tonnes)","2009","14",NA
"166","Cereal Products for Domestic Use (000 Tonnes)","2009","14",NA
"167","Cereal Products for Other Uses (000 Tonnes)","2009","14",NA
"168","Human Consumption of Cereal Products (000 Tonnes)","2009","14",NA
"169","Consumption per Person of Cereal Products (Kg)","2009","14",NA
"170","Self Sufficiency in Cereal Products (%)","2009","14",NA
"171","Usable Cereal Production (000 Tonnes)","2010","14",NA
"172","Cereal Imports (000 Tonnes)","2010","14",NA
"173","Supplies = Uses of Cereal Products (000 Tonnes)","2010","14",NA
"174","Cereal Exports (000 Tonnes)","2010","14",NA
"175","Variation in Cereal Stocks (000 Tonnes)","2010","14",NA
"176","Cereal Products for Domestic Use (000 Tonnes)","2010","14",NA
"177","Cereal Products for Other Uses (000 Tonnes)","2010","14",NA
"178","Human Consumption of Cereal Products (000 Tonnes)","2010","14",NA
"179","Consumption per Person of Cereal Products (Kg)","2010","14",NA
"180","Self Sufficiency in Cereal Products (%)","2010","14",NA
"181","Usable Cereal Production (000 Tonnes)","2011","14",NA
"182","Cereal Imports (000 Tonnes)","2011","14",NA
"183","Supplies = Uses of Cereal Products (000 Tonnes)","2011","14",NA
"184","Cereal Exports (000 Tonnes)","2011","14",NA
"185","Variation in Cereal Stocks (000 Tonnes)","2011","14",NA
"186","Cereal Products for Domestic Use (000 Tonnes)","2011","14",NA
"187","Cereal Products for Other Uses (000 Tonnes)","2011","14",NA
"188","Human Consumption of Cereal Products (000 Tonnes)","2011","14",NA
"189","Consumption per Person of Cereal Products (Kg)","2011","14",NA
"190","Self Sufficiency in Cereal Products (%)","2011","14",NA
"191","Usable Cereal Production (000 Tonnes)","2012","14",NA
"192","Cereal Imports (000 Tonnes)","2012","14",NA
"193","Supplies = Uses of Cereal Products (000 Tonnes)","2012","14",NA
"194","Cereal Exports (000 Tonnes)","2012","14",NA
"195","Variation in Cereal Stocks (000 Tonnes)","2012","14",NA
"196","Cereal Products for Domestic Use (000 Tonnes)","2012","14",NA
"197","Cereal Products for Other Uses (000 Tonnes)","2012","14",NA
"198","Human Consumption of Cereal Products (000 Tonnes)","2012","14",NA
"199","Consumption per Person of Cereal Products (Kg)","2012","14",NA
"200","Self Sufficiency in Cereal Products (%)","2012","14",NA
"201","Usable Cereal Production (000 Tonnes)","1993","11",NA
"202","Cereal Imports (000 Tonnes)","1993","11",NA
"203","Supplies = Uses of Cereal Products (000 Tonnes)","1993","11",NA
"204","Cereal Exports (000 Tonnes)","1993","11",NA
"205","Variation in Cereal Stocks (000 Tonnes)","1993","11",NA
"206","Cereal Products for Domestic Use (000 Tonnes)","1993","11",NA
"207","Cereal Products for Other Uses (000 Tonnes)","1993","11",NA
"208","Human Consumption of Cereal Products (000 Tonnes)","1993","11",NA
"209","Consumption per Person of Cereal Products (Kg)","1993","11",NA
"210","Self Sufficiency in Cereal Products (%)","1993","11",NA
"211","Usable Cereal Production (000 Tonnes)","1994","11",NA
"212","Cereal Imports (000 Tonnes)","1994","11",NA
"213","Supplies = Uses of Cereal Products (000 Tonnes)","1994","11",NA
"214","Cereal Exports (000 Tonnes)","1994","11",NA
"215","Variation in Cereal Stocks (000 Tonnes)","1994","11",NA
"216","Cereal Products for Domestic Use (000 Tonnes)","1994","11",NA
"217","Cereal Products for Other Uses (000 Tonnes)","1994","11",NA
"218","Human Consumption of Cereal Products (000 Tonnes)","1994","11",NA
"219","Consumption per Person of Cereal Products (Kg)","1994","11",NA
"220","Self Sufficiency in Cereal Products (%)","1994","11",NA
"221","Usable Cereal Production (000 Tonnes)","1995","11",NA
"222","Cereal Imports (000 Tonnes)","1995","11",NA
"223","Supplies = Uses of Cereal Products (000 Tonnes)","1995","11",NA
"224","Cereal Exports (000 Tonnes)","1995","11",NA
"225","Variation in Cereal Stocks (000 Tonnes)","1995","11",NA
"226","Cereal Products for Domestic Use (000 Tonnes)","1995","11",NA
"227","Cereal Products for Other Uses (000 Tonnes)","1995","11",NA
"228","Human Consumption of Cereal Products (000 Tonnes)","1995","11",NA
"229","Consumption per Person of Cereal Products (Kg)","1995","11",NA
"230","Self Sufficiency in Cereal Products (%)","1995","11",NA
"231","Usable Cereal Production (000 Tonnes)","1996","11",NA
"232","Cereal Imports (000 Tonnes)","1996","11",NA
"233","Supplies = Uses of Cereal Products (000 Tonnes)","1996","11",NA
"234","Cereal Exports (000 Tonnes)","1996","11",NA
"235","Variation in Cereal Stocks (000 Tonnes)","1996","11",NA
"236","Cereal Products for Domestic Use (000 Tonnes)","1996","11",NA
"237","Cereal Products for Other Uses (000 Tonnes)","1996","11",NA
"238","Human Consumption of Cereal Products (000 Tonnes)","1996","11",NA
"239","Consumption per Person of Cereal Products (Kg)","1996","11",NA
"240","Self Sufficiency in Cereal Products (%)","1996","11",NA
"241","Usable Cereal Production (000 Tonnes)","1997","11",NA
"242","Cereal Imports (000 Tonnes)","1997","11",NA
"243","Supplies = Uses of Cereal Products (000 Tonnes)","1997","11",NA
"244","Cereal Exports (000 Tonnes)","1997","11",NA
"245","Variation in Cereal Stocks (000 Tonnes)","1997","11",NA
"246","Cereal Products for Domestic Use (000 Tonnes)","1997","11",NA
"247","Cereal Products for Other Uses (000 Tonnes)","1997","11",NA
"248","Human Consumption of Cereal Products (000 Tonnes)","1997","11",NA
"249","Consumption per Person of Cereal Products (Kg)","1997","11",NA
"250","Self Sufficiency in Cereal Products (%)","1997","11",NA
"251","Usable Cereal Production (000 Tonnes)","1998","11",NA
"252","Cereal Imports (000 Tonnes)","1998","11",NA
"253","Supplies = Uses of Cereal Products (000 Tonnes)","1998","11",NA
"254","Cereal Exports (000 Tonnes)","1998","11",NA
"255","Variation in Cereal Stocks (000 Tonnes)","1998","11",NA
"256","Cereal Products for Domestic Use (000 Tonnes)","1998","11",NA
"257","Cereal Products for Other Uses (000 Tonnes)","1998","11",NA
"258","Human Consumption of Cereal Products (000 Tonnes)","1998","11",NA
"259","Consumption per Person of Cereal Products (Kg)","1998","11",NA
"260","Self Sufficiency in Cereal Products (%)","1998","11",NA
"261","Usable Cereal Production (000 Tonnes)","1999","11",NA
"262","Cereal Imports (000 Tonnes)","1999","11",NA
"263","Supplies = Uses of Cereal Products (000 Tonnes)","1999","11",NA
"264","Cereal Exports (000 Tonnes)","1999","11",NA
"265","Variation in Cereal Stocks (000 Tonnes)","1999","11",NA
"266","Cereal Products for Domestic Use (000 Tonnes)","1999","11",NA
"267","Cereal Products for Other Uses (000 Tonnes)","1999","11",NA
"268","Human Consumption of Cereal Products (000 Tonnes)","1999","11",NA
"269","Consumption per Person of Cereal Products (Kg)","1999","11",NA
"270","Self Sufficiency in Cereal Products (%)","1999","11",NA
"271","Usable Cereal Production (000 Tonnes)","2000","11",NA
"272","Cereal Imports (000 Tonnes)","2000","11",NA
"273","Supplies = Uses of Cereal Products (000 Tonnes)","2000","11",NA
"274","Cereal Exports (000 Tonnes)","2000","11",NA
"275","Variation in Cereal Stocks (000 Tonnes)","2000","11",NA
"276","Cereal Products for Domestic Use (000 Tonnes)","2000","11",NA
"277","Cereal Products for Other Uses (000 Tonnes)","2000","11",NA
"278","Human Consumption of Cereal Products (000 Tonnes)","2000","11",NA
"279","Consumption per Person of Cereal Products (Kg)","2000","11",NA
"280","Self Sufficiency in Cereal Products (%)","2000","11",NA
"281","Usable Cereal Production (000 Tonnes)","2001","11",NA
"282","Cereal Imports (000 Tonnes)","2001","11",NA
"283","Supplies = Uses of Cereal Products (000 Tonnes)","2001","11",NA
"284","Cereal Exports (000 Tonnes)","2001","11",NA
"285","Variation in Cereal Stocks (000 Tonnes)","2001","11",NA
"286","Cereal Products for Domestic Use (000 Tonnes)","2001","11",NA
"287","Cereal Products for Other Uses (000 Tonnes)","2001","11",NA
"288","Human Consumption of Cereal Products (000 Tonnes)","2001","11",NA
"289","Consumption per Person of Cereal Products (Kg)","2001","11",NA
"290","Self Sufficiency in Cereal Products (%)","2001","11",NA
"291","Usable Cereal Production (000 Tonnes)","2002","11",NA
"292","Cereal Imports (000 Tonnes)","2002","11",NA
"293","Supplies = Uses of Cereal Products (000 Tonnes)","2002","11",NA
"294","Cereal Exports (000 Tonnes)","2002","11",NA
"295","Variation in Cereal Stocks (000 Tonnes)","2002","11",NA
"296","Cereal Products for Domestic Use (000 Tonnes)","2002","11",NA
"297","Cereal Products for Other Uses (000 Tonnes)","2002","11",NA
"298","Human Consumption of Cereal Products (000 Tonnes)","2002","11",NA
"299","Consumption per Person of Cereal Products (Kg)","2002","11",NA
"300","Self Sufficiency in Cereal Products (%)","2002","11",NA
"301","Usable Cereal Production (000 Tonnes)","2003","11",NA
"302","Cereal Imports (000 Tonnes)","2003","11",NA
"303","Supplies = Uses of Cereal Products (000 Tonnes)","2003","11",NA
"304","Cereal Exports (000 Tonnes)","2003","11",NA
"305","Variation in Cereal Stocks (000 Tonnes)","2003","11",NA
"306","Cereal Products for Domestic Use (000 Tonnes)","2003","11",NA
"307","Cereal Products for Other Uses (000 Tonnes)","2003","11",NA
"308","Human Consumption of Cereal Products (000 Tonnes)","2003","11",NA
"309","Consumption per Person of Cereal Products (Kg)","2003","11",NA
"310","Self Sufficiency in Cereal Products (%)","2003","11",NA
"311","Usable Cereal Production (000 Tonnes)","2004","11",NA
"312","Cereal Imports (000 Tonnes)","2004","11",NA
"313","Supplies = Uses of Cereal Products (000 Tonnes)","2004","11",NA
"314","Cereal Exports (000 Tonnes)","2004","11",NA
"315","Variation in Cereal Stocks (000 Tonnes)","2004","11",NA
"316","Cereal Products for Domestic Use (000 Tonnes)","2004","11",NA
"317","Cereal Products for Other Uses (000 Tonnes)","2004","11",NA
"318","Human Consumption of Cereal Products (000 Tonnes)","2004","11",NA
"319","Consumption per Person of Cereal Products (Kg)","2004","11",NA
"320","Self Sufficiency in Cereal Products (%)","2004","11",NA
"321","Usable Cereal Production (000 Tonnes)","2005","11",NA
"322","Cereal Imports (000 Tonnes)","2005","11",NA
"323","Supplies = Uses of Cereal Products (000 Tonnes)","2005","11",NA
"324","Cereal Exports (000 Tonnes)","2005","11",NA
"325","Variation in Cereal Stocks (000 Tonnes)","2005","11",NA
"326","Cereal Products for Domestic Use (000 Tonnes)","2005","11",NA
"327","Cereal Products for Other Uses (000 Tonnes)","2005","11",NA
"328","Human Consumption of Cereal Products (000 Tonnes)","2005","11",NA
"329","Consumption per Person of Cereal Products (Kg)","2005","11",NA
"330","Self Sufficiency in Cereal Products (%)","2005","11",NA
"331","Usable Cereal Production (000 Tonnes)","2006","11",NA
"332","Cereal Imports (000 Tonnes)","2006","11",NA
"333","Supplies = Uses of Cereal Products (000 Tonnes)","2006","11",NA
"334","Cereal Exports (000 Tonnes)","2006","11",NA
"335","Variation in Cereal Stocks (000 Tonnes)","2006","11",NA
"336","Cereal Products for Domestic Use (000 Tonnes)","2006","11",NA
"337","Cereal Products for Other Uses (000 Tonnes)","2006","11",NA
"338","Human Consumption of Cereal Products (000 Tonnes)","2006","11",NA
"339","Consumption per Person of Cereal Products (Kg)","2006","11",NA
"340","Self Sufficiency in Cereal Products (%)","2006","11",NA
"341","Usable Cereal Production (000 Tonnes)","2007","11",NA
"342","Cereal Imports (000 Tonnes)","2007","11",NA
"343","Supplies = Uses of Cereal Products (000 Tonnes)","2007","11",NA
"344","Cereal Exports (000 Tonnes)","2007","11",NA
"345","Variation in Cereal Stocks (000 Tonnes)","2007","11",NA
"346","Cereal Products for Domestic Use (000 Tonnes)","2007","11",NA
"347","Cereal Products for Other Uses (000 Tonnes)","2007","11",NA
"348","Human Consumption of Cereal Products (000 Tonnes)","2007","11",NA
"349","Consumption per Person of Cereal Products (Kg)","2007","11",NA
"350","Self Sufficiency in Cereal Products (%)","2007","11",NA
"351","Usable Cereal Production (000 Tonnes)","2008","11",NA
"352","Cereal Imports (000 Tonnes)","2008","11",NA
"353","Supplies = Uses of Cereal Products (000 Tonnes)","2008","11",NA
"354","Cereal Exports (000 Tonnes)","2008","11",NA
"355","Variation in Cereal Stocks (000 Tonnes)","2008","11",NA
"356","Cereal Products for Domestic Use (000 Tonnes)","2008","11",NA
"357","Cereal Products for Other Uses (000 Tonnes)","2008","11",NA
"358","Human Consumption of Cereal Products (000 Tonnes)","2008","11",NA
"359","Consumption per Person of Cereal Products (Kg)","2008","11",NA
"360","Self Sufficiency in Cereal Products (%)","2008","11",NA
"361","Usable Cereal Production (000 Tonnes)","2009","11",NA
"362","Cereal Imports (000 Tonnes)","2009","11",NA
"363","Supplies = Uses of Cereal Products (000 Tonnes)","2009","11",NA
"364","Cereal Exports (000 Tonnes)","2009","11",NA
"365","Variation in Cereal Stocks (000 Tonnes)","2009","11",NA
"366","Cereal Products for Domestic Use (000 Tonnes)","2009","11",NA
"367","Cereal Products for Other Uses (000 Tonnes)","2009","11",NA
"368","Human Consumption of Cereal Products (000 Tonnes)","2009","11",NA
"369","Consumption per Person of Cereal Products (Kg)","2009","11",NA
"370","Self Sufficiency in Cereal Products (%)","2009","11",NA
"371","Usable Cereal Production (000 Tonnes)","2010","11",NA
"372","Cereal Imports (000 Tonnes)","2010","11",NA
"373","Supplies = Uses of Cereal Products (000 Tonnes)","2010","11",NA
"374","Cereal Exports (000 Tonnes)","2010","11",NA
"375","Variation in Cereal Stocks (000 Tonnes)","2010","11",NA
"376","Cereal Products for Domestic Use (000 Tonnes)","2010","11",NA
"377","Cereal Products for Other Uses (000 Tonnes)","2010","11",NA
"378","Human Consumption of Cereal Products (000 Tonnes)","2010","11",NA
"379","Consumption per Person of Cereal Products (Kg)","2010","11",NA
"380","Self Sufficiency in Cereal Products (%)","2010","11",NA
"381","Usable Cereal Production (000 Tonnes)","2011","11",NA
"382","Cereal Imports (000 Tonnes)","2011","11",NA
"383","Supplies = Uses of Cereal Products (000 Tonnes)","2011","11",NA
"384","Cereal Exports (000 Tonnes)","2011","11",NA
"385","Variation in Cereal Stocks (000 Tonnes)","2011","11",NA
"386","Cereal Products for Domestic Use (000 Tonnes)","2011","11",NA
"387","Cereal Products for Other Uses (000 Tonnes)","2011","11",NA
"388","Human Consumption of Cereal Products (000 Tonnes)","2011","11",NA
"389","Consumption per Person of Cereal Products (Kg)","2011","11",NA
"390","Self Sufficiency in Cereal Products (%)","2011","11",NA
"391","Usable Cereal Production (000 Tonnes)","2012","11",NA
"392","Cereal Imports (000 Tonnes)","2012","11",NA
"393","Supplies = Uses of Cereal Products (000 Tonnes)","2012","11",NA
"394","Cereal Exports (000 Tonnes)","2012","11",NA
"395","Variation in Cereal Stocks (000 Tonnes)","2012","11",NA
"396","Cereal Products for Domestic Use (000 Tonnes)","2012","11",NA
"397","Cereal Products for Other Uses (000 Tonnes)","2012","11",NA
"398","Human Consumption of Cereal Products (000 Tonnes)","2012","11",NA
"399","Consumption per Person of Cereal Products (Kg)","2012","11",NA
"400","Self Sufficiency in Cereal Products (%)","2012","11",NA
"401","Usable Cereal Production (000 Tonnes)","1993","05",NA
"402","Cereal Imports (000 Tonnes)","1993","05",NA
"403","Supplies = Uses of Cereal Products (000 Tonnes)","1993","05",NA
"404","Cereal Exports (000 Tonnes)","1993","05",NA
"405","Variation in Cereal Stocks (000 Tonnes)","1993","05",NA
"406","Cereal Products for Domestic Use (000 Tonnes)","1993","05",NA
"407","Cereal Products for Other Uses (000 Tonnes)","1993","05",NA
"408","Human Consumption of Cereal Products (000 Tonnes)","1993","05",NA
"409","Consumption per Person of Cereal Products (Kg)","1993","05",NA
"410","Self Sufficiency in Cereal Products (%)","1993","05",NA
"411","Usable Cereal Production (000 Tonnes)","1994","05",NA
"412","Cereal Imports (000 Tonnes)","1994","05",NA
"413","Supplies = Uses of Cereal Products (000 Tonnes)","1994","05",NA
"414","Cereal Exports (000 Tonnes)","1994","05",NA
"415","Variation in Cereal Stocks (000 Tonnes)","1994","05",NA
"416","Cereal Products for Domestic Use (000 Tonnes)","1994","05",NA
"417","Cereal Products for Other Uses (000 Tonnes)","1994","05",NA
"418","Human Consumption of Cereal Products (000 Tonnes)","1994","05",NA
"419","Consumption per Person of Cereal Products (Kg)","1994","05",NA
"420","Self Sufficiency in Cereal Products (%)","1994","05",NA
"421","Usable Cereal Production (000 Tonnes)","1995","05",NA
"422","Cereal Imports (000 Tonnes)","1995","05",NA
"423","Supplies = Uses of Cereal Products (000 Tonnes)","1995","05",NA
"424","Cereal Exports (000 Tonnes)","1995","05",NA
"425","Variation in Cereal Stocks (000 Tonnes)","1995","05",NA
"426","Cereal Products for Domestic Use (000 Tonnes)","1995","05",NA
"427","Cereal Products for Other Uses (000 Tonnes)","1995","05",NA
"428","Human Consumption of Cereal Products (000 Tonnes)","1995","05",NA
"429","Consumption per Person of Cereal Products (Kg)","1995","05",NA
"430","Self Sufficiency in Cereal Products (%)","1995","05",NA
"431","Usable Cereal Production (000 Tonnes)","1996","05",NA
"432","Cereal Imports (000 Tonnes)","1996","05",NA
"433","Supplies = Uses of Cereal Products (000 Tonnes)","1996","05",NA
"434","Cereal Exports (000 Tonnes)","1996","05",NA
"435","Variation in Cereal Stocks (000 Tonnes)","1996","05",NA
"436","Cereal Products for Domestic Use (000 Tonnes)","1996","05",NA
"437","Cereal Products for Other Uses (000 Tonnes)","1996","05",NA
"438","Human Consumption of Cereal Products (000 Tonnes)","1996","05",NA
"439","Consumption per Person of Cereal Products (Kg)","1996","05",NA
"440","Self Sufficiency in Cereal Products (%)","1996","05",NA
