"","Statistic","Year","Product.Type","value"
"64","Consumption per Person of Dairy Products (Litres)","1997","Cheese",NA
"65","Consumption per Person of Dairy Products (Kg)","1997","Cheese",6
"66","Self Sufficiency in Dairy Products (%)","1997","Cheese",432
"67","Usable Dairy Production (Tonnes)","1998","Cheese",95
"68","Dairy Imports (Tonnes)","1998","Cheese",15
"69","Supplies = Uses of Milk Products (Tonnes)","1998","Cheese",NA
"70","Dairy Exports (Tonnes)","1998","Cheese",80
"71","Variation in Dairy Stocks (Tonnes)","1998","Cheese",10
"72","Dairy Products for Domestic Use (Tonnes)","1998","Cheese",20
"73","Dairy Products for Industrial Uses (Tonnes)","1998","Cheese",0
"74","Human Consumption of Dairy Products (Tonnes)","1998","Cheese",20
"75","Consumption per Person of Dairy Products (Litres)","1998","Cheese",NA
"76","Consumption per Person of Dairy Products (Kg)","1998","Cheese",5
"77","Self Sufficiency in Dairy Products (%)","1998","Cheese",485
"78","Usable Dairy Production (Tonnes)","1999","Cheese",102
"79","Dairy Imports (Tonnes)","1999","Cheese",18
"80","Supplies = Uses of Milk Products (Tonnes)","1999","Cheese",NA
"81","Dairy Exports (Tonnes)","1999","Cheese",77
"82","Variation in Dairy Stocks (Tonnes)","1999","Cheese",19
"83","Dairy Products for Domestic Use (Tonnes)","1999","Cheese",23
"84","Dairy Products for Industrial Uses (Tonnes)","1999","Cheese",0
"85","Human Consumption of Dairy Products (Tonnes)","1999","Cheese",23
"86","Consumption per Person of Dairy Products (Litres)","1999","Cheese",NA
"87","Consumption per Person of Dairy Products (Kg)","1999","Cheese",6
"88","Self Sufficiency in Dairy Products (%)","1999","Cheese",437
"89","Usable Dairy Production (Tonnes)","2000","Cheese",99
"90","Dairy Imports (Tonnes)","2000","Cheese",19
"91","Supplies = Uses of Milk Products (Tonnes)","2000","Cheese",NA
"92","Dairy Exports (Tonnes)","2000","Cheese",82
"93","Variation in Dairy Stocks (Tonnes)","2000","Cheese",14
"94","Dairy Products for Domestic Use (Tonnes)","2000","Cheese",22
"95","Dairy Products for Industrial Uses (Tonnes)","2000","Cheese",0
"96","Human Consumption of Dairy Products (Tonnes)","2000","Cheese",22
"97","Consumption per Person of Dairy Products (Litres)","2000","Cheese",NA
"98","Consumption per Person of Dairy Products (Kg)","2000","Cheese",6
"99","Self Sufficiency in Dairy Products (%)","2000","Cheese",442
"100","Usable Dairy Production (Tonnes)","2001","Cheese",123
"101","Dairy Imports (Tonnes)","2001","Cheese",20
"102","Supplies = Uses of Milk Products (Tonnes)","2001","Cheese",NA
"103","Dairy Exports (Tonnes)","2001","Cheese",108
"104","Variation in Dairy Stocks (Tonnes)","2001","Cheese",13
"105","Dairy Products for Domestic Use (Tonnes)","2001","Cheese",22
"106","Dairy Products for Industrial Uses (Tonnes)","2001","Cheese",0
"107","Human Consumption of Dairy Products (Tonnes)","2001","Cheese",22
"108","Consumption per Person of Dairy Products (Litres)","2001","Cheese",NA
"109","Consumption per Person of Dairy Products (Kg)","2001","Cheese",6
"110","Self Sufficiency in Dairy Products (%)","2001","Cheese",559
"111","Usable Dairy Production (Tonnes)","2002","Cheese",116
"112","Dairy Imports (Tonnes)","2002","Cheese",20
"113","Supplies = Uses of Milk Products (Tonnes)","2002","Cheese",NA
"114","Dairy Exports (Tonnes)","2002","Cheese",107
"115","Variation in Dairy Stocks (Tonnes)","2002","Cheese",8
"116","Dairy Products for Domestic Use (Tonnes)","2002","Cheese",22
"117","Dairy Products for Industrial Uses (Tonnes)","2002","Cheese",0
"118","Human Consumption of Dairy Products (Tonnes)","2002","Cheese",22
"119","Consumption per Person of Dairy Products (Litres)","2002","Cheese",NA
"120","Consumption per Person of Dairy Products (Kg)","2002","Cheese",6
"121","Self Sufficiency in Dairy Products (%)","2002","Cheese",533
"122","Usable Dairy Production (Tonnes)","2003","Cheese",112
"123","Dairy Imports (Tonnes)","2003","Cheese",27
"124","Supplies = Uses of Milk Products (Tonnes)","2003","Cheese",NA
"125","Dairy Exports (Tonnes)","2003","Cheese",91
"126","Variation in Dairy Stocks (Tonnes)","2003","Cheese",22
"127","Dairy Products for Domestic Use (Tonnes)","2003","Cheese",25
"128","Dairy Products for Industrial Uses (Tonnes)","2003","Cheese",0
"129","Human Consumption of Dairy Products (Tonnes)","2003","Cheese",25
"130","Consumption per Person of Dairy Products (Litres)","2003","Cheese",NA
"131","Consumption per Person of Dairy Products (Kg)","2003","Cheese",6
"132","Self Sufficiency in Dairy Products (%)","2003","Cheese",447
"133","Usable Dairy Production (Tonnes)","2004","Cheese",118
"134","Dairy Imports (Tonnes)","2004","Cheese",24
"135","Supplies = Uses of Milk Products (Tonnes)","2004","Cheese",NA
"136","Dairy Exports (Tonnes)","2004","Cheese",101
"137","Variation in Dairy Stocks (Tonnes)","2004","Cheese",14
"138","Dairy Products for Domestic Use (Tonnes)","2004","Cheese",27
"139","Dairy Products for Industrial Uses (Tonnes)","2004","Cheese",0
"140","Human Consumption of Dairy Products (Tonnes)","2004","Cheese",27
"141","Consumption per Person of Dairy Products (Litres)","2004","Cheese",NA
"142","Consumption per Person of Dairy Products (Kg)","2004","Cheese",7
"143","Self Sufficiency in Dairy Products (%)","2004","Cheese",439
"144","Usable Dairy Production (Tonnes)","2005","Cheese",119
"145","Dairy Imports (Tonnes)","2005","Cheese",29
"146","Supplies = Uses of Milk Products (Tonnes)","2005","Cheese",148
"147","Dairy Exports (Tonnes)","2005","Cheese",110
"148","Variation in Dairy Stocks (Tonnes)","2005","Cheese",4
"149","Dairy Products for Domestic Use (Tonnes)","2005","Cheese",34
"150","Dairy Products for Industrial Uses (Tonnes)","2005","Cheese",0
"151","Human Consumption of Dairy Products (Tonnes)","2005","Cheese",34
"152","Consumption per Person of Dairy Products (Litres)","2005","Cheese",NA
"153","Consumption per Person of Dairy Products (Kg)","2005","Cheese",8
"154","Self Sufficiency in Dairy Products (%)","2005","Cheese",349
"155","Usable Dairy Production (Tonnes)","2006","Cheese",137
"156","Dairy Imports (Tonnes)","2006","Cheese",24
"157","Supplies = Uses of Milk Products (Tonnes)","2006","Cheese",161
"158","Dairy Exports (Tonnes)","2006","Cheese",126
"159","Variation in Dairy Stocks (Tonnes)","2006","Cheese",7
"160","Dairy Products for Domestic Use (Tonnes)","2006","Cheese",28
"161","Dairy Products for Industrial Uses (Tonnes)","2006","Cheese",0
"162","Human Consumption of Dairy Products (Tonnes)","2006","Cheese",28
"163","Consumption per Person of Dairy Products (Litres)","2006","Cheese",NA
"164","Consumption per Person of Dairy Products (Kg)","2006","Cheese",7
"165","Self Sufficiency in Dairy Products (%)","2006","Cheese",482
"166","Usable Dairy Production (Tonnes)","2007","Cheese",140
"167","Dairy Imports (Tonnes)","2007","Cheese",36
"168","Supplies = Uses of Milk Products (Tonnes)","2007","Cheese",177
"169","Dairy Exports (Tonnes)","2007","Cheese",134
"170","Variation in Dairy Stocks (Tonnes)","2007","Cheese",12
"171","Dairy Products for Domestic Use (Tonnes)","2007","Cheese",31
"172","Dairy Products for Industrial Uses (Tonnes)","2007","Cheese",0
"173","Human Consumption of Dairy Products (Tonnes)","2007","Cheese",31
"174","Consumption per Person of Dairy Products (Litres)","2007","Cheese",NA
"175","Consumption per Person of Dairy Products (Kg)","2007","Cheese",7
"176","Self Sufficiency in Dairy Products (%)","2007","Cheese",455
"177","Usable Dairy Production (Tonnes)","2008","Cheese",175
"178","Dairy Imports (Tonnes)","2008","Cheese",34
"179","Supplies = Uses of Milk Products (Tonnes)","2008","Cheese",209
"180","Dairy Exports (Tonnes)","2008","Cheese",154
"181","Variation in Dairy Stocks (Tonnes)","2008","Cheese",28
"182","Dairy Products for Domestic Use (Tonnes)","2008","Cheese",27
"183","Dairy Products for Industrial Uses (Tonnes)","2008","Cheese",0
"184","Human Consumption of Dairy Products (Tonnes)","2008","Cheese",27
"185","Consumption per Person of Dairy Products (Litres)","2008","Cheese",NA
"186","Consumption per Person of Dairy Products (Kg)","2008","Cheese",6
"187","Self Sufficiency in Dairy Products (%)","2008","Cheese",646
"188","Usable Dairy Production (Tonnes)","2009","Cheese",163
"189","Dairy Imports (Tonnes)","2009","Cheese",33
"190","Supplies = Uses of Milk Products (Tonnes)","2009","Cheese",196
"191","Dairy Exports (Tonnes)","2009","Cheese",159
"192","Variation in Dairy Stocks (Tonnes)","2009","Cheese",9
"193","Dairy Products for Domestic Use (Tonnes)","2009","Cheese",28
"194","Dairy Products for Industrial Uses (Tonnes)","2009","Cheese",0
"195","Human Consumption of Dairy Products (Tonnes)","2009","Cheese",28
"196","Consumption per Person of Dairy Products (Litres)","2009","Cheese",NA
"197","Consumption per Person of Dairy Products (Kg)","2009","Cheese",6
"198","Self Sufficiency in Dairy Products (%)","2009","Cheese",580
"199","Usable Dairy Production (Tonnes)","2010","Cheese",172
"200","Dairy Imports (Tonnes)","2010","Cheese",43
"201","Supplies = Uses of Milk Products (Tonnes)","2010","Cheese",215
"202","Dairy Exports (Tonnes)","2010","Cheese",163
"203","Variation in Dairy Stocks (Tonnes)","2010","Cheese",20
"204","Dairy Products for Domestic Use (Tonnes)","2010","Cheese",33
"205","Dairy Products for Industrial Uses (Tonnes)","2010","Cheese",0
"206","Human Consumption of Dairy Products (Tonnes)","2010","Cheese",33
"207","Consumption per Person of Dairy Products (Litres)","2010","Cheese",NA
"208","Consumption per Person of Dairy Products (Kg)","2010","Cheese",7
"209","Self Sufficiency in Dairy Products (%)","2010","Cheese",526
"210","Usable Dairy Production (Tonnes)","2011","Cheese",180
"211","Dairy Imports (Tonnes)","2011","Cheese",41
"212","Supplies = Uses of Milk Products (Tonnes)","2011","Cheese",221
"213","Dairy Exports (Tonnes)","2011","Cheese",167
"214","Variation in Dairy Stocks (Tonnes)","2011","Cheese",23
"215","Dairy Products for Domestic Use (Tonnes)","2011","Cheese",31
"216","Dairy Products for Industrial Uses (Tonnes)","2011","Cheese",0
"217","Human Consumption of Dairy Products (Tonnes)","2011","Cheese",31
"218","Consumption per Person of Dairy Products (Litres)","2011","Cheese",NA
"219","Consumption per Person of Dairy Products (Kg)","2011","Cheese",7
"220","Self Sufficiency in Dairy Products (%)","2011","Cheese",587
"221","Usable Dairy Production (Tonnes)","1992","Butter",144
"222","Dairy Imports (Tonnes)","1992","Butter",2
"223","Supplies = Uses of Milk Products (Tonnes)","1992","Butter",NA
"224","Dairy Exports (Tonnes)","1992","Butter",161
"225","Variation in Dairy Stocks (Tonnes)","1992","Butter",-34
"226","Dairy Products for Domestic Use (Tonnes)","1992","Butter",19
"227","Dairy Products for Industrial Uses (Tonnes)","1992","Butter",5
"228","Human Consumption of Dairy Products (Tonnes)","1992","Butter",14
"229","Consumption per Person of Dairy Products (Litres)","1992","Butter",NA
"230","Consumption per Person of Dairy Products (Kg)","1992","Butter",4
"231","Self Sufficiency in Dairy Products (%)","1992","Butter",773
"232","Usable Dairy Production (Tonnes)","1993","Butter",139
"233","Dairy Imports (Tonnes)","1993","Butter",2
"234","Supplies = Uses of Milk Products (Tonnes)","1993","Butter",NA
"235","Dairy Exports (Tonnes)","1993","Butter",114
"236","Variation in Dairy Stocks (Tonnes)","1993","Butter",9
"237","Dairy Products for Domestic Use (Tonnes)","1993","Butter",18
"238","Dairy Products for Industrial Uses (Tonnes)","1993","Butter",5
"239","Human Consumption of Dairy Products (Tonnes)","1993","Butter",13
"240","Consumption per Person of Dairy Products (Litres)","1993","Butter",NA
"241","Consumption per Person of Dairy Products (Kg)","1993","Butter",4
"242","Self Sufficiency in Dairy Products (%)","1993","Butter",754
"243","Usable Dairy Production (Tonnes)","1994","Butter",140
"244","Dairy Imports (Tonnes)","1994","Butter",2
"245","Supplies = Uses of Milk Products (Tonnes)","1994","Butter",NA
"246","Dairy Exports (Tonnes)","1994","Butter",114
"247","Variation in Dairy Stocks (Tonnes)","1994","Butter",9
"248","Dairy Products for Domestic Use (Tonnes)","1994","Butter",19
"249","Dairy Products for Industrial Uses (Tonnes)","1994","Butter",6
"250","Human Consumption of Dairy Products (Tonnes)","1994","Butter",14
"251","Consumption per Person of Dairy Products (Litres)","1994","Butter",NA
"252","Consumption per Person of Dairy Products (Kg)","1994","Butter",4
"253","Self Sufficiency in Dairy Products (%)","1994","Butter",725
"254","Usable Dairy Production (Tonnes)","1995","Butter",154
"255","Dairy Imports (Tonnes)","1995","Butter",2
"256","Supplies = Uses of Milk Products (Tonnes)","1995","Butter",NA
"257","Dairy Exports (Tonnes)","1995","Butter",143
"258","Variation in Dairy Stocks (Tonnes)","1995","Butter",-6
"259","Dairy Products for Domestic Use (Tonnes)","1995","Butter",19
"260","Dairy Products for Industrial Uses (Tonnes)","1995","Butter",6
"261","Human Consumption of Dairy Products (Tonnes)","1995","Butter",13
"262","Consumption per Person of Dairy Products (Litres)","1995","Butter",NA
"263","Consumption per Person of Dairy Products (Kg)","1995","Butter",4
"264","Self Sufficiency in Dairy Products (%)","1995","Butter",804
"265","Usable Dairy Production (Tonnes)","1996","Butter",154
"266","Dairy Imports (Tonnes)","1996","Butter",3
"267","Supplies = Uses of Milk Products (Tonnes)","1996","Butter",NA
"268","Dairy Exports (Tonnes)","1996","Butter",120
"269","Variation in Dairy Stocks (Tonnes)","1996","Butter",18
"270","Dairy Products for Domestic Use (Tonnes)","1996","Butter",19
"271","Dairy Products for Industrial Uses (Tonnes)","1996","Butter",6
"272","Human Consumption of Dairy Products (Tonnes)","1996","Butter",13
"273","Consumption per Person of Dairy Products (Litres)","1996","Butter",NA
"274","Consumption per Person of Dairy Products (Kg)","1996","Butter",4
"275","Self Sufficiency in Dairy Products (%)","1996","Butter",807
"276","Usable Dairy Production (Tonnes)","1997","Butter",150
"277","Dairy Imports (Tonnes)","1997","Butter",2
"278","Supplies = Uses of Milk Products (Tonnes)","1997","Butter",NA
"279","Dairy Exports (Tonnes)","1997","Butter",140
"280","Variation in Dairy Stocks (Tonnes)","1997","Butter",-7
"281","Dairy Products for Domestic Use (Tonnes)","1997","Butter",19
"282","Dairy Products for Industrial Uses (Tonnes)","1997","Butter",6
"283","Human Consumption of Dairy Products (Tonnes)","1997","Butter",13
"284","Consumption per Person of Dairy Products (Litres)","1997","Butter",NA
"285","Consumption per Person of Dairy Products (Kg)","1997","Butter",4
"286","Self Sufficiency in Dairy Products (%)","1997","Butter",805
"287","Usable Dairy Production (Tonnes)","1998","Butter",141
"288","Dairy Imports (Tonnes)","1998","Butter",3
"289","Supplies = Uses of Milk Products (Tonnes)","1998","Butter",NA
"290","Dairy Exports (Tonnes)","1998","Butter",137
"291","Variation in Dairy Stocks (Tonnes)","1998","Butter",-12
"292","Dairy Products for Domestic Use (Tonnes)","1998","Butter",18
"293","Dairy Products for Industrial Uses (Tonnes)","1998","Butter",6
"294","Human Consumption of Dairy Products (Tonnes)","1998","Butter",13
"295","Consumption per Person of Dairy Products (Litres)","1998","Butter",NA
"296","Consumption per Person of Dairy Products (Kg)","1998","Butter",3
"297","Self Sufficiency in Dairy Products (%)","1998","Butter",769
"298","Usable Dairy Production (Tonnes)","1999","Butter",146
"299","Dairy Imports (Tonnes)","1999","Butter",5
"300","Supplies = Uses of Milk Products (Tonnes)","1999","Butter",NA
"301","Dairy Exports (Tonnes)","1999","Butter",127
"302","Variation in Dairy Stocks (Tonnes)","1999","Butter",7
"303","Dairy Products for Domestic Use (Tonnes)","1999","Butter",16
"304","Dairy Products for Industrial Uses (Tonnes)","1999","Butter",4
"305","Human Consumption of Dairy Products (Tonnes)","1999","Butter",12
"306","Consumption per Person of Dairy Products (Litres)","1999","Butter",NA
"307","Consumption per Person of Dairy Products (Kg)","1999","Butter",3
"308","Self Sufficiency in Dairy Products (%)","1999","Butter",900
"309","Usable Dairy Production (Tonnes)","2000","Butter",145
"310","Dairy Imports (Tonnes)","2000","Butter",4
"311","Supplies = Uses of Milk Products (Tonnes)","2000","Butter",NA
"312","Dairy Exports (Tonnes)","2000","Butter",122
"313","Variation in Dairy Stocks (Tonnes)","2000","Butter",12
"314","Dairy Products for Domestic Use (Tonnes)","2000","Butter",16
"315","Dairy Products for Industrial Uses (Tonnes)","2000","Butter",4
"316","Human Consumption of Dairy Products (Tonnes)","2000","Butter",12
"317","Consumption per Person of Dairy Products (Litres)","2000","Butter",NA
"318","Consumption per Person of Dairy Products (Kg)","2000","Butter",3
"319","Self Sufficiency in Dairy Products (%)","2000","Butter",911
"320","Usable Dairy Production (Tonnes)","2001","Butter",140
"321","Dairy Imports (Tonnes)","2001","Butter",5
"322","Supplies = Uses of Milk Products (Tonnes)","2001","Butter",NA
"323","Dairy Exports (Tonnes)","2001","Butter",115
"324","Variation in Dairy Stocks (Tonnes)","2001","Butter",14
"325","Dairy Products for Domestic Use (Tonnes)","2001","Butter",16
"326","Dairy Products for Industrial Uses (Tonnes)","2001","Butter",5
"327","Human Consumption of Dairy Products (Tonnes)","2001","Butter",11
"328","Consumption per Person of Dairy Products (Litres)","2001","Butter",NA
"329","Consumption per Person of Dairy Products (Kg)","2001","Butter",3
"330","Self Sufficiency in Dairy Products (%)","2001","Butter",869
"331","Usable Dairy Production (Tonnes)","2002","Butter",145
"332","Dairy Imports (Tonnes)","2002","Butter",4
"333","Supplies = Uses of Milk Products (Tonnes)","2002","Butter",NA
"334","Dairy Exports (Tonnes)","2002","Butter",105
"335","Variation in Dairy Stocks (Tonnes)","2002","Butter",29
"336","Dairy Products for Domestic Use (Tonnes)","2002","Butter",15
"337","Dairy Products for Industrial Uses (Tonnes)","2002","Butter",4
"338","Human Consumption of Dairy Products (Tonnes)","2002","Butter",11
"339","Consumption per Person of Dairy Products (Litres)","2002","Butter",NA
"340","Consumption per Person of Dairy Products (Kg)","2002","Butter",3
"341","Self Sufficiency in Dairy Products (%)","2002","Butter",955
"342","Usable Dairy Production (Tonnes)","2003","Butter",150
"343","Dairy Imports (Tonnes)","2003","Butter",5
"344","Supplies = Uses of Milk Products (Tonnes)","2003","Butter",NA
"345","Dairy Exports (Tonnes)","2003","Butter",127
"346","Variation in Dairy Stocks (Tonnes)","2003","Butter",12
"347","Dairy Products for Domestic Use (Tonnes)","2003","Butter",15
"348","Dairy Products for Industrial Uses (Tonnes)","2003","Butter",4
"349","Human Consumption of Dairy Products (Tonnes)","2003","Butter",11
"350","Consumption per Person of Dairy Products (Litres)","2003","Butter",NA
"351","Consumption per Person of Dairy Products (Kg)","2003","Butter",3
"352","Self Sufficiency in Dairy Products (%)","2003","Butter",988
"353","Usable Dairy Production (Tonnes)","2004","Butter",145
"354","Dairy Imports (Tonnes)","2004","Butter",4
"355","Supplies = Uses of Milk Products (Tonnes)","2004","Butter",NA
"356","Dairy Exports (Tonnes)","2004","Butter",135
"357","Variation in Dairy Stocks (Tonnes)","2004","Butter",0
"358","Dairy Products for Domestic Use (Tonnes)","2004","Butter",14
"359","Dairy Products for Industrial Uses (Tonnes)","2004","Butter",3
"360","Human Consumption of Dairy Products (Tonnes)","2004","Butter",11
"361","Consumption per Person of Dairy Products (Litres)","2004","Butter",NA
"362","Consumption per Person of Dairy Products (Kg)","2004","Butter",3
"363","Self Sufficiency in Dairy Products (%)","2004","Butter",1042
"364","Usable Dairy Production (Tonnes)","2005","Butter",150
"365","Dairy Imports (Tonnes)","2005","Butter",4
"366","Supplies = Uses of Milk Products (Tonnes)","2005","Butter",155
"367","Dairy Exports (Tonnes)","2005","Butter",124
"368","Variation in Dairy Stocks (Tonnes)","2005","Butter",17
"369","Dairy Products for Domestic Use (Tonnes)","2005","Butter",14
"370","Dairy Products for Industrial Uses (Tonnes)","2005","Butter",2
"371","Human Consumption of Dairy Products (Tonnes)","2005","Butter",12
"372","Consumption per Person of Dairy Products (Litres)","2005","Butter",NA
"373","Consumption per Person of Dairy Products (Kg)","2005","Butter",3
"374","Self Sufficiency in Dairy Products (%)","2005","Butter",1071
"375","Usable Dairy Production (Tonnes)","2006","Butter",144
"376","Dairy Imports (Tonnes)","2006","Butter",8
"377","Supplies = Uses of Milk Products (Tonnes)","2006","Butter",152
"378","Dairy Exports (Tonnes)","2006","Butter",143
"379","Variation in Dairy Stocks (Tonnes)","2006","Butter",-5
"380","Dairy Products for Domestic Use (Tonnes)","2006","Butter",14
"381","Dairy Products for Industrial Uses (Tonnes)","2006","Butter",2
"382","Human Consumption of Dairy Products (Tonnes)","2006","Butter",11
"383","Consumption per Person of Dairy Products (Litres)","2006","Butter",NA
"384","Consumption per Person of Dairy Products (Kg)","2006","Butter",3
"385","Self Sufficiency in Dairy Products (%)","2006","Butter",1035
"386","Usable Dairy Production (Tonnes)","2007","Butter",146
"387","Dairy Imports (Tonnes)","2007","Butter",6
"388","Supplies = Uses of Milk Products (Tonnes)","2007","Butter",152
"389","Dairy Exports (Tonnes)","2007","Butter",145
"390","Variation in Dairy Stocks (Tonnes)","2007","Butter",-7
"391","Dairy Products for Domestic Use (Tonnes)","2007","Butter",14
"392","Dairy Products for Industrial Uses (Tonnes)","2007","Butter",2
"393","Human Consumption of Dairy Products (Tonnes)","2007","Butter",11
"394","Consumption per Person of Dairy Products (Litres)","2007","Butter",NA
"395","Consumption per Person of Dairy Products (Kg)","2007","Butter",3
"396","Self Sufficiency in Dairy Products (%)","2007","Butter",1059
"397","Usable Dairy Production (Tonnes)","2008","Butter",129
"398","Dairy Imports (Tonnes)","2008","Butter",6
"399","Supplies = Uses of Milk Products (Tonnes)","2008","Butter",135
"400","Dairy Exports (Tonnes)","2008","Butter",125
"401","Variation in Dairy Stocks (Tonnes)","2008","Butter",-4
"402","Dairy Products for Domestic Use (Tonnes)","2008","Butter",14
"403","Dairy Products for Industrial Uses (Tonnes)","2008","Butter",2
"404","Human Consumption of Dairy Products (Tonnes)","2008","Butter",11
"405","Consumption per Person of Dairy Products (Litres)","2008","Butter",NA
"406","Consumption per Person of Dairy Products (Kg)","2008","Butter",3
"407","Self Sufficiency in Dairy Products (%)","2008","Butter",939
"408","Usable Dairy Production (Tonnes)","2009","Butter",126
"409","Dairy Imports (Tonnes)","2009","Butter",8
"410","Supplies = Uses of Milk Products (Tonnes)","2009","Butter",134
"411","Dairy Exports (Tonnes)","2009","Butter",122
"412","Variation in Dairy Stocks (Tonnes)","2009","Butter",-1
"413","Dairy Products for Domestic Use (Tonnes)","2009","Butter",14
"414","Dairy Products for Industrial Uses (Tonnes)","2009","Butter",2
"415","Human Consumption of Dairy Products (Tonnes)","2009","Butter",11
"416","Consumption per Person of Dairy Products (Litres)","2009","Butter",NA
"417","Consumption per Person of Dairy Products (Kg)","2009","Butter",3
"418","Self Sufficiency in Dairy Products (%)","2009","Butter",915
"419","Usable Dairy Production (Tonnes)","2010","Butter",138
"420","Dairy Imports (Tonnes)","2010","Butter",8
"421","Supplies = Uses of Milk Products (Tonnes)","2010","Butter",146
"422","Dairy Exports (Tonnes)","2010","Butter",136
"423","Variation in Dairy Stocks (Tonnes)","2010","Butter",-4
"424","Dairy Products for Domestic Use (Tonnes)","2010","Butter",14
"425","Dairy Products for Industrial Uses (Tonnes)","2010","Butter",2
"426","Human Consumption of Dairy Products (Tonnes)","2010","Butter",11
"427","Consumption per Person of Dairy Products (Litres)","2010","Butter",NA
"428","Consumption per Person of Dairy Products (Kg)","2010","Butter",3
"429","Self Sufficiency in Dairy Products (%)","2010","Butter",1003
"430","Usable Dairy Production (Tonnes)","2011","Butter",149
"431","Dairy Imports (Tonnes)","2011","Butter",7
"432","Supplies = Uses of Milk Products (Tonnes)","2011","Butter",156
"433","Dairy Exports (Tonnes)","2011","Butter",145
"434","Variation in Dairy Stocks (Tonnes)","2011","Butter",-3
"435","Dairy Products for Domestic Use (Tonnes)","2011","Butter",14
"436","Dairy Products for Industrial Uses (Tonnes)","2011","Butter",2
