"","Year","Statistic","Sex","value"
"39","1993","Family Farm Owners (Thousand)","Female",14.8
"40","1994","Family Farm Owners (Thousand)","Female",13.7
"41","1995","Family Farm Owners (Thousand)","Female",14
"42","1996","Family Farm Owners (Thousand)","Female",13.5
"43","1997","Family Farm Owners (Thousand)","Female",13.1
"44","1998","Family Farm Owners (Thousand)","Female",13.9
"45","1999","Family Farm Owners (Thousand)","Female",13
"46","2000","Family Farm Owners (Thousand)","Female",15.1
"47","2001","Family Farm Owners (Thousand)","Female",14.91
"48","2002","Family Farm Owners (Thousand)","Female",14.6
"49","1991","Number of Farm Workers on Family Farms (Thousand)","Female",93.3
"50","1992","Number of Farm Workers on Family Farms (Thousand)","Female",102.5
"51","1993","Number of Farm Workers on Family Farms (Thousand)","Female",99.6
"52","1994","Number of Farm Workers on Family Farms (Thousand)","Female",94.6
"53","1995","Number of Farm Workers on Family Farms (Thousand)","Female",86.7
"54","1996","Number of Farm Workers on Family Farms (Thousand)","Female",93.8
"55","1997","Number of Farm Workers on Family Farms (Thousand)","Female",80.9
"56","1998","Number of Farm Workers on Family Farms (Thousand)","Female",78
"57","1999","Number of Farm Workers on Family Farms (Thousand)","Female",76.4
"58","2000","Number of Farm Workers on Family Farms (Thousand)","Female",70.3
"59","2001","Number of Farm Workers on Family Farms (Thousand)","Female",68.8
"60","2002","Number of Farm Workers on Family Farms (Thousand)","Female",62.7
"61","1991","Annual Farm Work Units (Thousand)","Female",65.6
"62","1992","Annual Farm Work Units (Thousand)","Female",66.5
"63","1993","Annual Farm Work Units (Thousand)","Female",63.5
"64","1994","Annual Farm Work Units (Thousand)","Female",59.8
"65","1995","Annual Farm Work Units (Thousand)","Female",53.8
"66","1996","Annual Farm Work Units (Thousand)","Female",58
"67","1997","Annual Farm Work Units (Thousand)","Female",47.4
"68","1998","Annual Farm Work Units (Thousand)","Female",45.2
"69","1999","Annual Farm Work Units (Thousand)","Female",43.3
"70","2000","Annual Farm Work Units (Thousand)","Female",36.6
"71","2001","Annual Farm Work Units (Thousand)","Female",35.1
"72","2002","Annual Farm Work Units (Thousand)","Female",32.4
"73","1991","Family Farm Owners (Thousand)","All Persons",169.89
"74","1992","Family Farm Owners (Thousand)","All Persons",161.1
"75","1993","Family Farm Owners (Thousand)","All Persons",158.9
"76","1994","Family Farm Owners (Thousand)","All Persons",153
"77","1995","Family Farm Owners (Thousand)","All Persons",153
"78","1996","Family Farm Owners (Thousand)","All Persons",149.3
"79","1997","Family Farm Owners (Thousand)","All Persons",147.6
"80","1998","Family Farm Owners (Thousand)","All Persons",146.2
"81","1999","Family Farm Owners (Thousand)","All Persons",143.7
"82","2000","Family Farm Owners (Thousand)","All Persons",141.3
"83","2001","Family Farm Owners (Thousand)","All Persons",139.4
"84","2002","Family Farm Owners (Thousand)","All Persons",136.3
"85","1991","Number of Farm Workers on Family Farms (Thousand)","All Persons",312.7
"86","1992","Number of Farm Workers on Family Farms (Thousand)","All Persons",324.3
"87","1993","Number of Farm Workers on Family Farms (Thousand)","All Persons",320.3
"88","1994","Number of Farm Workers on Family Farms (Thousand)","All Persons",310.2
"89","1995","Number of Farm Workers on Family Farms (Thousand)","All Persons",293.3
"90","1996","Number of Farm Workers on Family Farms (Thousand)","All Persons",301
"91","1997","Number of Farm Workers on Family Farms (Thousand)","All Persons",281.9
"92","1998","Number of Farm Workers on Family Farms (Thousand)","All Persons",275.1
"93","1999","Number of Farm Workers on Family Farms (Thousand)","All Persons",270
"94","2000","Number of Farm Workers on Family Farms (Thousand)","All Persons",257.9
"95","2001","Number of Farm Workers on Family Farms (Thousand)","All Persons",252.6
"96","2002","Number of Farm Workers on Family Farms (Thousand)","All Persons",240.1
"97","1991","Annual Farm Work Units (Thousand)","All Persons",245.2
"98","1992","Annual Farm Work Units (Thousand)","All Persons",240.2
"99","1993","Annual Farm Work Units (Thousand)","All Persons",234
"100","1994","Annual Farm Work Units (Thousand)","All Persons",226
"101","1995","Annual Farm Work Units (Thousand)","All Persons",212.2
"102","1996","Annual Farm Work Units (Thousand)","All Persons",214.6
"103","1997","Annual Farm Work Units (Thousand)","All Persons",197.2
"104","1998","Annual Farm Work Units (Thousand)","All Persons",191.4
"105","1999","Annual Farm Work Units (Thousand)","All Persons",183.6
"106","2000","Annual Farm Work Units (Thousand)","All Persons",163.9
"107","2001","Annual Farm Work Units (Thousand)","All Persons",159.5
"108","2002","Annual Farm Work Units (Thousand)","All Persons",151.5
