"","Year","Statistic","Age.Group","Receiving.Benefits.or.Not","value"
"53","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",42.92
"54","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",56.62
"55","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",65.96
"56","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",78.91
"57","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",92.84
"58","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",116.41
"59","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",140.99
"60","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",162.69
"61","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",176.23
"62","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",220.67
"63","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",235.75
"64","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",270.09
"65","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Total",351.06
"66","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",44.4
"67","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",43.8
"68","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",43.9
"69","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.8
"70","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.4
"71","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.4
"72","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.95
"73","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.9
"74","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.8
"75","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.8
"76","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",41.5
"77","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",42.6
"78","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Total",41.4
"79","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",40.63
"80","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",55.22
"81","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",63.42
"82","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",72.88
"83","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",88.87
"84","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",112.13
"85","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",132.9
"86","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",155.7
"87","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",167.82
"88","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",216.55
"89","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",242.25
"90","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",276.36
"91","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Total",323.29
"92","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",43.6
"93","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",43.5
"94","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",43.2
"95","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",42.3
"96","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",42.3
"97","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",41.8
"98","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",41.88
"99","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",42.4
"100","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",42
"101","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",41.5
"102","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",41.6
"103","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",42.4
"104","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Total",38.1
"105","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",37.97
"106","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",51.56
"107","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",59.59
"108","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",69
"109","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",82.37
"110","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",103.33
"111","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",126.75
"112","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",143.71
"113","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",153.82
"114","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",201.18
"115","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",217.18
"116","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",259.2
"117","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Total",325.12
"118","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",42.9
"119","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",42.5
"120","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",42.5
"121","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",41.8
"122","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",41
"123","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",41
"124","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",41.65
"125","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",41.4
"126","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",40.9
"127","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",41.3
"128","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",40.1
"129","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",41.2
"130","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Total",37.7
"131","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",31.87
"132","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",47.23
"133","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",55.35
"134","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",67.89
"135","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",77.91
"136","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",99.01
"137","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",112.32
"138","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",125.32
"139","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",131.72
"140","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",152.88
"141","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",170.53
"142","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",222.36
"143","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Receiving Benefits",244.85
"144","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",44.9
"145","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",43.5
"146","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",44
"147","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",42.8
"148","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",43.6
"149","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",44.6
"150","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",43.93
"151","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",44.6
"152","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",42.5
"153","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",41.6
"154","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",43.1
"155","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",44.1
"156","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Under 21","Receiving Benefits",35.8
"157","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",39.49
"158","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",52.76
"159","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",62.92
"160","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",76.78
"161","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",90.53
"162","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",112.45
"163","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",137.44
"164","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",155.3
"165","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",158.77
"166","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",199.92
"167","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",217.54
"168","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",256.92
"169","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 21 to 29","Receiving Benefits",324.88
"170","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",45.5
"171","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",44.9
"172","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",44.2
"173","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",43.8
"174","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",44.7
"175","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",44.1
"176","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",44.09
"177","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",44.8
"178","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",43.1
"179","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",43.4
"180","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",43.8
"181","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",44.1
"182","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 21 to 29","Receiving Benefits",43
"183","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",39.87
"184","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",52.48
"185","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",62.12
"186","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",74.67
"187","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",86.99
"188","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",112.21
"189","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",132.7
"190","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",158.83
"191","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",167.72
"192","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",218.71
"193","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",240.48
"194","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",280.66
"195","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 30 to 44","Receiving Benefits",356.14
"196","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",44.7
"197","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",44.4
"198","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",44.7
"199","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.5
"200","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",42.9
"201","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.1
"202","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.88
"203","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.3
"204","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.1
"205","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.9
"206","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",42.5
"207","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",43.4
"208","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 30 to 44","Receiving Benefits",41.8
"209","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",37.58
"210","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",50.57
"211","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",58.08
"212","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",65.8
"213","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",81.53
"214","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",103.17
"215","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",125.21
"216","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",142.97
"217","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",148.24
"218","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",217.96
"219","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",243.26
"220","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",296.33
"221","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","From 45 to 54","Receiving Benefits",329.4
"222","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",43.9
"223","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",43.6
"224","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",43.4
"225","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.1
"226","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.4
"227","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",41.4
"228","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.27
"229","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.6
"230","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",41.7
"231","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.4
"232","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.2
"233","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",42.8
"234","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","From 45 to 54","Receiving Benefits",37.8
"235","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",33.14
"236","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",44.99
"237","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",52.88
"238","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",62.08
"239","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",72.48
"240","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",95.22
"241","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",119.11
"242","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",139.49
"243","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",143.34
"244","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",190.96
"245","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",220.82
"246","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",250.56
"247","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","55 and Over","Receiving Benefits",337.72
"248","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",43.3
"249","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",42.4
"250","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",42.6
"251","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.5
"252","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.1
"253","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41
"254","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",42.3
"255","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.8
"256","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.1
"257","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",41.7
"258","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",40.2
"259","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",40.9
"260","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","55 and Over","Receiving Benefits",36.2
"261","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",36.06
"262","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",47.63
"263","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Under 21","Not Receiving Benefits",57.81
