"","Year","County","Size.of.Holding","value"
"3141","1915","Kildare","30-50 Acres",661
"3142","1930","Kildare","30-50 Acres",720
"3143","1940","Kildare","30-50 Acres",791
"3144","1945","Kildare","30-50 Acres",778
"3145","1950","Kildare","30-50 Acres",816
"3146","1955","Kildare","30-50 Acres",840
"3147","1960","Kildare","30-50 Acres",872
"3148","1965","Kildare","30-50 Acres",933
"3149","1970","Kildare","30-50 Acres",968
"3150","1975","Kildare","30-50 Acres",940
"3151","1980","Kildare","30-50 Acres",902
"3152","1855","Kilkenny","30-50 Acres",2425
"3153","1860","Kilkenny","30-50 Acres",2464
"3154","1865","Kilkenny","30-50 Acres",2374
"3155","1870","Kilkenny","30-50 Acres",2351
"3156","1875","Kilkenny","30-50 Acres",2368
"3157","1880","Kilkenny","30-50 Acres",2271
"3158","1885","Kilkenny","30-50 Acres",2212
"3159","1890","Kilkenny","30-50 Acres",2239
"3160","1895","Kilkenny","30-50 Acres",2199
"3161","1900","Kilkenny","30-50 Acres",2171
"3162","1905","Kilkenny","30-50 Acres",2187
"3163","1910","Kilkenny","30-50 Acres",2231
"3164","1915","Kilkenny","30-50 Acres",1799
"3165","1930","Kilkenny","30-50 Acres",1697
"3166","1940","Kilkenny","30-50 Acres",1626
"3167","1945","Kilkenny","30-50 Acres",1546
"3168","1950","Kilkenny","30-50 Acres",1539
"3169","1955","Kilkenny","30-50 Acres",1516
"3170","1960","Kilkenny","30-50 Acres",1351
"3171","1965","Kilkenny","30-50 Acres",1295
"3172","1970","Kilkenny","30-50 Acres",1297
"3173","1975","Kilkenny","30-50 Acres",1214
"3174","1980","Kilkenny","30-50 Acres",1125
"3175","1855","Laoghais","30-50 Acres",1410
"3176","1860","Laoghais","30-50 Acres",1430
"3177","1865","Laoghais","30-50 Acres",1375
"3178","1870","Laoghais","30-50 Acres",1361
"3179","1875","Laoghais","30-50 Acres",1368
"3180","1880","Laoghais","30-50 Acres",1414
"3181","1885","Laoghais","30-50 Acres",1356
"3182","1890","Laoghais","30-50 Acres",1318
"3183","1895","Laoghais","30-50 Acres",1296
"3184","1900","Laoghais","30-50 Acres",1322
"3185","1905","Laoghais","30-50 Acres",1316
"3186","1910","Laoghais","30-50 Acres",1341
"3187","1915","Laoghais","30-50 Acres",1193
"3188","1930","Laoghais","30-50 Acres",1329
"3189","1940","Laoghais","30-50 Acres",1342
"3190","1945","Laoghais","30-50 Acres",1322
"3191","1950","Laoghais","30-50 Acres",1314
"3192","1955","Laoghais","30-50 Acres",1344
"3193","1960","Laoghais","30-50 Acres",1240
"3194","1965","Laoghais","30-50 Acres",1214
"3195","1970","Laoghais","30-50 Acres",1144
"3196","1975","Laoghais","30-50 Acres",1054
"3197","1980","Laoghais","30-50 Acres",1005
"3198","1855","Longford","30-50 Acres",1087
"3199","1860","Longford","30-50 Acres",1107
"3200","1865","Longford","30-50 Acres",1102
"3201","1870","Longford","30-50 Acres",1072
"3202","1875","Longford","30-50 Acres",1146
"3203","1880","Longford","30-50 Acres",1169
"3204","1885","Longford","30-50 Acres",1150
"3205","1890","Longford","30-50 Acres",1129
"3206","1895","Longford","30-50 Acres",1188
"3207","1900","Longford","30-50 Acres",1185
"3208","1905","Longford","30-50 Acres",1163
"3209","1910","Longford","30-50 Acres",1234
"3210","1915","Longford","30-50 Acres",1178
"3211","1930","Longford","30-50 Acres",1328
"3212","1940","Longford","30-50 Acres",1389
"3213","1945","Longford","30-50 Acres",1366
"3214","1950","Longford","30-50 Acres",1390
"3215","1955","Longford","30-50 Acres",1365
"3216","1960","Longford","30-50 Acres",1389
"3217","1965","Longford","30-50 Acres",1355
"3218","1970","Longford","30-50 Acres",1322
"3219","1975","Longford","30-50 Acres",1265
"3220","1980","Longford","30-50 Acres",1248
"3221","1855","Louth","30-50 Acres",603
"3222","1860","Louth","30-50 Acres",645
"3223","1865","Louth","30-50 Acres",669
"3224","1870","Louth","30-50 Acres",625
"3225","1875","Louth","30-50 Acres",622
"3226","1880","Louth","30-50 Acres",625
"3227","1885","Louth","30-50 Acres",627
"3228","1890","Louth","30-50 Acres",623
"3229","1895","Louth","30-50 Acres",608
"3230","1900","Louth","30-50 Acres",604
"3231","1905","Louth","30-50 Acres",595
"3232","1910","Louth","30-50 Acres",642
"3233","1915","Louth","30-50 Acres",618
"3234","1930","Louth","30-50 Acres",624
"3235","1940","Louth","30-50 Acres",652
"3236","1945","Louth","30-50 Acres",713
"3237","1950","Louth","30-50 Acres",699
"3238","1955","Louth","30-50 Acres",708
"3239","1960","Louth","30-50 Acres",672
"3240","1965","Louth","30-50 Acres",664
"3241","1970","Louth","30-50 Acres",644
"3242","1975","Louth","30-50 Acres",611
"3243","1980","Louth","30-50 Acres",595
"3244","1855","Meath","30-50 Acres",1226
"3245","1860","Meath","30-50 Acres",1216
"3246","1865","Meath","30-50 Acres",1195
"3247","1870","Meath","30-50 Acres",1186
"3248","1875","Meath","30-50 Acres",1171
"3249","1880","Meath","30-50 Acres",1144
"3250","1885","Meath","30-50 Acres",1132
"3251","1890","Meath","30-50 Acres",1168
"3252","1895","Meath","30-50 Acres",1169
"3253","1900","Meath","30-50 Acres",1192
"3254","1905","Meath","30-50 Acres",1160
"3255","1910","Meath","30-50 Acres",1251
"3256","1915","Meath","30-50 Acres",1168
"3257","1930","Meath","30-50 Acres",1482
"3258","1940","Meath","30-50 Acres",1694
"3259","1945","Meath","30-50 Acres",1791
"3260","1950","Meath","30-50 Acres",1780
"3261","1955","Meath","30-50 Acres",1931
"3262","1960","Meath","30-50 Acres",1879
"3263","1965","Meath","30-50 Acres",1961
"3264","1970","Meath","30-50 Acres",1943
"3265","1975","Meath","30-50 Acres",2004
"3266","1980","Meath","30-50 Acres",1797
"3267","1855","Offaly","30-50 Acres",1246
"3268","1860","Offaly","30-50 Acres",1327
"3269","1865","Offaly","30-50 Acres",1301
"3270","1870","Offaly","30-50 Acres",1297
"3271","1875","Offaly","30-50 Acres",1388
"3272","1880","Offaly","30-50 Acres",1380
"3273","1885","Offaly","30-50 Acres",1368
"3274","1890","Offaly","30-50 Acres",1375
"3275","1895","Offaly","30-50 Acres",1375
"3276","1900","Offaly","30-50 Acres",1336
"3277","1905","Offaly","30-50 Acres",1379
"3278","1910","Offaly","30-50 Acres",1423
"3279","1915","Offaly","30-50 Acres",1309
"3280","1930","Offaly","30-50 Acres",1489
"3281","1940","Offaly","30-50 Acres",1564
"3282","1945","Offaly","30-50 Acres",1576
"3283","1950","Offaly","30-50 Acres",1560
"3284","1955","Offaly","30-50 Acres",1587
"3285","1960","Offaly","30-50 Acres",1491
"3286","1965","Offaly","30-50 Acres",1449
"3287","1970","Offaly","30-50 Acres",1423
"3288","1975","Offaly","30-50 Acres",1378
"3289","1980","Offaly","30-50 Acres",1300
"3290","1855","Westmeath","30-50 Acres",1368
"3291","1860","Westmeath","30-50 Acres",1363
"3292","1865","Westmeath","30-50 Acres",1362
"3293","1870","Westmeath","30-50 Acres",1353
"3294","1875","Westmeath","30-50 Acres",1337
"3295","1880","Westmeath","30-50 Acres",1369
"3296","1885","Westmeath","30-50 Acres",1328
"3297","1890","Westmeath","30-50 Acres",1374
"3298","1895","Westmeath","30-50 Acres",1354
"3299","1900","Westmeath","30-50 Acres",1372
"3300","1905","Westmeath","30-50 Acres",1347
"3301","1910","Westmeath","30-50 Acres",1378
"3302","1915","Westmeath","30-50 Acres",1272
"3303","1930","Westmeath","30-50 Acres",1522
"3304","1940","Westmeath","30-50 Acres",1566
"3305","1945","Westmeath","30-50 Acres",1585
"3306","1950","Westmeath","30-50 Acres",1591
"3307","1955","Westmeath","30-50 Acres",1656
"3308","1960","Westmeath","30-50 Acres",1592
"3309","1965","Westmeath","30-50 Acres",1625
"3310","1970","Westmeath","30-50 Acres",1538
"3311","1975","Westmeath","30-50 Acres",1478
"3312","1980","Westmeath","30-50 Acres",1470
"3313","1855","Wexford","30-50 Acres",3032
"3314","1860","Wexford","30-50 Acres",2915
"3315","1865","Wexford","30-50 Acres",2822
"3316","1870","Wexford","30-50 Acres",2826
"3317","1875","Wexford","30-50 Acres",2827
"3318","1880","Wexford","30-50 Acres",2796
"3319","1885","Wexford","30-50 Acres",2693
"3320","1890","Wexford","30-50 Acres",2703
"3321","1895","Wexford","30-50 Acres",2621
"3322","1900","Wexford","30-50 Acres",2625
"3323","1905","Wexford","30-50 Acres",2616
"3324","1910","Wexford","30-50 Acres",2630
"3325","1915","Wexford","30-50 Acres",2077
"3326","1930","Wexford","30-50 Acres",1940
"3327","1940","Wexford","30-50 Acres",1834
"3328","1945","Wexford","30-50 Acres",1728
"3329","1950","Wexford","30-50 Acres",1690
"3330","1955","Wexford","30-50 Acres",1616
"3331","1960","Wexford","30-50 Acres",1512
"3332","1965","Wexford","30-50 Acres",1474
"3333","1970","Wexford","30-50 Acres",1407
"3334","1975","Wexford","30-50 Acres",1356
"3335","1980","Wexford","30-50 Acres",1263
"3336","1855","Wicklow","30-50 Acres",1246
"3337","1860","Wicklow","30-50 Acres",1249
"3338","1865","Wicklow","30-50 Acres",1250
"3339","1870","Wicklow","30-50 Acres",1276
"3340","1875","Wicklow","30-50 Acres",1214
"3341","1880","Wicklow","30-50 Acres",1180
"3342","1885","Wicklow","30-50 Acres",1188
"3343","1890","Wicklow","30-50 Acres",1174
"3344","1895","Wicklow","30-50 Acres",1164
"3345","1900","Wicklow","30-50 Acres",1175
"3346","1905","Wicklow","30-50 Acres",1153
"3347","1910","Wicklow","30-50 Acres",1115
"3348","1915","Wicklow","30-50 Acres",915
"3349","1930","Wicklow","30-50 Acres",892
"3350","1940","Wicklow","30-50 Acres",851
"3351","1945","Wicklow","30-50 Acres",818
"3352","1950","Wicklow","30-50 Acres",800
"3353","1955","Wicklow","30-50 Acres",755
"3354","1960","Wicklow","30-50 Acres",708
"3355","1965","Wicklow","30-50 Acres",679
"3356","1970","Wicklow","30-50 Acres",691
"3357","1975","Wicklow","30-50 Acres",665
"3358","1980","Wicklow","30-50 Acres",666
"3359","1855","Munster","30-50 Acres",21796
"3360","1860","Munster","30-50 Acres",22072
"3361","1865","Munster","30-50 Acres",21990
"3362","1870","Munster","30-50 Acres",22120
"3363","1875","Munster","30-50 Acres",22386
"3364","1880","Munster","30-50 Acres",22112
"3365","1885","Munster","30-50 Acres",22166
"3366","1890","Munster","30-50 Acres",21966
"3367","1895","Munster","30-50 Acres",22156
"3368","1900","Munster","30-50 Acres",22271
"3369","1905","Munster","30-50 Acres",22397
"3370","1910","Munster","30-50 Acres",22605
"3371","1915","Munster","30-50 Acres",20581
"3372","1930","Munster","30-50 Acres",20591
"3373","1940","Munster","30-50 Acres",20211
"3374","1945","Munster","30-50 Acres",20061
"3375","1950","Munster","30-50 Acres",19742
"3376","1955","Munster","30-50 Acres",19655
"3377","1960","Munster","30-50 Acres",18917
"3378","1965","Munster","30-50 Acres",18369
"3379","1970","Munster","30-50 Acres",18243
"3380","1975","Munster","30-50 Acres",17438
"3381","1980","Munster","30-50 Acres",16898
"3382","1855","Clare","30-50 Acres",3427
"3383","1860","Clare","30-50 Acres",3383
"3384","1865","Clare","30-50 Acres",3528
"3385","1870","Clare","30-50 Acres",3620
"3386","1875","Clare","30-50 Acres",3671
"3387","1880","Clare","30-50 Acres",3658
"3388","1885","Clare","30-50 Acres",3677
"3389","1890","Clare","30-50 Acres",3620
"3390","1895","Clare","30-50 Acres",3632
"3391","1900","Clare","30-50 Acres",3676
"3392","1905","Clare","30-50 Acres",3645
"3393","1910","Clare","30-50 Acres",3639
"3394","1915","Clare","30-50 Acres",3522
"3395","1930","Clare","30-50 Acres",3700
"3396","1940","Clare","30-50 Acres",3686
"3397","1945","Clare","30-50 Acres",3688
"3398","1950","Clare","30-50 Acres",3636
"3399","1955","Clare","30-50 Acres",3586
"3400","1960","Clare","30-50 Acres",3488
"3401","1965","Clare","30-50 Acres",3301
"3402","1970","Clare","30-50 Acres",3246
"3403","1975","Clare","30-50 Acres",3068
"3404","1980","Clare","30-50 Acres",2995
"3405","1855","Cork","30-50 Acres",6688
"3406","1860","Cork","30-50 Acres",6765
"3407","1865","Cork","30-50 Acres",6740
"3408","1870","Cork","30-50 Acres",6683
"3409","1875","Cork","30-50 Acres",6634
"3410","1880","Cork","30-50 Acres",6555
"3411","1885","Cork","30-50 Acres",6658
"3412","1890","Cork","30-50 Acres",6541
"3413","1895","Cork","30-50 Acres",6556
"3414","1900","Cork","30-50 Acres",6532
"3415","1905","Cork","30-50 Acres",6675
"3416","1910","Cork","30-50 Acres",6652
"3417","1915","Cork","30-50 Acres",5970
"3418","1930","Cork","30-50 Acres",5807
"3419","1940","Cork","30-50 Acres",5619
"3420","1945","Cork","30-50 Acres",5513
"3421","1950","Cork","30-50 Acres",5420
"3422","1955","Cork","30-50 Acres",5432
"3423","1960","Cork","30-50 Acres",5230
"3424","1965","Cork","30-50 Acres",5028
"3425","1970","Cork","30-50 Acres",5125
"3426","1975","Cork","30-50 Acres",4893
"3427","1980","Cork","30-50 Acres",4746
"3428","1855","Kerry","30-50 Acres",3513
"3429","1860","Kerry","30-50 Acres",3617
"3430","1865","Kerry","30-50 Acres",3546
"3431","1870","Kerry","30-50 Acres",3568
"3432","1875","Kerry","30-50 Acres",3742
"3433","1880","Kerry","30-50 Acres",3693
"3434","1885","Kerry","30-50 Acres",3596
"3435","1890","Kerry","30-50 Acres",3693
"3436","1895","Kerry","30-50 Acres",3809
"3437","1900","Kerry","30-50 Acres",3790
"3438","1905","Kerry","30-50 Acres",3868
"3439","1910","Kerry","30-50 Acres",3919
"3440","1915","Kerry","30-50 Acres",3836
"3441","1930","Kerry","30-50 Acres",3985
"3442","1940","Kerry","30-50 Acres",3973
"3443","1945","Kerry","30-50 Acres",4041
"3444","1950","Kerry","30-50 Acres",4014
"3445","1955","Kerry","30-50 Acres",4006
"3446","1960","Kerry","30-50 Acres",3892
"3447","1965","Kerry","30-50 Acres",3842
"3448","1970","Kerry","30-50 Acres",3807
"3449","1975","Kerry","30-50 Acres",3698
"3450","1980","Kerry","30-50 Acres",3596
"3451","1855","Limerick","30-50 Acres",2823
"3452","1860","Limerick","30-50 Acres",2919
"3453","1865","Limerick","30-50 Acres",2897
"3454","1870","Limerick","30-50 Acres",2940
"3455","1875","Limerick","30-50 Acres",3035
"3456","1880","Limerick","30-50 Acres",2929
"3457","1885","Limerick","30-50 Acres",2955
"3458","1890","Limerick","30-50 Acres",2852
"3459","1895","Limerick","30-50 Acres",2879
"3460","1900","Limerick","30-50 Acres",2954
"3461","1905","Limerick","30-50 Acres",2947
"3462","1910","Limerick","30-50 Acres",2975
"3463","1915","Limerick","30-50 Acres",2709
"3464","1930","Limerick","30-50 Acres",2766
"3465","1940","Limerick","30-50 Acres",2716
"3466","1945","Limerick","30-50 Acres",2676
"3467","1950","Limerick","30-50 Acres",2642
"3468","1955","Limerick","30-50 Acres",2602
"3469","1960","Limerick","30-50 Acres",2521
"3470","1965","Limerick","30-50 Acres",2544
"3471","1970","Limerick","30-50 Acres",2486
"3472","1975","Limerick","30-50 Acres",2427
"3473","1980","Limerick","30-50 Acres",2355
"3474","1855","Tipperary","30-50 Acres",3890
"3475","1860","Tipperary","30-50 Acres",3996
"3476","1865","Tipperary","30-50 Acres",3921
"3477","1870","Tipperary","30-50 Acres",3924
"3478","1875","Tipperary","30-50 Acres",3922
"3479","1880","Tipperary","30-50 Acres",3919
"3480","1885","Tipperary","30-50 Acres",3961
"3481","1890","Tipperary","30-50 Acres",3937
"3482","1895","Tipperary","30-50 Acres",3966
"3483","1900","Tipperary","30-50 Acres",4035
"3484","1905","Tipperary","30-50 Acres",3986
"3485","1910","Tipperary","30-50 Acres",4125
"3486","1915","Tipperary","30-50 Acres",3515
"3487","1930","Tipperary","30-50 Acres",3408
"3488","1940","Tipperary","30-50 Acres",3349
"3489","1945","Tipperary","30-50 Acres",3313
"3490","1950","Tipperary","30-50 Acres",3221
"3491","1955","Tipperary","30-50 Acres",3208
"3492","1960","Tipperary","30-50 Acres",3023
"3493","1965","Tipperary","30-50 Acres",2922
"3494","1970","Tipperary","30-50 Acres",2835
"3495","1975","Tipperary","30-50 Acres",2648
"3496","1980","Tipperary","30-50 Acres",2538
"3497","1855","Tipperary NR","30-50 Acres",NA
"3498","1860","Tipperary NR","30-50 Acres",NA
"3499","1865","Tipperary NR","30-50 Acres",NA
"3500","1870","Tipperary NR","30-50 Acres",NA
"3501","1875","Tipperary NR","30-50 Acres",NA
"3502","1880","Tipperary NR","30-50 Acres",NA
"3503","1885","Tipperary NR","30-50 Acres",NA
"3504","1890","Tipperary NR","30-50 Acres",NA
"3505","1895","Tipperary NR","30-50 Acres",NA
"3506","1900","Tipperary NR","30-50 Acres",NA
"3507","1905","Tipperary NR","30-50 Acres",NA
"3508","1910","Tipperary NR","30-50 Acres",NA
"3509","1915","Tipperary NR","30-50 Acres",NA
"3510","1930","Tipperary NR","30-50 Acres",NA
"3511","1940","Tipperary NR","30-50 Acres",NA
"3512","1945","Tipperary NR","30-50 Acres",NA
"3513","1950","Tipperary NR","30-50 Acres",NA
"3514","1955","Tipperary NR","30-50 Acres",NA
"3515","1960","Tipperary NR","30-50 Acres",NA
"3516","1965","Tipperary NR","30-50 Acres",1420
"3517","1970","Tipperary NR","30-50 Acres",1371
"3518","1975","Tipperary NR","30-50 Acres",1272
"3519","1980","Tipperary NR","30-50 Acres",1209
"3520","1855","Tipperary SR","30-50 Acres",NA
"3521","1860","Tipperary SR","30-50 Acres",NA
"3522","1865","Tipperary SR","30-50 Acres",NA
"3523","1870","Tipperary SR","30-50 Acres",NA
"3524","1875","Tipperary SR","30-50 Acres",NA
"3525","1880","Tipperary SR","30-50 Acres",NA
"3526","1885","Tipperary SR","30-50 Acres",NA
"3527","1890","Tipperary SR","30-50 Acres",NA
"3528","1895","Tipperary SR","30-50 Acres",NA
"3529","1900","Tipperary SR","30-50 Acres",NA
"3530","1905","Tipperary SR","30-50 Acres",NA
"3531","1910","Tipperary SR","30-50 Acres",NA
"3532","1915","Tipperary SR","30-50 Acres",NA
"3533","1930","Tipperary SR","30-50 Acres",NA
"3534","1940","Tipperary SR","30-50 Acres",NA
"3535","1945","Tipperary SR","30-50 Acres",NA
"3536","1950","Tipperary SR","30-50 Acres",NA
"3537","1955","Tipperary SR","30-50 Acres",NA
"3538","1960","Tipperary SR","30-50 Acres",NA
"3539","1965","Tipperary SR","30-50 Acres",1502
"3540","1970","Tipperary SR","30-50 Acres",1464
"3541","1975","Tipperary SR","30-50 Acres",1376
"3542","1980","Tipperary SR","30-50 Acres",1329
"3543","1855","Waterford","30-50 Acres",1455
"3544","1860","Waterford","30-50 Acres",1392
"3545","1865","Waterford","30-50 Acres",1358
"3546","1870","Waterford","30-50 Acres",1385
"3547","1875","Waterford","30-50 Acres",1382
"3548","1880","Waterford","30-50 Acres",1358
"3549","1885","Waterford","30-50 Acres",1319
"3550","1890","Waterford","30-50 Acres",1323
"3551","1895","Waterford","30-50 Acres",1314
"3552","1900","Waterford","30-50 Acres",1284
"3553","1905","Waterford","30-50 Acres",1276
"3554","1910","Waterford","30-50 Acres",1295
"3555","1915","Waterford","30-50 Acres",1029
"3556","1930","Waterford","30-50 Acres",925
"3557","1940","Waterford","30-50 Acres",868
"3558","1945","Waterford","30-50 Acres",830
"3559","1950","Waterford","30-50 Acres",809
"3560","1955","Waterford","30-50 Acres",821
"3561","1960","Waterford","30-50 Acres",763
"3562","1965","Waterford","30-50 Acres",732
"3563","1970","Waterford","30-50 Acres",744
"3564","1975","Waterford","30-50 Acres",704
"3565","1980","Waterford","30-50 Acres",668
"3566","1855","Connacht","30-50 Acres",10370
"3567","1860","Connacht","30-50 Acres",11230
"3568","1865","Connacht","30-50 Acres",10675
"3569","1870","Connacht","30-50 Acres",10753
"3570","1875","Connacht","30-50 Acres",10750
"3571","1880","Connacht","30-50 Acres",10704
"3572","1885","Connacht","30-50 Acres",11223
"3573","1890","Connacht","30-50 Acres",11522
"3574","1895","Connacht","30-50 Acres",11630
"3575","1900","Connacht","30-50 Acres",11567
"3576","1905","Connacht","30-50 Acres",11836
"3577","1910","Connacht","30-50 Acres",12421
"3578","1915","Connacht","30-50 Acres",13511
"3579","1930","Connacht","30-50 Acres",18841
"3580","1940","Connacht","30-50 Acres",19412
"3581","1945","Connacht","30-50 Acres",19770
"3582","1950","Connacht","30-50 Acres",20006
"3583","1955","Connacht","30-50 Acres",20359
"3584","1960","Connacht","30-50 Acres",21141
"3585","1965","Connacht","30-50 Acres",21025
"3586","1970","Connacht","30-50 Acres",20613
"3587","1975","Connacht","30-50 Acres",20193
"3588","1980","Connacht","30-50 Acres",19740
"3589","1855","Galway","30-50 Acres",3259
"3590","1860","Galway","30-50 Acres",3407
"3591","1865","Galway","30-50 Acres",3296
"3592","1870","Galway","30-50 Acres",3457
"3593","1875","Galway","30-50 Acres",3460
"3594","1880","Galway","30-50 Acres",3327
"3595","1885","Galway","30-50 Acres",3571
"3596","1890","Galway","30-50 Acres",3504
"3597","1895","Galway","30-50 Acres",3547
"3598","1900","Galway","30-50 Acres",3498
"3599","1905","Galway","30-50 Acres",3695
"3600","1910","Galway","30-50 Acres",4033
"3601","1915","Galway","30-50 Acres",4744
"3602","1930","Galway","30-50 Acres",6694
"3603","1940","Galway","30-50 Acres",7016
"3604","1945","Galway","30-50 Acres",7095
"3605","1950","Galway","30-50 Acres",7202
"3606","1955","Galway","30-50 Acres",7201
"3607","1960","Galway","30-50 Acres",7290
"3608","1965","Galway","30-50 Acres",7255
"3609","1970","Galway","30-50 Acres",7082
"3610","1975","Galway","30-50 Acres",6929
"3611","1980","Galway","30-50 Acres",6737
"3612","1855","Leitrim","30-50 Acres",1696
"3613","1860","Leitrim","30-50 Acres",1653
"3614","1865","Leitrim","30-50 Acres",1619
"3615","1870","Leitrim","30-50 Acres",1654
"3616","1875","Leitrim","30-50 Acres",1668
"3617","1880","Leitrim","30-50 Acres",1683
"3618","1885","Leitrim","30-50 Acres",1693
"3619","1890","Leitrim","30-50 Acres",1782
"3620","1895","Leitrim","30-50 Acres",1813
"3621","1900","Leitrim","30-50 Acres",1817
"3622","1905","Leitrim","30-50 Acres",1825
"3623","1910","Leitrim","30-50 Acres",1827
"3624","1915","Leitrim","30-50 Acres",1859
"3625","1930","Leitrim","30-50 Acres",2083
"3626","1940","Leitrim","30-50 Acres",2142
"3627","1945","Leitrim","30-50 Acres",2210
"3628","1950","Leitrim","30-50 Acres",2235
"3629","1955","Leitrim","30-50 Acres",2286
"3630","1960","Leitrim","30-50 Acres",2359
"3631","1965","Leitrim","30-50 Acres",2335
"3632","1970","Leitrim","30-50 Acres",2241
"3633","1975","Leitrim","30-50 Acres",2184
"3634","1980","Leitrim","30-50 Acres",2119
"3635","1855","Mayo","30-50 Acres",2570
"3636","1860","Mayo","30-50 Acres",2986
"3637","1865","Mayo","30-50 Acres",2500
"3638","1870","Mayo","30-50 Acres",2514
"3639","1875","Mayo","30-50 Acres",2515
"3640","1880","Mayo","30-50 Acres",2528
"3641","1885","Mayo","30-50 Acres",2756
"3642","1890","Mayo","30-50 Acres",2930
"3643","1895","Mayo","30-50 Acres",2925
"3644","1900","Mayo","30-50 Acres",2905
"3645","1905","Mayo","30-50 Acres",3000
"3646","1910","Mayo","30-50 Acres",3007
"3647","1915","Mayo","30-50 Acres",3124
"3648","1930","Mayo","30-50 Acres",4630
"3649","1940","Mayo","30-50 Acres",4457
"3650","1945","Mayo","30-50 Acres",4520
"3651","1950","Mayo","30-50 Acres",4579
"3652","1955","Mayo","30-50 Acres",4679
"3653","1960","Mayo","30-50 Acres",5049
"3654","1965","Mayo","30-50 Acres",5155
"3655","1970","Mayo","30-50 Acres",5170
"3656","1975","Mayo","30-50 Acres",5140
"3657","1980","Mayo","30-50 Acres",5081
"3658","1855","Roscommon","30-50 Acres",1398
"3659","1860","Roscommon","30-50 Acres",1656
"3660","1865","Roscommon","30-50 Acres",1702
"3661","1870","Roscommon","30-50 Acres",1646
"3662","1875","Roscommon","30-50 Acres",1592
"3663","1880","Roscommon","30-50 Acres",1619
"3664","1885","Roscommon","30-50 Acres",1638
"3665","1890","Roscommon","30-50 Acres",1668
"3666","1895","Roscommon","30-50 Acres",1706
"3667","1900","Roscommon","30-50 Acres",1750
"3668","1905","Roscommon","30-50 Acres",1742
"3669","1910","Roscommon","30-50 Acres",1920
"3670","1915","Roscommon","30-50 Acres",2175
"3671","1930","Roscommon","30-50 Acres",3332
"3672","1940","Roscommon","30-50 Acres",3649
"3673","1945","Roscommon","30-50 Acres",3740
"3674","1950","Roscommon","30-50 Acres",3780
"3675","1955","Roscommon","30-50 Acres",3944
"3676","1960","Roscommon","30-50 Acres",4035
"3677","1965","Roscommon","30-50 Acres",3942
"3678","1970","Roscommon","30-50 Acres",3870
"3679","1975","Roscommon","30-50 Acres",3745
"3680","1980","Roscommon","30-50 Acres",3664
"3681","1855","Sligo","30-50 Acres",1447
"3682","1860","Sligo","30-50 Acres",1528
"3683","1865","Sligo","30-50 Acres",1558
"3684","1870","Sligo","30-50 Acres",1482
"3685","1875","Sligo","30-50 Acres",1515
"3686","1880","Sligo","30-50 Acres",1547
"3687","1885","Sligo","30-50 Acres",1565
"3688","1890","Sligo","30-50 Acres",1638
"3689","1895","Sligo","30-50 Acres",1639
"3690","1900","Sligo","30-50 Acres",1597
"3691","1905","Sligo","30-50 Acres",1574
"3692","1910","Sligo","30-50 Acres",1634
"3693","1915","Sligo","30-50 Acres",1609
"3694","1930","Sligo","30-50 Acres",2102
"3695","1940","Sligo","30-50 Acres",2148
"3696","1945","Sligo","30-50 Acres",2205
"3697","1950","Sligo","30-50 Acres",2210
"3698","1955","Sligo","30-50 Acres",2249
"3699","1960","Sligo","30-50 Acres",2408
"3700","1965","Sligo","30-50 Acres",2338
"3701","1970","Sligo","30-50 Acres",2250
"3702","1975","Sligo","30-50 Acres",2195
"3703","1980","Sligo","30-50 Acres",2139
"3704","1855","Ulster","30-50 Acres",7369
"3705","1860","Ulster","30-50 Acres",7387
"3706","1865","Ulster","30-50 Acres",7493
"3707","1870","Ulster","30-50 Acres",7588
"3708","1875","Ulster","30-50 Acres",7867
"3709","1880","Ulster","30-50 Acres",7967
"3710","1885","Ulster","30-50 Acres",7993
"3711","1890","Ulster","30-50 Acres",7943
"3712","1895","Ulster","30-50 Acres",8043
"3713","1900","Ulster","30-50 Acres",8068
"3714","1905","Ulster","30-50 Acres",8159
"3715","1910","Ulster","30-50 Acres",8189
"3716","1915","Ulster","30-50 Acres",8165
"3717","1930","Ulster","30-50 Acres",8843
"3718","1940","Ulster","30-50 Acres",8537
"3719","1945","Ulster","30-50 Acres",8504
"3720","1950","Ulster","30-50 Acres",8572
"3721","1955","Ulster","30-50 Acres",8681
"3722","1960","Ulster","30-50 Acres",8297
"3723","1965","Ulster","30-50 Acres",8150
"3724","1970","Ulster","30-50 Acres",7995
"3725","1975","Ulster","30-50 Acres",7640
"3726","1980","Ulster","30-50 Acres",7337
"3727","1855","Cavan","30-50 Acres",2121
"3728","1860","Cavan","30-50 Acres",2142
"3729","1865","Cavan","30-50 Acres",2214
"3730","1870","Cavan","30-50 Acres",2275
"3731","1875","Cavan","30-50 Acres",2367
"3732","1880","Cavan","30-50 Acres",2448
"3733","1885","Cavan","30-50 Acres",2415
"3734","1890","Cavan","30-50 Acres",2465
"3735","1895","Cavan","30-50 Acres",2488
"3736","1900","Cavan","30-50 Acres",2471
"3737","1905","Cavan","30-50 Acres",2511
"3738","1910","Cavan","30-50 Acres",2473
"3739","1915","Cavan","30-50 Acres",2509
"3740","1930","Cavan","30-50 Acres",2913
"3741","1940","Cavan","30-50 Acres",2945
"3742","1945","Cavan","30-50 Acres",3015
"3743","1950","Cavan","30-50 Acres",3064
