"","Year","Statistic","Time.Worked.by.Farm.Holder","value"
"107","2001","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",10.8
"108","2002","Number of Family Farms (Thousand)","0.75 < 1.00 AWU",10.7
"109","1991","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",23.7
"110","1992","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",23.5
"111","1993","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",24.8
"112","1994","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",24
"113","1995","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",22.6
"114","1996","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",23.8
"115","1997","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",21.9
"116","1998","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",21.7
"117","1999","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",21.3
"118","2000","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",19.8
"119","2001","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",18.8
"120","2002","Number of Farm Workers on Family Farms (Thousand)","0.75 < 1.00 AWU",18.4
"121","1991","Number of Family Farms (Thousand)","1.00 AWU",116.6
"122","1992","Number of Family Farms (Thousand)","1.00 AWU",114.1
"123","1993","Number of Family Farms (Thousand)","1.00 AWU",108.2
"124","1994","Number of Family Farms (Thousand)","1.00 AWU",104.8
"125","1995","Number of Family Farms (Thousand)","1.00 AWU",103.8
"126","1996","Number of Family Farms (Thousand)","1.00 AWU",99.2
"127","1997","Number of Family Farms (Thousand)","1.00 AWU",97.9
"128","1998","Number of Family Farms (Thousand)","1.00 AWU",95.7
"129","1999","Number of Family Farms (Thousand)","1.00 AWU",91.3
"130","2000","Number of Family Farms (Thousand)","1.00 AWU",78.1
"131","2001","Number of Family Farms (Thousand)","1.00 AWU",77.2
"132","2002","Number of Family Farms (Thousand)","1.00 AWU",73.5
"133","1991","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",181.6
"134","1992","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",179.5
"135","1993","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",170.5
"136","1994","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",164.5
"137","1995","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",153.4
"138","1996","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",152.7
"139","1997","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",139.8
"140","1998","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",134.7
"141","1999","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",127
"142","2000","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",107.5
"143","2001","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",105.4
"144","2002","Number of Farm Workers on Family Farms (Thousand)","1.00 AWU",99.6
