"","Year","Statistic","Type.of.Work","Receiving.Benefits.or.Not","value"
"36","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",312.18
"37","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",336.87
"38","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",365.49
"39","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Total",548.61
"40","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",45.5
"41","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",45
"42","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",45
"43","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",43.7
"44","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",44.4
"45","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",42.9
"46","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",44.26
"47","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",43.4
"48","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",44.5
"49","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",43.9
"50","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",43
"51","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",44.3
"52","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Total",43.3
"53","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",40.38
"54","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",61.91
"55","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",70.86
"56","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",84.36
"57","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",98.24
"58","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",123.55
"59","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",145.72
"60","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",163.1
"61","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",182.09
"62","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",221.63
"63","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",236.91
"64","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",267.88
"65","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Total",366.65
"66","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",43.9
"67","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",44.5
"68","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",44.8
"69","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",43.6
"70","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",44.8
"71","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",43.8
"72","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",44.08
"73","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",43.7
"74","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",43.8
"75","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",42.9
"76","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",43.1
"77","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",43.8
"78","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Total",41.6
"79","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",55.36
"80","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",52.15
"81","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",60.36
"82","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",72.6
"83","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",83.92
"84","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",106.11
"85","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",128.45
"86","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",145.98
"87","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",155.25
"88","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",190.73
"89","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",210.6
"90","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",242.6
"91","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Total",318.17
"92","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",43.6
"93","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",43.2
"94","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",43
"95","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",42.2
"96","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",41.5
"97","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",42.8
"98","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",43.04
"99","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",43
"100","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",41.8
"101","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",42.1
"102","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",41.6
"103","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",42
"104","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Total",40.8
"105","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",42.28
"106","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",52.16
"107","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",62.36
"108","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",70.17
"109","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",88.77
"110","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",104.72
"111","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",124.85
"112","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",154.76
"113","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",160.05
"114","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",198.47
"115","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",197.15
"116","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",236.79
"117","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Total",292.74
"118","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",42.3
"119","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",41.1
"120","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",41.2
"121","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",40.2
"122","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",41
"123","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",39.3
"124","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",40.32
"125","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",41.5
"126","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",41.4
"127","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",39.9
"128","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",38.4
"129","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",40.6
"130","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Total",38.8
"131","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",50.28
"132","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",66.13
"133","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",79.85
"134","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",94.2
"135","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",110.71
"136","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",142.26
"137","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",176.75
"138","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",201.99
"139","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",226.8
"140","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",232.83
"141","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",270
"142","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",386.64
"143","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Total",465.24
"144","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",45.5
"145","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",45
"146","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",45
"147","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",43.7
"148","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",44.4
"149","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",42.9
"150","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",44.26
"151","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",43.4
"152","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",44.5
"153","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",38.4
"154","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",40.4
"155","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",39.8
"156","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Total",42.4
"157","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",41.65
"158","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",55.06
"159","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",65.1
"160","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",77.48
"161","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",102.94
"162","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",112.28
"163","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",119.9
"164","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",153.68
"165","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",161.02
"166","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",213.11
"167","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",210.01
"168","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",269.13
"169","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Total",291.94
"170","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",42.2
"171","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",42
"172","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",41.4
"173","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",40.8
"174","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",41.5
"175","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",38.8
"176","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",40.15
"177","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",40.9
"178","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",41.4
"179","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",39.8
"180","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",39.1
"181","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",40.2
"182","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Total",39.3
"183","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",55.36
"184","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",52.15
"185","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",60.36
"186","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",65.37
"187","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",84.3
"188","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",100.66
"189","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",123.34
"190","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",148.47
"191","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",152.67
"192","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",186.45
"193","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",175.34
"194","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",228.44
"195","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Total",264.93
"196","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",43.6
"197","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",43.2
"198","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",43
"199","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",39.8
"200","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",40.8
"201","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",39.3
"202","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",40.46
"203","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",41.2
"204","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",41.2
"205","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",40.2
"206","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",37.6
"207","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",40.7
"208","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Total",37.9
"209","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",39.62
"210","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",52.77
"211","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",61.46
"212","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",72.22
"213","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",86.46
"214","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",106.87
"215","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",128.32
"216","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",147.95
"217","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",158.06
"218","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",193.47
"219","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",216.55
"220","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",246.96
"221","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Total",357.03
"222","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",43.8
"223","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",43.3
"224","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",43.2
"225","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",42.3
"226","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",41.9
"227","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",41.7
"228","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",41.88
"229","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",42.3
"230","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",41.8
"231","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",42.1
"232","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",41.8
"233","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",42.4
"234","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Total",43.8
"235","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",50.28
"236","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",66.13
"237","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",79.85
"238","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",94.2
"239","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",110.71
"240","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",142.26
"241","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",176.75
"242","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",201.99
"243","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",226.8
"244","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",285.67
"245","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",312.93
"246","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",341.06
"247","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Total",448.33
"248","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",45.5
"249","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",45
"250","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",45
"251","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",43.7
"252","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",44.4
"253","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",42.9
"254","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",44.26
"255","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",43.4
"256","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",44.5
"257","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",43.7
"258","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",41.7
"259","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",42
"260","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Total",43.5
"261","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",38.98
"262","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",55.51
"263","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",64.99
