"","Year","Statistic","Relationship.to.Holder","value"
"93","1999","Annual Work Units Worked (Number)","Other Family Workers",29.5
"94","2000","Annual Work Units Worked (Number)","Other Family Workers",25
"95","2001","Annual Work Units Worked (Number)","Other Family Workers",23.1
"96","2002","Annual Work Units Worked (Number)","Other Family Workers",21.3
"97","1991","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",13.4
"98","1992","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",15.8
"99","1993","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",15.1
"100","1994","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",15.6
"101","1995","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",15.5
"102","1996","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",13.8
"103","1997","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",13.9
"104","1998","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",13.5
"105","1999","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",12.9
"106","2000","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",14.4
"107","2001","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",14.6
"108","2002","Number of Family Farm Workers (Thousand)","Regular Non-Family Workers",13.1
"109","1991","Annual Work Units Worked (Number)","Regular Non-Family Workers",11
"110","1992","Annual Work Units Worked (Number)","Regular Non-Family Workers",11.4
"111","1993","Annual Work Units Worked (Number)","Regular Non-Family Workers",10.5
"112","1994","Annual Work Units Worked (Number)","Regular Non-Family Workers",10.7
"113","1995","Annual Work Units Worked (Number)","Regular Non-Family Workers",10.4
"114","1996","Annual Work Units Worked (Number)","Regular Non-Family Workers",9.3
"115","1997","Annual Work Units Worked (Number)","Regular Non-Family Workers",8.9
"116","1998","Annual Work Units Worked (Number)","Regular Non-Family Workers",8.4
"117","1999","Annual Work Units Worked (Number)","Regular Non-Family Workers",7.5
"118","2000","Annual Work Units Worked (Number)","Regular Non-Family Workers",8
"119","2001","Annual Work Units Worked (Number)","Regular Non-Family Workers",7.7
"120","2002","Annual Work Units Worked (Number)","Regular Non-Family Workers",7.5
"121","1991","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"122","1992","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"123","1993","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"124","1994","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"125","1995","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"126","1996","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"127","1997","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"128","1998","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"129","1999","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"130","2000","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"131","2001","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"132","2002","Number of Family Farm Workers (Thousand)","Non-Regular Workers",NA
"133","1991","Annual Work Units Worked (Number)","Non-Regular Workers",8.4
"134","1992","Annual Work Units Worked (Number)","Non-Regular Workers",9.6
"135","1993","Annual Work Units Worked (Number)","Non-Regular Workers",9
"136","1994","Annual Work Units Worked (Number)","Non-Regular Workers",9.2
"137","1995","Annual Work Units Worked (Number)","Non-Regular Workers",9.8
"138","1996","Annual Work Units Worked (Number)","Non-Regular Workers",8.8
"139","1997","Annual Work Units Worked (Number)","Non-Regular Workers",8.6
"140","1998","Annual Work Units Worked (Number)","Non-Regular Workers",8.7
"141","1999","Annual Work Units Worked (Number)","Non-Regular Workers",8.1
"142","2000","Annual Work Units Worked (Number)","Non-Regular Workers",7.8
"143","2001","Annual Work Units Worked (Number)","Non-Regular Workers",7.2
"144","2002","Annual Work Units Worked (Number)","Non-Regular Workers",6.7
