"","Year","Type.of.Land.Use","Region","value"
"104","1992","Beans and peas","State",2.7
"105","1993","Beans and peas","State",6.1
"106","1994","Beans and peas","State",5.6
"107","1995","Beans and peas","State",4.8
"108","1996","Beans and peas","State",4.8
"109","1997","Beans and peas","State",4.8
"110","1998","Beans and peas","State",6.5
"111","1999","Beans and peas","State",4.1
"112","2000","Beans and peas","State",1.5
"113","2001","Beans and peas","State",1.9
"114","2002","Beans and peas","State",1.7
"115","2003","Beans and peas","State",2.9
"116","2004","Beans and peas","State",2.7
"117","2005","Beans and peas","State",3.7
"118","2006","Beans and peas","State",4.3
"119","2007","Beans and peas","State",2.9
"120","1991","Oilseed rape","State",6.2
"121","1992","Oilseed rape","State",5.9
"122","1993","Oilseed rape","State",3.4
"123","1994","Oilseed rape","State",6.4
"124","1995","Oilseed rape","State",4.1
"125","1996","Oilseed rape","State",3.5
"126","1997","Oilseed rape","State",4.4
"127","1998","Oilseed rape","State",5.6
"128","1999","Oilseed rape","State",2.6
"129","2000","Oilseed rape","State",2.7
"130","2001","Oilseed rape","State",2.4
"131","2002","Oilseed rape","State",2.2
"132","2003","Oilseed rape","State",2.3
"133","2004","Oilseed rape","State",2.2
"134","2005","Oilseed rape","State",3.7
"135","2006","Oilseed rape","State",5.1
"136","2007","Oilseed rape","State",8.2
"137","1991","Arable silage","State",NA
"138","1992","Arable silage","State",NA
"139","1993","Arable silage","State",NA
"140","1994","Arable silage","State",NA
"141","1995","Arable silage","State",NA
"142","1996","Arable silage","State",NA
"143","1997","Arable silage","State",NA
"144","1998","Arable silage","State",NA
"145","1999","Arable silage","State",NA
"146","2000","Arable silage","State",24.4
"147","2001","Arable silage","State",24.4
"148","2002","Arable silage","State",20.8
"149","2003","Arable silage","State",29.4
"150","2004","Arable silage","State",21.2
"151","2005","Arable silage","State",19.6
"152","2006","Arable silage","State",14.7
"153","2007","Arable silage","State",17
"154","1991","Maize silage","State",NA
"155","1992","Maize silage","State",NA
"156","1993","Maize silage","State",NA
"157","1994","Maize silage","State",NA
"158","1995","Maize silage","State",NA
"159","1996","Maize silage","State",NA
"160","1997","Maize silage","State",NA
"161","1998","Maize silage","State",NA
"162","1999","Maize silage","State",NA
"163","2000","Maize silage","State",14
"164","2001","Maize silage","State",19.7
"165","2002","Maize silage","State",19.3
"166","2003","Maize silage","State",15.6
"167","2004","Maize silage","State",13.5
"168","2005","Maize silage","State",14.6
"169","2006","Maize silage","State",20.2
"170","2007","Maize silage","State",20.9
"171","1991","Fodder rape and kale","State",NA
"172","1992","Fodder rape and kale","State",NA
"173","1993","Fodder rape and kale","State",NA
"174","1994","Fodder rape and kale","State",NA
"175","1995","Fodder rape and kale","State",NA
"176","1996","Fodder rape and kale","State",NA
"177","1997","Fodder rape and kale","State",NA
"178","1998","Fodder rape and kale","State",NA
"179","1999","Fodder rape and kale","State",NA
"180","2000","Fodder rape and kale","State",0.9
"181","2001","Fodder rape and kale","State",1
"182","2002","Fodder rape and kale","State",1
"183","2003","Fodder rape and kale","State",0.8
"184","2004","Fodder rape and kale","State",1.1
"185","2005","Fodder rape and kale","State",1.5
"186","2006","Fodder rape and kale","State",2.4
"187","2007","Fodder rape and kale","State",2
"188","1991","Potatoes","State",20.5
"189","1992","Potatoes","State",22.1
"190","1993","Potatoes","State",21.6
"191","1994","Potatoes","State",21.4
"192","1995","Potatoes","State",22.4
"193","1996","Potatoes","State",24.3
"194","1997","Potatoes","State",18.2
"195","1998","Potatoes","State",18.5
"196","1999","Potatoes","State",17.5
"197","2000","Potatoes","State",13.5
"198","2001","Potatoes","State",14.3
"199","2002","Potatoes","State",15.4
"200","2003","Potatoes","State",14.2
"201","2004","Potatoes","State",13.3
"202","2005","Potatoes","State",11.8
"203","2006","Potatoes","State",11.5
"204","2007","Potatoes","State",11.7
"205","1991","Turnips","State",6
"206","1992","Turnips","State",5.5
"207","1993","Turnips","State",5.2
"208","1994","Turnips","State",5.6
"209","1995","Turnips","State",5.3
"210","1996","Turnips","State",5.4
"211","1997","Turnips","State",5.2
"212","1998","Turnips","State",4.6
"213","1999","Turnips","State",4.2
"214","2000","Turnips","State",2.1
"215","2001","Turnips","State",1.8
"216","2002","Turnips","State",1.7
"217","2003","Turnips","State",1.2
"218","2004","Turnips","State",1.2
"219","2005","Turnips","State",1.3
"220","2006","Turnips","State",1.2
"221","2007","Turnips","State",1.1
"222","1991","Beet","State",43.4
"223","1992","Beet","State",42.3
"224","1993","Beet","State",43.1
"225","1994","Beet","State",45.2
"226","1995","Beet","State",44
"227","1996","Beet","State",42.2
"228","1997","Beet","State",41.4
"229","1998","Beet","State",40.2
"230","1999","Beet","State",40.8
"231","2000","Beet","State",37.3
"232","2001","Beet","State",35.4
"233","2002","Beet","State",35.5
"234","2003","Beet","State",35.1
"235","2004","Beet","State",35.2
"236","2005","Beet","State",35
"237","2006","Beet","State",9.4
"238","2007","Beet","State",7.8
"239","1991","Sugar beet","State",33.3
"240","1992","Sugar beet","State",31.3
"241","1993","Sugar beet","State",32.2
"242","1994","Sugar beet","State",35.4
"243","1995","Sugar beet","State",35.1
"244","1996","Sugar beet","State",32.3
"245","1997","Sugar beet","State",32.3
"246","1998","Sugar beet","State",32.9
"247","1999","Sugar beet","State",33.8
"248","2000","Sugar beet","State",32.2
"249","2001","Sugar beet","State",31.1
"250","2002","Sugar beet","State",31.3
"251","2003","Sugar beet","State",31.5
"252","2004","Sugar beet","State",31.1
"253","2005","Sugar beet","State",31
"254","2006","Sugar beet","State",1.7
"255","2007","Sugar beet","State",NA
"256","1991","Fodder beet","State",10.1
"257","1992","Fodder beet","State",11
"258","1993","Fodder beet","State",10.9
"259","1994","Fodder beet","State",9.8
"260","1995","Fodder beet","State",8.9
"261","1996","Fodder beet","State",9.9
"262","1997","Fodder beet","State",9.1
"263","1998","Fodder beet","State",7.3
"264","1999","Fodder beet","State",7
"265","2000","Fodder beet","State",5.1
"266","2001","Fodder beet","State",4.3
"267","2002","Fodder beet","State",4.2
"268","2003","Fodder beet","State",3.6
"269","2004","Fodder beet","State",4.1
"270","2005","Fodder beet","State",4
"271","2006","Fodder beet","State",7.7
"272","2007","Fodder beet","State",NA
"273","1991","Kale and field cabbage","State",1.4
"274","1992","Kale and field cabbage","State",1.9
"275","1993","Kale and field cabbage","State",1.8
"276","1994","Kale and field cabbage","State",1.8
"277","1995","Kale and field cabbage","State",1.5
"278","1996","Kale and field cabbage","State",1.6
"279","1997","Kale and field cabbage","State",1.7
"280","1998","Kale and field cabbage","State",1.1
"281","1999","Kale and field cabbage","State",1.1
"282","2000","Kale and field cabbage","State",NA
"283","2001","Kale and field cabbage","State",NA
"284","2002","Kale and field cabbage","State",NA
"285","2003","Kale and field cabbage","State",NA
"286","2004","Kale and field cabbage","State",NA
"287","2005","Kale and field cabbage","State",NA
"288","2006","Kale and field cabbage","State",NA
"289","2007","Kale and field cabbage","State",NA
"290","1991","Vegetables for sale","State",4.1
"291","1992","Vegetables for sale","State",4.3
"292","1993","Vegetables for sale","State",4.6
"293","1994","Vegetables for sale","State",4.8
"294","1995","Vegetables for sale","State",4.7
"295","1996","Vegetables for sale","State",4.6
"296","1997","Vegetables for sale","State",4.7
"297","1998","Vegetables for sale","State",5.1
"298","1999","Vegetables for sale","State",4.5
"299","2000","Vegetables for sale","State",4.1
"300","2001","Vegetables for sale","State",4.3
"301","2002","Vegetables for sale","State",4
"302","2003","Vegetables for sale","State",4.1
"303","2004","Vegetables for sale","State",3.7
"304","2005","Vegetables for sale","State",4.1
"305","2006","Vegetables for sale","State",3.9
"306","2007","Vegetables for sale","State",4.2
"307","1991","Fruit","State",1.6
"308","1992","Fruit","State",1.7
"309","1993","Fruit","State",1.6
"310","1994","Fruit","State",1.7
"311","1995","Fruit","State",1.6
"312","1996","Fruit","State",1.5
"313","1997","Fruit","State",1.7
"314","1998","Fruit","State",1.6
"315","1999","Fruit","State",1.5
"316","2000","Fruit","State",1.2
"317","2001","Fruit","State",1.2
"318","2002","Fruit","State",0.9
"319","2003","Fruit","State",1.3
"320","2004","Fruit","State",1.2
"321","2005","Fruit","State",1.6
"322","2006","Fruit","State",1.5
"323","2007","Fruit","State",1.6
"324","1991","Nurseries, horticulture etc.","State",0.8
"325","1992","Nurseries, horticulture etc.","State",1.1
"326","1993","Nurseries, horticulture etc.","State",1
"327","1994","Nurseries, horticulture etc.","State",1.3
"328","1995","Nurseries, horticulture etc.","State",1.2
"329","1996","Nurseries, horticulture etc.","State",1.1
"330","1997","Nurseries, horticulture etc.","State",1.2
"331","1998","Nurseries, horticulture etc.","State",1.2
"332","1999","Nurseries, horticulture etc.","State",1.5
"333","2000","Nurseries, horticulture etc.","State",0.9
"334","2001","Nurseries, horticulture etc.","State",0.9
"335","2002","Nurseries, horticulture etc.","State",1.1
"336","2003","Nurseries, horticulture etc.","State",1
"337","2004","Nurseries, horticulture etc.","State",1.3
"338","2005","Nurseries, horticulture etc.","State",1.3
"339","2006","Nurseries, horticulture etc.","State",1.4
"340","2007","Nurseries, horticulture etc.","State",1.2
"341","1991","Other crops","State",3.6
"342","1992","Other crops","State",5.3
"343","1993","Other crops","State",30.5
"344","1994","Other crops","State",36.6
"345","1995","Other crops","State",36
"346","1996","Other crops","State",24
"347","1997","Other crops","State",21
"348","1998","Other crops","State",23
"349","1999","Other crops","State",33.4
"350","2000","Other crops","State",19.4
"351","2001","Other crops","State",22.4
"352","2002","Other crops","State",21
"353","2003","Other crops","State",25.6
"354","2004","Other crops","State",17.2
"355","2005","Other crops","State",20.9
"356","2006","Other crops","State",25.8
"357","2007","Other crops","State",21.8
"358","1991","Total cereals","State",301.5
"359","1992","Total cereals","State",300.3
"360","1993","Total cereals","State",285
"361","1994","Total cereals","State",270
"362","1995","Total cereals","State",273.9
"363","1996","Total cereals","State",293.4
"364","1997","Total cereals","State",309.9
"365","1998","Total cereals","State",300.6
"366","1999","Total cereals","State",289.9
"367","2000","Total cereals","State",279
"368","2001","Total cereals","State",285.9
"369","2002","Total cereals","State",299.3
"370","2003","Total cereals","State",302.9
"371","2004","Total cereals","State",310.2
"372","2005","Total cereals","State",282
"373","2006","Total cereals","State",279.8
"374","2007","Total cereals","State",278.9
"375","1991","Total wheat","State",85.7
"376","1992","Total wheat","State",90.6
"377","1993","Total wheat","State",79.2
"378","1994","Total wheat","State",74.1
"379","1995","Total wheat","State",70.7
"380","1996","Total wheat","State",85.7
"381","1997","Total wheat","State",93.9
"382","1998","Total wheat","State",83.8
"383","1999","Total wheat","State",68.1
"384","2000","Total wheat","State",78
"385","2001","Total wheat","State",84.9
"386","2002","Total wheat","State",102.7
"387","2003","Total wheat","State",95.7
"388","2004","Total wheat","State",102.7
"389","2005","Total wheat","State",95.2
"390","2006","Total wheat","State",87.5
"391","2007","Total wheat","State",84.3
"392","1991","Winter wheat","State",66.9
"393","1992","Winter wheat","State",73.3
"394","1993","Winter wheat","State",57.2
"395","1994","Winter wheat","State",56.2
"396","1995","Winter wheat","State",51.8
"397","1996","Winter wheat","State",67.2
"398","1997","Winter wheat","State",70.2
"399","1998","Winter wheat","State",65.5
"400","1999","Winter wheat","State",40.6
"401","2000","Winter wheat","State",58.8
"402","2001","Winter wheat","State",49.9
"403","2002","Winter wheat","State",80
"404","2003","Winter wheat","State",60.6
"405","2004","Winter wheat","State",71.5
"406","2005","Winter wheat","State",65
"407","2006","Winter wheat","State",59.2
"408","2007","Winter wheat","State",64.7
"409","1991","Spring wheat","State",18.8
"410","1992","Spring wheat","State",17.3
"411","1993","Spring wheat","State",22
"412","1994","Spring wheat","State",17.9
"413","1995","Spring wheat","State",18.9
"414","1996","Spring wheat","State",18.5
"415","1997","Spring wheat","State",23.7
"416","1998","Spring wheat","State",18.4
"417","1999","Spring wheat","State",27.4
"418","2000","Spring wheat","State",19.1
"419","2001","Spring wheat","State",35
"420","2002","Spring wheat","State",22.7
"421","2003","Spring wheat","State",35.2
"422","2004","Spring wheat","State",31.2
"423","2005","Spring wheat","State",30.2
"424","2006","Spring wheat","State",28.3
"425","2007","Spring wheat","State",19.6
"426","1991","Total oats","State",20.6
"427","1992","Total oats","State",20.1
"428","1993","Total oats","State",20.2
"429","1994","Total oats","State",20.9
"430","1995","Total oats","State",19.9
"431","1996","Total oats","State",20.9
"432","1997","Total oats","State",20.6
"433","1998","Total oats","State",19.4
"434","1999","Total oats","State",20.2
"435","2000","Total oats","State",16.8
"436","2001","Total oats","State",16.8
"437","2002","Total oats","State",18.8
"438","2003","Total oats","State",21
"439","2004","Total oats","State",20
"440","2005","Total oats","State",16.8
"441","2006","Total oats","State",20.4
"442","2007","Total oats","State",21.3
"443","1991","Winter oats","State",11.4
"444","1992","Winter oats","State",11.6
"445","1993","Winter oats","State",11.4
"446","1994","Winter oats","State",13.3
"447","1995","Winter oats","State",10.5
"448","1996","Winter oats","State",12.5
"449","1997","Winter oats","State",11.2
"450","1998","Winter oats","State",12.1
"451","1999","Winter oats","State",7.7
"452","2000","Winter oats","State",9.6
"453","2001","Winter oats","State",5.7
"454","2002","Winter oats","State",11.8
"455","2003","Winter oats","State",9.4
"456","2004","Winter oats","State",12.9
"457","2005","Winter oats","State",8.6
"458","2006","Winter oats","State",9.3
"459","2007","Winter oats","State",13.5
"460","1991","Spring oats","State",9.2
"461","1992","Spring oats","State",8.4
"462","1993","Spring oats","State",8.8
"463","1994","Spring oats","State",7.6
"464","1995","Spring oats","State",9.4
"465","1996","Spring oats","State",8.4
"466","1997","Spring oats","State",9.4
"467","1998","Spring oats","State",7.3
"468","1999","Spring oats","State",12.5
"469","2000","Spring oats","State",7.2
"470","2001","Spring oats","State",11.1
"471","2002","Spring oats","State",7
"472","2003","Spring oats","State",11.6
"473","2004","Spring oats","State",7
"474","2005","Spring oats","State",8.2
"475","2006","Spring oats","State",11.1
"476","2007","Spring oats","State",7.8
"477","1991","Total barley","State",193.4
"478","1992","Total barley","State",184.4
"479","1993","Total barley","State",180.8
"480","1994","Total barley","State",169.7
"481","1995","Total barley","State",178.6
"482","1996","Total barley","State",181.4
"483","1997","Total barley","State",189.8
"484","1998","Total barley","State",190.7
"485","1999","Total barley","State",192
"486","2000","Total barley","State",182.3
"487","2001","Total barley","State",182
"488","2002","Total barley","State",176
"489","2003","Total barley","State",183.1
"490","2004","Total barley","State",183.7
"491","2005","Total barley","State",164.4
"492","2006","Total barley","State",167
"493","2007","Total barley","State",167.5
"494","1991","Winter barley","State",33.3
"495","1992","Winter barley","State",40.3
"496","1993","Winter barley","State",39.4
"497","1994","Winter barley","State",31.7
"498","1995","Winter barley","State",37.1
"499","1996","Winter barley","State",40.9
"500","1997","Winter barley","State",41.1
"501","1998","Winter barley","State",39
"502","1999","Winter barley","State",26.2
"503","2000","Winter barley","State",24.1
"504","2001","Winter barley","State",19.6
"505","2002","Winter barley","State",23.2
"506","2003","Winter barley","State",19.8
"507","2004","Winter barley","State",20.5
"508","2005","Winter barley","State",17
"509","2006","Winter barley","State",15.1
"510","2007","Winter barley","State",18.7
"511","1991","Spring barley","State",160.1
"512","1992","Spring barley","State",144
"513","1993","Spring barley","State",141.4
"514","1994","Spring barley","State",138
"515","1995","Spring barley","State",141.4
"516","1996","Spring barley","State",140.5
"517","1997","Spring barley","State",148.6
"518","1998","Spring barley","State",151.7
"519","1999","Spring barley","State",165.8
"520","2000","Spring barley","State",158.2
"521","2001","Spring barley","State",162.4
"522","2002","Spring barley","State",152.8
"523","2003","Spring barley","State",163.3
"524","2004","Spring barley","State",163.2
"525","2005","Spring barley","State",147.4
"526","2006","Spring barley","State",151.9
"527","2007","Spring barley","State",148.8
"528","1991","Other cereals","State",1.9
"529","1992","Other cereals","State",5.2
"530","1993","Other cereals","State",4.7
"531","1994","Other cereals","State",5.3
"532","1995","Other cereals","State",4.7
"533","1996","Other cereals","State",5.5
"534","1997","Other cereals","State",5.6
"535","1998","Other cereals","State",6.6
"536","1999","Other cereals","State",9.5
"537","2000","Other cereals","State",2
"538","2001","Other cereals","State",2.2
"539","2002","Other cereals","State",1.8
"540","2003","Other cereals","State",3.1
"541","2004","Other cereals","State",3.8
"542","2005","Other cereals","State",5.5
"543","2006","Other cereals","State",4.9
"544","2007","Other cereals","State",5.8
"545","1991","Rough grazing in use","State",641.9
"546","1992","Rough grazing in use","State",595.9
"547","1993","Rough grazing in use","State",499.7
"548","1994","Rough grazing in use","State",461.5
"549","1995","Rough grazing in use","State",459.5
"550","1996","Rough grazing in use","State",429
"551","1997","Rough grazing in use","State",473.9
"552","1998","Rough grazing in use","State",446.4
"553","1999","Rough grazing in use","State",464.5
"554","2000","Rough grazing in use","State",506.5
"555","2001","Rough grazing in use","State",463.1
"556","2002","Rough grazing in use","State",471.7
"557","2003","Rough grazing in use","State",468.1
"558","2004","Rough grazing in use","State",453.5
"559","2005","Rough grazing in use","State",471.5
"560","2006","Rough grazing in use","State",471
"561","2007","Rough grazing in use","State",454.8
"562","1991","Area farmed (AAU)","Border",682.3
"563","1992","Area farmed (AAU)","Border",652.8
"564","1993","Area farmed (AAU)","Border",678.2
"565","1994","Area farmed (AAU)","Border",678.3
"566","1995","Area farmed (AAU)","Border",666.4
"567","1996","Area farmed (AAU)","Border",658.1
"568","1997","Area farmed (AAU)","Border",678
"569","1998","Area farmed (AAU)","Border",673
"570","1999","Area farmed (AAU)","Border",675.9
"571","2000","Area farmed (AAU)","Border",732.3
"572","2001","Area farmed (AAU)","Border",726.8
"573","2002","Area farmed (AAU)","Border",716.1
"574","2003","Area farmed (AAU)","Border",712.8
"575","2004","Area farmed (AAU)","Border",696.2
"576","2005","Area farmed (AAU)","Border",703.3
"577","2006","Area farmed (AAU)","Border",696.7
"578","2007","Area farmed (AAU)","Border",704.1
"579","1991","Crops and pasture","Border",534.5
"580","1992","Crops and pasture","Border",533.8
"581","1993","Crops and pasture","Border",559.1
"582","1994","Crops and pasture","Border",573.6
"583","1995","Crops and pasture","Border",563.3
"584","1996","Crops and pasture","Border",559.9
"585","1997","Crops and pasture","Border",572.1
"586","1998","Crops and pasture","Border",574.5
"587","1999","Crops and pasture","Border",577.1
"588","2000","Crops and pasture","Border",606.3
"589","2001","Crops and pasture","Border",606.4
"590","2002","Crops and pasture","Border",592.9
"591","2003","Crops and pasture","Border",592.2
"592","2004","Crops and pasture","Border",580.9
"593","2005","Crops and pasture","Border",584.8
"594","2006","Crops and pasture","Border",577
"595","2007","Crops and pasture","Border",584.9
"596","1991","Pasture","Border",339
"597","1992","Pasture","Border",327.2
"598","1993","Pasture","Border",341.2
"599","1994","Pasture","Border",348.6
"600","1995","Pasture","Border",346.9
"601","1996","Pasture","Border",337.9
"602","1997","Pasture","Border",353.5
"603","1998","Pasture","Border",361.4
"604","1999","Pasture","Border",364.1
"605","2000","Pasture","Border",361.7
"606","2001","Pasture","Border",364.4
"607","2002","Pasture","Border",366.3
"608","2003","Pasture","Border",373.1
"609","2004","Pasture","Border",352.6
"610","2005","Pasture","Border",321.8
"611","2006","Pasture","Border",320.6
"612","2007","Pasture","Border",355.5
"613","1991","Hay","Border",66.1
"614","1992","Hay","Border",69
"615","1993","Hay","Border",66.4
"616","1994","Hay","Border",68.3
"617","1995","Hay","Border",58.7
"618","1996","Hay","Border",61.9
"619","1997","Hay","Border",55.5
"620","1998","Hay","Border",46.5
"621","1999","Hay","Border",36.6
"622","2000","Hay","Border",37.3
"623","2001","Hay","Border",38.2
"624","2002","Hay","Border",26.7
"625","2003","Hay","Border",23
"626","2004","Hay","Border",25.5
"627","2005","Hay","Border",32.4
"628","2006","Hay","Border",33.1
"629","2007","Hay","Border",31.6
"630","1991","Grass silage","Border",95.8
"631","1992","Grass silage","Border",102.2
"632","1993","Grass silage","Border",116.9
"633","1994","Grass silage","Border",122
"634","1995","Grass silage","Border",125.3
"635","1996","Grass silage","Border",127.8
"636","1997","Grass silage","Border",128.3
"637","1998","Grass silage","Border",132.5
"638","1999","Grass silage","Border",140.4
"639","2000","Grass silage","Border",169.6
"640","2001","Grass silage","Border",166.8
"641","2002","Grass silage","Border",161.2
"642","2003","Grass silage","Border",155.3
"643","2004","Grass silage","Border",164.3
"644","2005","Grass silage","Border",193.1
"645","2006","Grass silage","Border",186.7
"646","2007","Grass silage","Border",160.4
"647","1991","Total crops, fruit and horticulture","Border",33.5
"648","1992","Total crops, fruit and horticulture","Border",35.4
"649","1993","Total crops, fruit and horticulture","Border",34.5
"650","1994","Total crops, fruit and horticulture","Border",34.7
"651","1995","Total crops, fruit and horticulture","Border",32.4
"652","1996","Total crops, fruit and horticulture","Border",32.3
"653","1997","Total crops, fruit and horticulture","Border",34.8
"654","1998","Total crops, fruit and horticulture","Border",34
"655","1999","Total crops, fruit and horticulture","Border",36
"656","2000","Total crops, fruit and horticulture","Border",37.7
"657","2001","Total crops, fruit and horticulture","Border",37
"658","2002","Total crops, fruit and horticulture","Border",38.7
"659","2003","Total crops, fruit and horticulture","Border",40.8
"660","2004","Total crops, fruit and horticulture","Border",38.4
"661","2005","Total crops, fruit and horticulture","Border",37.4
"662","2006","Total crops, fruit and horticulture","Border",36.6
"663","2007","Total crops, fruit and horticulture","Border",37.4
"664","1991","Beans and peas","Border",0.2
"665","1992","Beans and peas","Border",0.2
"666","1993","Beans and peas","Border",0.5
"667","1994","Beans and peas","Border",0.4
"668","1995","Beans and peas","Border",0.2
"669","1996","Beans and peas","Border",0.3
"670","1997","Beans and peas","Border",0.2
"671","1998","Beans and peas","Border",0.4
"672","1999","Beans and peas","Border",0.2
"673","2000","Beans and peas","Border",0.2
"674","2001","Beans and peas","Border",0.2
"675","2002","Beans and peas","Border",0.2
"676","2003","Beans and peas","Border",0.3
"677","2004","Beans and peas","Border",0.3
"678","2005","Beans and peas","Border",0.4
"679","2006","Beans and peas","Border",0.3
"680","2007","Beans and peas","Border",0.2
"681","1991","Oilseed rape","Border",1.9
"682","1992","Oilseed rape","Border",2.1
"683","1993","Oilseed rape","Border",1.2
"684","1994","Oilseed rape","Border",1.6
"685","1995","Oilseed rape","Border",1
"686","1996","Oilseed rape","Border",0.7
"687","1997","Oilseed rape","Border",1.2
"688","1998","Oilseed rape","Border",1.9
"689","1999","Oilseed rape","Border",0.4
"690","2000","Oilseed rape","Border",0.4
"691","2001","Oilseed rape","Border",0.3
"692","2002","Oilseed rape","Border",0.5
"693","2003","Oilseed rape","Border",0.4
"694","2004","Oilseed rape","Border",0.4
"695","2005","Oilseed rape","Border",0.5
"696","2006","Oilseed rape","Border",0.7
"697","2007","Oilseed rape","Border",0.9
"698","1991","Arable silage","Border",NA
"699","1992","Arable silage","Border",NA
"700","1993","Arable silage","Border",NA
"701","1994","Arable silage","Border",NA
"702","1995","Arable silage","Border",NA
"703","1996","Arable silage","Border",NA
"704","1997","Arable silage","Border",NA
"705","1998","Arable silage","Border",NA
"706","1999","Arable silage","Border",NA
"707","2000","Arable silage","Border",3.5
"708","2001","Arable silage","Border",3.2
"709","2002","Arable silage","Border",3.2
"710","2003","Arable silage","Border",4.6
"711","2004","Arable silage","Border",3
"712","2005","Arable silage","Border",3.4
"713","2006","Arable silage","Border",2.9
"714","2007","Arable silage","Border",3
"715","1991","Maize silage","Border",NA
"716","1992","Maize silage","Border",NA
"717","1993","Maize silage","Border",NA
"718","1994","Maize silage","Border",NA
"719","1995","Maize silage","Border",NA
"720","1996","Maize silage","Border",NA
"721","1997","Maize silage","Border",NA
"722","1998","Maize silage","Border",NA
"723","1999","Maize silage","Border",NA
"724","2000","Maize silage","Border",1.2
"725","2001","Maize silage","Border",1.3
"726","2002","Maize silage","Border",1.3
"727","2003","Maize silage","Border",1.6
