"","Year","Region","Type.of.Land.Use","value"
"82","2011","Mid-West","Crops and pasture",512.3
"83","2012","Mid-West","Crops and pasture",502.8
"84","2013","Mid-West","Crops and pasture",509.7
"85","2008","South-East","Crops and pasture",694.2
"86","2009","South-East","Crops and pasture",689.7
"87","2010","South-East","Crops and pasture",680
"88","2011","South-East","Crops and pasture",678.1
"89","2012","South-East","Crops and pasture",660.9
"90","2013","South-East","Crops and pasture",662.5
"91","2008","South-West","Crops and pasture",715.7
"92","2009","South-West","Crops and pasture",705.4
"93","2010","South-West","Crops and pasture",710.9
"94","2011","South-West","Crops and pasture",701.4
"95","2012","South-West","Crops and pasture",695.8
"96","2013","South-West","Crops and pasture",675.2
"97","2008","State","Pasture",2314.9
"98","2009","State","Pasture",2333.7
"99","2010","State","Pasture",2507.6
"100","2011","State","Pasture",2459.3
"101","2012","State","Pasture",2391
"102","2013","State","Pasture",2337.7
"103","2008","Dublin plus Mid East","Pasture",215
"104","2009","Dublin plus Mid East","Pasture",224
"105","2010","Dublin plus Mid East","Pasture",224.4
"106","2011","Dublin plus Mid East","Pasture",216.1
"107","2012","Dublin plus Mid East","Pasture",213.3
"108","2013","Dublin plus Mid East","Pasture",203.5
"109","2008","Border","Pasture",385.8
"110","2009","Border","Pasture",385.2
"111","2010","Border","Pasture",429.9
"112","2011","Border","Pasture",429.6
"113","2012","Border","Pasture",411.8
"114","2013","Border","Pasture",408.7
"115","2008","Midland","Pasture",248.7
"116","2009","Midland","Pasture",251.9
"117","2010","Midland","Pasture",262.6
"118","2011","Midland","Pasture",252
"119","2012","Midland","Pasture",235.3
"120","2013","Midland","Pasture",232
"121","2008","West","Pasture",431
"122","2009","West","Pasture",432
"123","2010","West","Pasture",479.3
"124","2011","West","Pasture",474
"125","2012","West","Pasture",481.2
"126","2013","West","Pasture",460.3
"127","2008","Mid-West","Pasture",316.7
"128","2009","Mid-West","Pasture",320.1
"129","2010","Mid-West","Pasture",331.7
"130","2011","Mid-West","Pasture",319.4
"131","2012","Mid-West","Pasture",309.3
"132","2013","Mid-West","Pasture",316.7
"133","2008","South-East","Pasture",334.1
"134","2009","South-East","Pasture",335.5
"135","2010","South-East","Pasture",358.5
"136","2011","South-East","Pasture",353.5
"137","2012","South-East","Pasture",331.1
"138","2013","South-East","Pasture",326.4
"139","2008","South-West","Pasture",383.7
"140","2009","South-West","Pasture",384.9
"141","2010","South-West","Pasture",421.2
"142","2011","South-West","Pasture",414.7
"143","2012","South-West","Pasture",409.1
"144","2013","South-West","Pasture",390.1
"145","2008","State","Hay",267.2
"146","2009","State","Hay",245.7
"147","2010","State","Hay",193.8
"148","2011","State","Hay",213.2
"149","2012","State","Hay",203.5
"150","2013","State","Hay",218.4
"151","2008","Dublin plus Mid East","Hay",28.3
"152","2009","Dublin plus Mid East","Hay",27.2
"153","2010","Dublin plus Mid East","Hay",22.2
"154","2011","Dublin plus Mid East","Hay",22.9
"155","2012","Dublin plus Mid East","Hay",20.9
"156","2013","Dublin plus Mid East","Hay",23.7
"157","2008","Border","Hay",38
"158","2009","Border","Hay",32.5
"159","2010","Border","Hay",26.6
"160","2011","Border","Hay",32.6
"161","2012","Border","Hay",35.8
"162","2013","Border","Hay",36.9
"163","2008","Midland","Hay",31.6
"164","2009","Midland","Hay",33.1
"165","2010","Midland","Hay",22.5
"166","2011","Midland","Hay",24.5
"167","2012","Midland","Hay",25.8
"168","2013","Midland","Hay",23.9
"169","2008","West","Hay",44.8
"170","2009","West","Hay",38.4
"171","2010","West","Hay",31.2
"172","2011","West","Hay",38.5
"173","2012","West","Hay",32.5
"174","2013","West","Hay",35.8
"175","2008","Mid-West","Hay",33.8
"176","2009","Mid-West","Hay",31.2
"177","2010","Mid-West","Hay",28.4
"178","2011","Mid-West","Hay",26.7
"179","2012","Mid-West","Hay",24.5
"180","2013","Mid-West","Hay",27
"181","2008","South-East","Hay",45.1
"182","2009","South-East","Hay",44.7
"183","2010","South-East","Hay",34.7
"184","2011","South-East","Hay",37.3
"185","2012","South-East","Hay",36.2
"186","2013","South-East","Hay",41
"187","2008","South-West","Hay",45.6
"188","2009","South-West","Hay",38.6
"189","2010","South-West","Hay",28.2
"190","2011","South-West","Hay",30.8
"191","2012","South-West","Hay",27.9
"192","2013","South-West","Hay",30.1
"193","2008","State","Grass silage",1161.5
"194","2009","State","Grass silage",1153.1
"195","2010","State","Grass silage",1076.4
"196","2011","State","Grass silage",1070.2
"197","2012","State","Grass silage",1075
"198","2013","State","Grass silage",1071
"199","2008","Dublin plus Mid East","Grass silage",79.5
"200","2009","Dublin plus Mid East","Grass silage",81.5
"201","2010","Dublin plus Mid East","Grass silage",82.7
"202","2011","Dublin plus Mid East","Grass silage",88.9
"203","2012","Dublin plus Mid East","Grass silage",85.7
"204","2013","Dublin plus Mid East","Grass silage",84.8
"205","2008","Border","Grass silage",181.6
"206","2009","Border","Grass silage",176.6
"207","2010","Border","Grass silage",170.2
"208","2011","Border","Grass silage",166.3
"209","2012","Border","Grass silage",170.1
"210","2013","Border","Grass silage",174.7
"211","2008","Midland","Grass silage",125.3
"212","2009","Midland","Grass silage",124.1
"213","2010","Midland","Grass silage",112.3
"214","2011","Midland","Grass silage",115.6
"215","2012","Midland","Grass silage",114.8
"216","2013","Midland","Grass silage",114.9
"217","2008","West","Grass silage",192
"218","2009","West","Grass silage",190.9
"219","2010","West","Grass silage",179
"220","2011","West","Grass silage",180.8
"221","2012","West","Grass silage",181.9
"222","2013","West","Grass silage",176.8
"223","2008","Mid-West","Grass silage",174.7
"224","2009","Mid-West","Grass silage",172.5
"225","2010","Mid-West","Grass silage",156.5
"226","2011","Mid-West","Grass silage",154.1
"227","2012","Mid-West","Grass silage",156.6
"228","2013","Mid-West","Grass silage",153.9
"229","2008","South-East","Grass silage",187.1
"230","2009","South-East","Grass silage",187.6
"231","2010","South-East","Grass silage",171.9
"232","2011","South-East","Grass silage",166.9
"233","2012","South-East","Grass silage",167.3
"234","2013","South-East","Grass silage",168.9
"235","2008","South-West","Grass silage",221.3
"236","2009","South-West","Grass silage",219.9
"237","2010","South-West","Grass silage",203.7
"238","2011","South-West","Grass silage",197.5
"239","2012","South-West","Grass silage",198.6
"240","2013","South-West","Grass silage",197
"241","2008","State","Total crops, fruit and horticulture",385
"242","2009","State","Total crops, fruit and horticulture",369.4
"243","2010","State","Total crops, fruit and horticulture",353.9
"244","2011","State","Total crops, fruit and horticulture",365.4
"245","2012","State","Total crops, fruit and horticulture",382.1
"246","2013","State","Total crops, fruit and horticulture",377.2
"247","2008","Dublin plus Mid East","Total crops, fruit and horticulture",102.1
"248","2009","Dublin plus Mid East","Total crops, fruit and horticulture",98.7
"249","2010","Dublin plus Mid East","Total crops, fruit and horticulture",97.5
"250","2011","Dublin plus Mid East","Total crops, fruit and horticulture",100.1
"251","2012","Dublin plus Mid East","Total crops, fruit and horticulture",104.6
"252","2013","Dublin plus Mid East","Total crops, fruit and horticulture",104.5
"253","2008","Border","Total crops, fruit and horticulture",31.7
"254","2009","Border","Total crops, fruit and horticulture",31.1
"255","2010","Border","Total crops, fruit and horticulture",30.4
"256","2011","Border","Total crops, fruit and horticulture",30.2
"257","2012","Border","Total crops, fruit and horticulture",31.3
"258","2013","Border","Total crops, fruit and horticulture",31.1
"259","2008","Midland","Total crops, fruit and horticulture",38.3
"260","2009","Midland","Total crops, fruit and horticulture",36.8
"261","2010","Midland","Total crops, fruit and horticulture",34.9
"262","2011","Midland","Total crops, fruit and horticulture",37.5
"263","2012","Midland","Total crops, fruit and horticulture",40.3
"264","2013","Midland","Total crops, fruit and horticulture",38.5
"265","2008","West","Total crops, fruit and horticulture",6.4
"266","2009","West","Total crops, fruit and horticulture",6.3
"267","2010","West","Total crops, fruit and horticulture",6.4
"268","2011","West","Total crops, fruit and horticulture",6.7
"269","2012","West","Total crops, fruit and horticulture",6.9
"270","2013","West","Total crops, fruit and horticulture",6.9
"271","2008","Mid-West","Total crops, fruit and horticulture",13.4
"272","2009","Mid-West","Total crops, fruit and horticulture",12.5
"273","2010","Mid-West","Total crops, fruit and horticulture",12.1
"274","2011","Mid-West","Total crops, fruit and horticulture",12
"275","2012","Mid-West","Total crops, fruit and horticulture",12.4
"276","2013","Mid-West","Total crops, fruit and horticulture",12.1
"277","2008","South-East","Total crops, fruit and horticulture",127.9
"278","2009","South-East","Total crops, fruit and horticulture",122
"279","2010","South-East","Total crops, fruit and horticulture",114.9
"280","2011","South-East","Total crops, fruit and horticulture",120.4
"281","2012","South-East","Total crops, fruit and horticulture",126.3
"282","2013","South-East","Total crops, fruit and horticulture",126.2
"283","2008","South-West","Total crops, fruit and horticulture",65.2
"284","2009","South-West","Total crops, fruit and horticulture",62
"285","2010","South-West","Total crops, fruit and horticulture",57.8
"286","2011","South-West","Total crops, fruit and horticulture",58.4
"287","2012","South-West","Total crops, fruit and horticulture",60.2
"288","2013","South-West","Total crops, fruit and horticulture",57.9
"289","2008","State","Beans and peas",2.5
"290","2009","State","Beans and peas",4.2
"291","2010","State","Beans and peas",4.6
"292","2011","State","Beans and peas",2.9
"293","2012","State","Beans and peas",4.1
"294","2013","State","Beans and peas",4.5
"295","2008","Dublin plus Mid East","Beans and peas",0.5
"296","2009","Dublin plus Mid East","Beans and peas",1.2
"297","2010","Dublin plus Mid East","Beans and peas",1.3
"298","2011","Dublin plus Mid East","Beans and peas",0.7
"299","2012","Dublin plus Mid East","Beans and peas",1
"300","2013","Dublin plus Mid East","Beans and peas",1.6
"301","2008","Border","Beans and peas",0.1
"302","2009","Border","Beans and peas",0.3
"303","2010","Border","Beans and peas",0.2
"304","2011","Border","Beans and peas",0.1
"305","2012","Border","Beans and peas",0.3
"306","2013","Border","Beans and peas",0.3
"307","2008","Midland","Beans and peas",0.1
"308","2009","Midland","Beans and peas",0.3
"309","2010","Midland","Beans and peas",0.3
"310","2011","Midland","Beans and peas",0.2
"311","2012","Midland","Beans and peas",0.2
"312","2013","Midland","Beans and peas",0.4
"313","2008","West","Beans and peas",0.1
"314","2009","West","Beans and peas",0.1
"315","2010","West","Beans and peas",0
"316","2011","West","Beans and peas",0
"317","2012","West","Beans and peas",0.1
"318","2013","West","Beans and peas",0.1
"319","2008","Mid-West","Beans and peas",0
"320","2009","Mid-West","Beans and peas",0.1
"321","2010","Mid-West","Beans and peas",0
"322","2011","Mid-West","Beans and peas",0.1
"323","2012","Mid-West","Beans and peas",0
"324","2013","Mid-West","Beans and peas",0
"325","2008","South-East","Beans and peas",0.9
"326","2009","South-East","Beans and peas",1.6
"327","2010","South-East","Beans and peas",1.8
"328","2011","South-East","Beans and peas",1.1
"329","2012","South-East","Beans and peas",1.5
"330","2013","South-East","Beans and peas",1.3
"331","2008","South-West","Beans and peas",0.7
"332","2009","South-West","Beans and peas",0.7
"333","2010","South-West","Beans and peas",0.8
"334","2011","South-West","Beans and peas",0.6
"335","2012","South-West","Beans and peas",1
"336","2013","South-West","Beans and peas",0.8
"337","2008","State","Oilseed rape",5.6
"338","2009","State","Oilseed rape",6.3
"339","2010","State","Oilseed rape",8
"340","2011","State","Oilseed rape",12.4
"341","2012","State","Oilseed rape",17.5
"342","2013","State","Oilseed rape",13.7
"343","2008","Dublin plus Mid East","Oilseed rape",1.8
"344","2009","Dublin plus Mid East","Oilseed rape",2.5
"345","2010","Dublin plus Mid East","Oilseed rape",3
"346","2011","Dublin plus Mid East","Oilseed rape",5
"347","2012","Dublin plus Mid East","Oilseed rape",6.8
"348","2013","Dublin plus Mid East","Oilseed rape",5.1
"349","2008","Border","Oilseed rape",0.5
"350","2009","Border","Oilseed rape",0.6
"351","2010","Border","Oilseed rape",0.9
"352","2011","Border","Oilseed rape",1.3
"353","2012","Border","Oilseed rape",1.9
"354","2013","Border","Oilseed rape",1.2
"355","2008","Midland","Oilseed rape",0.3
"356","2009","Midland","Oilseed rape",0.4
"357","2010","Midland","Oilseed rape",0.9
"358","2011","Midland","Oilseed rape",0.7
"359","2012","Midland","Oilseed rape",1
"360","2013","Midland","Oilseed rape",0.9
"361","2008","West","Oilseed rape",0
"362","2009","West","Oilseed rape",0
"363","2010","West","Oilseed rape",0
"364","2011","West","Oilseed rape",0
"365","2012","West","Oilseed rape",0
"366","2013","West","Oilseed rape",0
"367","2008","Mid-West","Oilseed rape",0
"368","2009","Mid-West","Oilseed rape",0
"369","2010","Mid-West","Oilseed rape",0.1
"370","2011","Mid-West","Oilseed rape",0.2
"371","2012","Mid-West","Oilseed rape",0.2
"372","2013","Mid-West","Oilseed rape",0.1
"373","2008","South-East","Oilseed rape",2.1
"374","2009","South-East","Oilseed rape",2.2
"375","2010","South-East","Oilseed rape",2.4
"376","2011","South-East","Oilseed rape",3.9
"377","2012","South-East","Oilseed rape",6
"378","2013","South-East","Oilseed rape",5.6
"379","2008","South-West","Oilseed rape",0.9
"380","2009","South-West","Oilseed rape",0.6
"381","2010","South-West","Oilseed rape",0.6
"382","2011","South-West","Oilseed rape",1.2
"383","2012","South-West","Oilseed rape",1.5
"384","2013","South-West","Oilseed rape",0.8
"385","2008","State","Arable silage",3.7
"386","2009","State","Arable silage",3.8
"387","2010","State","Arable silage",4.1
"388","2011","State","Arable silage",2.9
"389","2012","State","Arable silage",2.4
"390","2013","State","Arable silage",3.9
"391","2008","Dublin plus Mid East","Arable silage",0.4
"392","2009","Dublin plus Mid East","Arable silage",0.5
"393","2010","Dublin plus Mid East","Arable silage",0.6
"394","2011","Dublin plus Mid East","Arable silage",0.3
"395","2012","Dublin plus Mid East","Arable silage",0.2
"396","2013","Dublin plus Mid East","Arable silage",0.6
"397","2008","Border","Arable silage",0.6
"398","2009","Border","Arable silage",0.8
"399","2010","Border","Arable silage",0.7
"400","2011","Border","Arable silage",0.6
"401","2012","Border","Arable silage",0.7
"402","2013","Border","Arable silage",0.7
"403","2008","Midland","Arable silage",0.6
"404","2009","Midland","Arable silage",0.6
"405","2010","Midland","Arable silage",0.5
"406","2011","Midland","Arable silage",0.4
"407","2012","Midland","Arable silage",0.3
"408","2013","Midland","Arable silage",0.6
"409","2008","West","Arable silage",0.2
"410","2009","West","Arable silage",0.2
"411","2010","West","Arable silage",0.3
"412","2011","West","Arable silage",0.3
"413","2012","West","Arable silage",0.3
"414","2013","West","Arable silage",0.3
"415","2008","Mid-West","Arable silage",0.2
"416","2009","Mid-West","Arable silage",0.2
"417","2010","Mid-West","Arable silage",0.2
"418","2011","Mid-West","Arable silage",0.1
"419","2012","Mid-West","Arable silage",0.1
"420","2013","Mid-West","Arable silage",0.1
"421","2008","South-East","Arable silage",0.6
"422","2009","South-East","Arable silage",0.8
"423","2010","South-East","Arable silage",1.1
"424","2011","South-East","Arable silage",0.6
"425","2012","South-East","Arable silage",0.3
"426","2013","South-East","Arable silage",0.7
"427","2008","South-West","Arable silage",0.9
"428","2009","South-West","Arable silage",0.7
"429","2010","South-West","Arable silage",0.8
"430","2011","South-West","Arable silage",0.6
"431","2012","South-West","Arable silage",0.4
"432","2013","South-West","Arable silage",0.9
"433","2008","State","Maize silage",24.5
"434","2009","State","Maize silage",24.7
"435","2010","State","Maize silage",22.8
"436","2011","State","Maize silage",19
"437","2012","State","Maize silage",13.7
"438","2013","State","Maize silage",14.5
"439","2008","Dublin plus Mid East","Maize silage",5.5
"440","2009","Dublin plus Mid East","Maize silage",5.6
"441","2010","Dublin plus Mid East","Maize silage",4.6
"442","2011","Dublin plus Mid East","Maize silage",3.7
"443","2012","Dublin plus Mid East","Maize silage",2.8
"444","2013","Dublin plus Mid East","Maize silage",3.2
"445","2008","Border","Maize silage",2.2
"446","2009","Border","Maize silage",2.3
"447","2010","Border","Maize silage",1.8
"448","2011","Border","Maize silage",1.3
"449","2012","Border","Maize silage",0.9
"450","2013","Border","Maize silage",1.2
"451","2008","Midland","Maize silage",2.5
"452","2009","Midland","Maize silage",2.2
"453","2010","Midland","Maize silage",1.8
"454","2011","Midland","Maize silage",1.7
"455","2012","Midland","Maize silage",1.1
"456","2013","Midland","Maize silage",1
"457","2008","West","Maize silage",0.6
"458","2009","West","Maize silage",0.4
"459","2010","West","Maize silage",0.4
"460","2011","West","Maize silage",0.4
"461","2012","West","Maize silage",0.2
"462","2013","West","Maize silage",0.2
"463","2008","Mid-West","Maize silage",1.1
"464","2009","Mid-West","Maize silage",1
"465","2010","Mid-West","Maize silage",1
"466","2011","Mid-West","Maize silage",1
"467","2012","Mid-West","Maize silage",0.7
"468","2013","Mid-West","Maize silage",0.5
"469","2008","South-East","Maize silage",6.5
"470","2009","South-East","Maize silage",6.6
"471","2010","South-East","Maize silage",6.4
"472","2011","South-East","Maize silage",5.5
"473","2012","South-East","Maize silage",4
"474","2013","South-East","Maize silage",4
"475","2008","South-West","Maize silage",6.2
"476","2009","South-West","Maize silage",6.5
"477","2010","South-West","Maize silage",6.8
"478","2011","South-West","Maize silage",5.4
"479","2012","South-West","Maize silage",4.1
"480","2013","South-West","Maize silage",4.5
"481","2008","State","Fodder rape and kale",0.9
"482","2009","State","Fodder rape and kale",1.5
"483","2010","State","Fodder rape and kale",1.8
"484","2011","State","Fodder rape and kale",1.3
"485","2012","State","Fodder rape and kale",1.7
"486","2013","State","Fodder rape and kale",1.4
"487","2008","Dublin plus Mid East","Fodder rape and kale",0.1
"488","2009","Dublin plus Mid East","Fodder rape and kale",0.2
"489","2010","Dublin plus Mid East","Fodder rape and kale",0.4
"490","2011","Dublin plus Mid East","Fodder rape and kale",0.2
"491","2012","Dublin plus Mid East","Fodder rape and kale",0.2
"492","2013","Dublin plus Mid East","Fodder rape and kale",0.2
"493","2008","Border","Fodder rape and kale",0
"494","2009","Border","Fodder rape and kale",0
"495","2010","Border","Fodder rape and kale",0.1
"496","2011","Border","Fodder rape and kale",0.1
"497","2012","Border","Fodder rape and kale",0.1
"498","2013","Border","Fodder rape and kale",0.1
"499","2008","Midland","Fodder rape and kale",0.1
"500","2009","Midland","Fodder rape and kale",0.3
"501","2010","Midland","Fodder rape and kale",0.3
"502","2011","Midland","Fodder rape and kale",0.3
"503","2012","Midland","Fodder rape and kale",0.3
"504","2013","Midland","Fodder rape and kale",0.3
"505","2008","West","Fodder rape and kale",0.1
"506","2009","West","Fodder rape and kale",0.1
"507","2010","West","Fodder rape and kale",0.2
"508","2011","West","Fodder rape and kale",0.2
"509","2012","West","Fodder rape and kale",0.2
"510","2013","West","Fodder rape and kale",0.2
"511","2008","Mid-West","Fodder rape and kale",0.1
"512","2009","Mid-West","Fodder rape and kale",0.1
"513","2010","Mid-West","Fodder rape and kale",0.1
"514","2011","Mid-West","Fodder rape and kale",0.1
"515","2012","Mid-West","Fodder rape and kale",0.1
"516","2013","Mid-West","Fodder rape and kale",0.1
"517","2008","South-East","Fodder rape and kale",0.3
"518","2009","South-East","Fodder rape and kale",0.5
"519","2010","South-East","Fodder rape and kale",0.5
"520","2011","South-East","Fodder rape and kale",0.3
"521","2012","South-East","Fodder rape and kale",0.5
"522","2013","South-East","Fodder rape and kale",0.4
"523","2008","South-West","Fodder rape and kale",0.2
"524","2009","South-West","Fodder rape and kale",0.3
"525","2010","South-West","Fodder rape and kale",0.3
"526","2011","South-West","Fodder rape and kale",0.2
"527","2012","South-West","Fodder rape and kale",0.3
"528","2013","South-West","Fodder rape and kale",0.3
"529","2008","State","Potatoes",11.2
"530","2009","State","Potatoes",12.2
"531","2010","State","Potatoes",12.2
"532","2011","State","Potatoes",10.4
"533","2012","State","Potatoes",9
"534","2013","State","Potatoes",10.7
"535","2008","Dublin plus Mid East","Potatoes",5.4
"536","2009","Dublin plus Mid East","Potatoes",5.4
"537","2010","Dublin plus Mid East","Potatoes",5.2
"538","2011","Dublin plus Mid East","Potatoes",4.4
"539","2012","Dublin plus Mid East","Potatoes",3.9
"540","2013","Dublin plus Mid East","Potatoes",4.7
"541","2008","Border","Potatoes",2.2
"542","2009","Border","Potatoes",2.4
"543","2010","Border","Potatoes",2.6
"544","2011","Border","Potatoes",2.1
"545","2012","Border","Potatoes",1.9
"546","2013","Border","Potatoes",2.3
"547","2008","Midland","Potatoes",0.3
"548","2009","Midland","Potatoes",0.3
"549","2010","Midland","Potatoes",0.2
"550","2011","Midland","Potatoes",0.4
"551","2012","Midland","Potatoes",0.2
"552","2013","Midland","Potatoes",0.3
"553","2008","West","Potatoes",0.2
"554","2009","West","Potatoes",0.2
"555","2010","West","Potatoes",0.2
"556","2011","West","Potatoes",0.2
"557","2012","West","Potatoes",0.1
"558","2013","West","Potatoes",0.1
"559","2008","Mid-West","Potatoes",0.3
"560","2009","Mid-West","Potatoes",0.2
"561","2010","Mid-West","Potatoes",0.3
"562","2011","Mid-West","Potatoes",0.2
"563","2012","Mid-West","Potatoes",0.2
"564","2013","Mid-West","Potatoes",0.2
"565","2008","South-East","Potatoes",2
"566","2009","South-East","Potatoes",2.5
"567","2010","South-East","Potatoes",2.6
"568","2011","South-East","Potatoes",2.2
"569","2012","South-East","Potatoes",1.8
"570","2013","South-East","Potatoes",2.1
"571","2008","South-West","Potatoes",1
"572","2009","South-West","Potatoes",1.1
"573","2010","South-West","Potatoes",1.1
"574","2011","South-West","Potatoes",0.9
"575","2012","South-West","Potatoes",0.8
"576","2013","South-West","Potatoes",1
"577","2008","State","Turnips",1
"578","2009","State","Turnips",1.1
"579","2010","State","Turnips",1.2
"580","2011","State","Turnips",1
"581","2012","State","Turnips",1.1
"582","2013","State","Turnips",0.9
"583","2008","Dublin plus Mid East","Turnips",0.2
"584","2009","Dublin plus Mid East","Turnips",0.2
"585","2010","Dublin plus Mid East","Turnips",0.3
"586","2011","Dublin plus Mid East","Turnips",0.2
"587","2012","Dublin plus Mid East","Turnips",0.2
"588","2013","Dublin plus Mid East","Turnips",0.1
"589","2008","Border","Turnips",0
"590","2009","Border","Turnips",0
"591","2010","Border","Turnips",0
"592","2011","Border","Turnips",0
"593","2012","Border","Turnips",0.1
"594","2013","Border","Turnips",0
"595","2008","Midland","Turnips",0.1
"596","2009","Midland","Turnips",0.1
"597","2010","Midland","Turnips",0.2
"598","2011","Midland","Turnips",0.2
"599","2012","Midland","Turnips",0.1
"600","2013","Midland","Turnips",0.1
"601","2008","West","Turnips",0.1
"602","2009","West","Turnips",0.1
"603","2010","West","Turnips",0.2
"604","2011","West","Turnips",0.1
"605","2012","West","Turnips",0.1
"606","2013","West","Turnips",0.1
"607","2008","Mid-West","Turnips",0
"608","2009","Mid-West","Turnips",0
"609","2010","Mid-West","Turnips",0
"610","2011","Mid-West","Turnips",0
"611","2012","Mid-West","Turnips",0
"612","2013","Mid-West","Turnips",0
"613","2008","South-East","Turnips",0.4
"614","2009","South-East","Turnips",0.4
"615","2010","South-East","Turnips",0.4
"616","2011","South-East","Turnips",0.4
"617","2012","South-East","Turnips",0.4
"618","2013","South-East","Turnips",0.3
"619","2008","South-West","Turnips",0.2
"620","2009","South-West","Turnips",0.2
"621","2010","South-West","Turnips",0.1
"622","2011","South-West","Turnips",0.1
"623","2012","South-West","Turnips",0.2
"624","2013","South-West","Turnips",0.2
"625","2008","State","Beet",9.2
"626","2009","State","Beet",10.8
"627","2010","State","Beet",9.6
"628","2011","State","Beet",8.2
"629","2012","State","Beet",7.8
"630","2013","State","Beet",10.1
"631","2008","Dublin plus Mid East","Beet",1
"632","2009","Dublin plus Mid East","Beet",1.2
"633","2010","Dublin plus Mid East","Beet",0.9
"634","2011","Dublin plus Mid East","Beet",0.9
"635","2012","Dublin plus Mid East","Beet",0.8
"636","2013","Dublin plus Mid East","Beet",1.2
"637","2008","Border","Beet",0.2
"638","2009","Border","Beet",0.2
"639","2010","Border","Beet",0.2
"640","2011","Border","Beet",0.1
"641","2012","Border","Beet",0.1
"642","2013","Border","Beet",0.3
"643","2008","Midland","Beet",1.3
"644","2009","Midland","Beet",1.5
"645","2010","Midland","Beet",1.3
"646","2011","Midland","Beet",1.2
