"","Year","Farm.Land.Utilisation","Rural.District","value"
"66","1933","Oats","Ireland",256844
"67","1955","Oats","Ireland",220624
"68","1960","Oats","Ireland",172324
"69","1965","Oats","Ireland",115089
"70","1970","Oats","Ireland",67977
"71","1975","Oats","Ireland",48985
"72","1980","Oats","Ireland",24513
"73","1926","Barley","Ireland",57064
"74","1933","Barley","Ireland",47519
"75","1955","Barley","Ireland",86288
"76","1960","Barley","Ireland",132915
"77","1965","Barley","Ireland",187789
"78","1970","Barley","Ireland",214292
"79","1975","Barley","Ireland",245120
"80","1980","Barley","Ireland",366316
"81","1926","Malting barley","Ireland",NA
"82","1933","Malting barley","Ireland",NA
"83","1955","Malting barley","Ireland",NA
"84","1960","Malting barley","Ireland",47922
"85","1965","Malting barley","Ireland",54855
"86","1970","Malting barley","Ireland",50826
"87","1975","Malting barley","Ireland",60875
"88","1980","Malting barley","Ireland",49419
"89","1926","Other barley","Ireland",NA
"90","1933","Other barley","Ireland",NA
"91","1955","Other barley","Ireland",NA
"92","1960","Other barley","Ireland",84992
"93","1965","Other barley","Ireland",132934
"94","1970","Other barley","Ireland",163466
"95","1975","Other barley","Ireland",184245
"96","1980","Other barley","Ireland",316897
"97","1926","Spring barley","Ireland",NA
"98","1933","Spring barley","Ireland",NA
"99","1955","Spring barley","Ireland",NA
"100","1960","Spring barley","Ireland",NA
"101","1965","Spring barley","Ireland",NA
"102","1970","Spring barley","Ireland",NA
"103","1975","Spring barley","Ireland",NA
"104","1980","Spring barley","Ireland",290932
"105","1926","Winter barley","Ireland",NA
"106","1933","Winter barley","Ireland",NA
"107","1955","Winter barley","Ireland",NA
"108","1960","Winter barley","Ireland",NA
"109","1965","Winter barley","Ireland",NA
"110","1970","Winter barley","Ireland",NA
"111","1975","Winter barley","Ireland",NA
"112","1980","Winter barley","Ireland",25965
"113","1926","Other corn crops","Ireland",2949
"114","1933","Other corn crops","Ireland",1340
"115","1955","Other corn crops","Ireland",1968
"116","1960","Other corn crops","Ireland",2807
"117","1965","Other corn crops","Ireland",3456
"118","1970","Other corn crops","Ireland",4540
"119","1975","Other corn crops","Ireland",3694
"120","1980","Other corn crops","Ireland",2662
"121","1926","Root and green crops","Ireland",290906
"122","1933","Root and green crops","Ireland",259934
"123","1955","Root and green crops","Ireland",240780
"124","1960","Root and green crops","Ireland",216311
"125","1965","Root and green crops","Ireland",179425
"126","1970","Root and green crops","Ireland",146701
"127","1975","Root and green crops","Ireland",114072
"128","1980","Root and green crops","Ireland",104462
"129","1926","Potatoes","Ireland",151664
"130","1933","Potatoes","Ireland",138052
"131","1955","Potatoes","Ireland",115587
"132","1960","Potatoes","Ireland",94609
"133","1965","Potatoes","Ireland",70547
"134","1970","Potatoes","Ireland",56836
"135","1975","Potatoes","Ireland",40580
"136","1980","Potatoes","Ireland",41583
"137","1926","Turnips","Ireland",78752
"138","1933","Turnips","Ireland",68757
"139","1955","Turnips","Ireland",52249
"140","1960","Turnips","Ireland",41632
"141","1965","Turnips","Ireland",43436
"142","1970","Turnips","Ireland",38260
"143","1975","Turnips","Ireland",22156
"144","1980","Turnips","Ireland",13940
"145","1926","Sugar beet","Ireland",3838
"146","1933","Sugar beet","Ireland",6101
"147","1955","Sugar beet","Ireland",22354
"148","1960","Sugar beet","Ireland",27642
"149","1965","Sugar beet","Ireland",26526
"150","1970","Sugar beet","Ireland",25797
"151","1975","Sugar beet","Ireland",33254
"152","1980","Sugar beet","Ireland",32979
"153","1926","Other root and green crops","Ireland",56652
"154","1933","Other root and green crops","Ireland",47024
"155","1955","Other root and green crops","Ireland",50590
"156","1960","Other root and green crops","Ireland",52428
"157","1965","Other root and green crops","Ireland",38916
"158","1970","Other root and green crops","Ireland",25808
"159","1975","Other root and green crops","Ireland",18083
"160","1980","Other root and green crops","Ireland",15960
"161","1926","Fruit and horticulture","Ireland",3041
"162","1933","Fruit and horticulture","Ireland",2844
"163","1955","Fruit and horticulture","Ireland",4633
"164","1960","Fruit and horticulture","Ireland",5118
"165","1965","Fruit and horticulture","Ireland",4980
"166","1970","Fruit and horticulture","Ireland",4006
"167","1975","Fruit and horticulture","Ireland",3153
"168","1980","Fruit and horticulture","Ireland",2939
"169","1926","Apples","Ireland",NA
"170","1933","Apples","Ireland",NA
"171","1955","Apples","Ireland",NA
"172","1960","Apples","Ireland",NA
"173","1965","Apples","Ireland",2958
"174","1970","Apples","Ireland",2219
"175","1975","Apples","Ireland",1673
"176","1980","Apples","Ireland",1169
"177","1926","Fruit excluding apples","Ireland",NA
"178","1933","Fruit excluding apples","Ireland",NA
"179","1955","Fruit excluding apples","Ireland",NA
"180","1960","Fruit excluding apples","Ireland",NA
"181","1965","Fruit excluding apples","Ireland",1372
"182","1970","Fruit excluding apples","Ireland",1148
"183","1975","Fruit excluding apples","Ireland",748
"184","1980","Fruit excluding apples","Ireland",842
"185","1926","Horticultural bulbs, flowers and bushes","Ireland",NA
"186","1933","Horticultural bulbs, flowers and bushes","Ireland",NA
"187","1955","Horticultural bulbs, flowers and bushes","Ireland",NA
"188","1960","Horticultural bulbs, flowers and bushes","Ireland",629
"189","1965","Horticultural bulbs, flowers and bushes","Ireland",649
"190","1970","Horticultural bulbs, flowers and bushes","Ireland",639
"191","1975","Horticultural bulbs, flowers and bushes","Ireland",731
"192","1980","Horticultural bulbs, flowers and bushes","Ireland",928
"193","1926","Hay","Ireland",925860
"194","1933","Hay","Ireland",908200
"195","1955","Hay","Ireland",764541
"196","1960","Hay","Ireland",801548
"197","1965","Hay","Ireland",797816
"198","1970","Hay","Ireland",918613
"199","1975","Hay","Ireland",1065163
"200","1980","Hay","Ireland",1212800
"201","1926","Rye grass for seed","Ireland",NA
"202","1933","Rye grass for seed","Ireland",NA
"203","1955","Rye grass for seed","Ireland",NA
"204","1960","Rye grass for seed","Ireland",8908
"205","1965","Rye grass for seed","Ireland",7192
"206","1970","Rye grass for seed","Ireland",3541
"207","1975","Rye grass for seed","Ireland",565
"208","1980","Rye grass for seed","Ireland",905
"209","1926","First to fourth years hay","Ireland",NA
"210","1933","First to fourth years hay","Ireland",NA
"211","1955","First to fourth years hay","Ireland",NA
"212","1960","First to fourth years hay","Ireland",NA
"213","1965","First to fourth years hay","Ireland",NA
"214","1970","First to fourth years hay","Ireland",NA
"215","1975","First to fourth years hay","Ireland",251994
"216","1980","First to fourth years hay","Ireland",294355
"217","1926","Permanent meadow","Ireland",NA
"218","1933","Permanent meadow","Ireland",NA
"219","1955","Permanent meadow","Ireland",NA
"220","1960","Permanent meadow","Ireland",NA
"221","1965","Permanent meadow","Ireland",NA
"222","1970","Permanent meadow","Ireland",NA
"223","1975","Permanent meadow","Ireland",812604
"224","1980","Permanent meadow","Ireland",917540
"225","1926","Pasture","Ireland",3406012
"226","1933","Pasture","Ireland",3238883
"227","1955","Pasture","Ireland",3240836
"228","1960","Pasture","Ireland",3066662
"229","1965","Pasture","Ireland",3346803
"230","1970","Pasture","Ireland",3343966
"231","1975","Pasture","Ireland",3165196
"232","1980","Pasture","Ireland",2928972
"233","1926","Rough grazing in use","Ireland",NA
"234","1933","Rough grazing in use","Ireland",NA
"235","1955","Rough grazing in use","Ireland",NA
"236","1960","Rough grazing in use","Ireland",NA
"237","1965","Rough grazing in use","Ireland",NA
"238","1970","Rough grazing in use","Ireland",NA
"239","1975","Rough grazing in use","Ireland",1025986
"240","1980","Rough grazing in use","Ireland",1008729
"241","1926","Other land","Ireland",NA
"242","1933","Other land","Ireland",NA
"243","1955","Other land","Ireland",NA
"244","1960","Other land","Ireland",NA
"245","1965","Other land","Ireland",NA
"246","1970","Other land","Ireland",NA
"247","1975","Other land","Ireland",1173302
"248","1980","Other land","Ireland",1184849
"249","1926","Total Area","Leinster",1963185
"250","1933","Total Area","Leinster",1963185
"251","1955","Total Area","Leinster",1963313
"252","1960","Total Area","Leinster",1963291
"253","1965","Total Area","Leinster",1963293
"254","1970","Total Area","Leinster",1963293
"255","1975","Total Area","Leinster",1963293
"256","1980","Total Area","Leinster",1963279
"257","1926","Crops, hay, pasture and rough grazing","Leinster",NA
"258","1933","Crops, hay, pasture and rough grazing","Leinster",NA
"259","1955","Crops, hay, pasture and rough grazing","Leinster",NA
"260","1960","Crops, hay, pasture and rough grazing","Leinster",NA
"261","1965","Crops, hay, pasture and rough grazing","Leinster",NA
"262","1970","Crops, hay, pasture and rough grazing","Leinster",NA
"263","1975","Crops, hay, pasture and rough grazing","Leinster",1699649
"264","1980","Crops, hay, pasture and rough grazing","Leinster",1685129
"265","1926","Crops, hay and pasture","Leinster",1638434
"266","1933","Crops, hay and pasture","Leinster",1577637
"267","1955","Crops, hay and pasture","Leinster",1577233
"268","1960","Crops, hay and pasture","Leinster",1530234
"269","1965","Crops, hay and pasture","Leinster",1579702
"270","1970","Crops, hay and pasture","Leinster",1600846
"271","1975","Crops, hay and pasture","Leinster",1562414
"272","1980","Crops, hay and pasture","Leinster",1567356
"273","1926","Crops including fruit and horticultural","Leinster",226307
"274","1933","Crops including fruit and horticultural","Leinster",215969
"275","1955","Crops including fruit and horticultural","Leinster",299334
"276","1960","Crops including fruit and horticultural","Leinster",310689
"277","1965","Crops including fruit and horticultural","Leinster",258391
"278","1970","Crops including fruit and horticultural","Leinster",271397
"279","1975","Crops including fruit and horticultural","Leinster",252217
"280","1980","Crops including fruit and horticultural","Leinster",330453
"281","1926","Corn crops","Leinster",130487
"282","1933","Corn crops","Leinster",127886
"283","1955","Corn crops","Leinster",206705
"284","1960","Corn crops","Leinster",221496
"285","1965","Corn crops","Leinster",180793
"286","1970","Corn crops","Leinster",204327
"287","1975","Corn crops","Leinster",196780
"288","1980","Corn crops","Leinster",278923
"289","1926","Wheat","Leinster",4557
"290","1933","Wheat","Leinster",9377
"291","1955","Wheat","Leinster",96019
"292","1960","Wheat","Leinster",105494
"293","1965","Wheat","Leinster",52659
"294","1970","Wheat","Leinster",72206
"295","1975","Wheat","Leinster",34936
"296","1980","Wheat","Leinster",40208
"297","1926","Spring wheat","Leinster",NA
"298","1933","Spring wheat","Leinster",NA
"299","1955","Spring wheat","Leinster",NA
"300","1960","Spring wheat","Leinster",NA
"301","1965","Spring wheat","Leinster",NA
"302","1970","Spring wheat","Leinster",NA
"303","1975","Spring wheat","Leinster",NA
"304","1980","Spring wheat","Leinster",25068
"305","1926","Winter wheat","Leinster",NA
"306","1933","Winter wheat","Leinster",NA
"307","1955","Winter wheat","Leinster",NA
"308","1960","Winter wheat","Leinster",NA
"309","1965","Winter wheat","Leinster",NA
"310","1970","Winter wheat","Leinster",NA
"311","1975","Winter wheat","Leinster",NA
"312","1980","Winter wheat","Leinster",15140
"313","1926","Oats","Leinster",82645
"314","1933","Oats","Leinster",83145
"315","1955","Oats","Leinster",65064
"316","1960","Oats","Leinster",48632
"317","1965","Oats","Leinster",32353
"318","1970","Oats","Leinster",17800
"319","1975","Oats","Leinster",14076
"320","1980","Oats","Leinster",6335
"321","1926","Barley","Leinster",42862
"322","1933","Barley","Leinster",35111
"323","1955","Barley","Leinster",44868
"324","1960","Barley","Leinster",65600
"325","1965","Barley","Leinster",93788
"326","1970","Barley","Leinster",112439
"327","1975","Barley","Leinster",146128
"328","1980","Barley","Leinster",231374
"329","1926","Malting barley","Leinster",NA
"330","1933","Malting barley","Leinster",NA
"331","1955","Malting barley","Leinster",NA
"332","1960","Malting barley","Leinster",36966
"333","1965","Malting barley","Leinster",41080
"334","1970","Malting barley","Leinster",38792
"335","1975","Malting barley","Leinster",49339
"336","1980","Malting barley","Leinster",39699
"337","1926","Other barley","Leinster",NA
"338","1933","Other barley","Leinster",NA
"339","1955","Other barley","Leinster",NA
"340","1960","Other barley","Leinster",28634
"341","1965","Other barley","Leinster",52708
"342","1970","Other barley","Leinster",73647
"343","1975","Other barley","Leinster",96788
"344","1980","Other barley","Leinster",191675
"345","1926","Spring barley","Leinster",NA
"346","1933","Spring barley","Leinster",NA
"347","1955","Spring barley","Leinster",NA
"348","1960","Spring barley","Leinster",NA
"349","1965","Spring barley","Leinster",NA
"350","1970","Spring barley","Leinster",NA
"351","1975","Spring barley","Leinster",NA
"352","1980","Spring barley","Leinster",170885
"353","1926","Winter barley","Leinster",NA
"354","1933","Winter barley","Leinster",NA
"355","1955","Winter barley","Leinster",NA
"356","1960","Winter barley","Leinster",NA
"357","1965","Winter barley","Leinster",NA
"358","1970","Winter barley","Leinster",NA
"359","1975","Winter barley","Leinster",NA
"360","1980","Winter barley","Leinster",20790
"361","1926","Other corn crops","Leinster",423
"362","1933","Other corn crops","Leinster",252
"363","1955","Other corn crops","Leinster",755
"364","1960","Other corn crops","Leinster",1770
"365","1965","Other corn crops","Leinster",1991
"366","1970","Other corn crops","Leinster",1883
"367","1975","Other corn crops","Leinster",1641
"368","1980","Other corn crops","Leinster",1006
"369","1926","Root and green crops","Leinster",94619
"370","1933","Root and green crops","Leinster",86907
"371","1955","Root and green crops","Leinster",90368
"372","1960","Root and green crops","Leinster",86516
"373","1965","Root and green crops","Leinster",74941
"374","1970","Root and green crops","Leinster",64722
"375","1975","Root and green crops","Leinster",53538
"376","1980","Root and green crops","Leinster",49731
"377","1926","Potatoes","Leinster",39694
"378","1933","Potatoes","Leinster",36100
"379","1955","Potatoes","Leinster",31386
"380","1960","Potatoes","Leinster",27224
"381","1965","Potatoes","Leinster",20736
"382","1970","Potatoes","Leinster",18227
"383","1975","Potatoes","Leinster",14266
"384","1980","Potatoes","Leinster",16445
"385","1926","Turnips","Leinster",32680
"386","1933","Turnips","Leinster",29294
"387","1955","Turnips","Leinster",26215
"388","1960","Turnips","Leinster",21421
"389","1965","Turnips","Leinster",23431
"390","1970","Turnips","Leinster",21660
"391","1975","Turnips","Leinster",12472
"392","1980","Turnips","Leinster",7907
"393","1926","Sugar beet","Leinster",3253
"394","1933","Sugar beet","Leinster",5837
"395","1955","Sugar beet","Leinster",12128
"396","1960","Sugar beet","Leinster",14433
"397","1965","Sugar beet","Leinster",13963
"398","1970","Sugar beet","Leinster",14140
"399","1975","Sugar beet","Leinster",18840
"400","1980","Sugar beet","Leinster",18409
"401","1926","Other root and green crops","Leinster",18991
"402","1933","Other root and green crops","Leinster",15676
"403","1955","Other root and green crops","Leinster",20638
"404","1960","Other root and green crops","Leinster",23438
"405","1965","Other root and green crops","Leinster",16811
"406","1970","Other root and green crops","Leinster",10695
"407","1975","Other root and green crops","Leinster",7960
"408","1980","Other root and green crops","Leinster",6970
"409","1926","Fruit and horticulture","Leinster",1201
"410","1933","Fruit and horticulture","Leinster",1176
"411","1955","Fruit and horticulture","Leinster",2261
"412","1960","Fruit and horticulture","Leinster",2677
"413","1965","Fruit and horticulture","Leinster",2657
"414","1970","Fruit and horticulture","Leinster",2348
"415","1975","Fruit and horticulture","Leinster",1898
"416","1980","Fruit and horticulture","Leinster",1799
"417","1926","Apples","Leinster",NA
"418","1933","Apples","Leinster",NA
"419","1955","Apples","Leinster",NA
"420","1960","Apples","Leinster",NA
"421","1965","Apples","Leinster",1194
"422","1970","Apples","Leinster",1032
"423","1975","Apples","Leinster",879
"424","1980","Apples","Leinster",677
"425","1926","Fruit excluding apples","Leinster",NA
"426","1933","Fruit excluding apples","Leinster",NA
"427","1955","Fruit excluding apples","Leinster",NA
"428","1960","Fruit excluding apples","Leinster",NA
"429","1965","Fruit excluding apples","Leinster",1116
"430","1970","Fruit excluding apples","Leinster",956
"431","1975","Fruit excluding apples","Leinster",618
"432","1980","Fruit excluding apples","Leinster",709
"433","1926","Horticultural bulbs, flowers and bushes","Leinster",NA
"434","1933","Horticultural bulbs, flowers and bushes","Leinster",NA
"435","1955","Horticultural bulbs, flowers and bushes","Leinster",NA
"436","1960","Horticultural bulbs, flowers and bushes","Leinster",355
"437","1965","Horticultural bulbs, flowers and bushes","Leinster",348
"438","1970","Horticultural bulbs, flowers and bushes","Leinster",360
"439","1975","Horticultural bulbs, flowers and bushes","Leinster",401
"440","1980","Horticultural bulbs, flowers and bushes","Leinster",413
"441","1926","Hay","Leinster",281483
"442","1933","Hay","Leinster",280979
"443","1955","Hay","Leinster",226066
"444","1960","Hay","Leinster",243170
"445","1965","Hay","Leinster",239282
"446","1970","Hay","Leinster",274829
"447","1975","Hay","Leinster",323169
"448","1980","Hay","Leinster",363837
"449","1926","Rye grass for seed","Leinster",NA
"450","1933","Rye grass for seed","Leinster",NA
"451","1955","Rye grass for seed","Leinster",NA
"452","1960","Rye grass for seed","Leinster",1913
"453","1965","Rye grass for seed","Leinster",1685
"454","1970","Rye grass for seed","Leinster",710
"455","1975","Rye grass for seed","Leinster",186
"456","1980","Rye grass for seed","Leinster",749
"457","1926","First to fourth years hay","Leinster",NA
"458","1933","First to fourth years hay","Leinster",NA
"459","1955","First to fourth years hay","Leinster",NA
"460","1960","First to fourth years hay","Leinster",NA
"461","1965","First to fourth years hay","Leinster",NA
"462","1970","First to fourth years hay","Leinster",NA
"463","1975","First to fourth years hay","Leinster",118915
"464","1980","First to fourth years hay","Leinster",134556
"465","1926","Permanent meadow","Leinster",NA
"466","1933","Permanent meadow","Leinster",NA
"467","1955","Permanent meadow","Leinster",NA
"468","1960","Permanent meadow","Leinster",NA
"469","1965","Permanent meadow","Leinster",NA
"470","1970","Permanent meadow","Leinster",NA
"471","1975","Permanent meadow","Leinster",204067
"472","1980","Permanent meadow","Leinster",228532
"473","1926","Pasture","Leinster",1130644
"474","1933","Pasture","Leinster",1080689
"475","1955","Pasture","Leinster",1051833
"476","1960","Pasture","Leinster",976375
"477","1965","Pasture","Leinster",1082029
"478","1970","Pasture","Leinster",1054620
"479","1975","Pasture","Leinster",987028
"480","1980","Pasture","Leinster",873066
"481","1926","Rough grazing in use","Leinster",NA
"482","1933","Rough grazing in use","Leinster",NA
"483","1955","Rough grazing in use","Leinster",NA
"484","1960","Rough grazing in use","Leinster",NA
"485","1965","Rough grazing in use","Leinster",NA
"486","1970","Rough grazing in use","Leinster",NA
"487","1975","Rough grazing in use","Leinster",137235
"488","1980","Rough grazing in use","Leinster",117773
"489","1926","Other land","Leinster",NA
"490","1933","Other land","Leinster",NA
"491","1955","Other land","Leinster",NA
"492","1960","Other land","Leinster",NA
"493","1965","Other land","Leinster",NA
"494","1970","Other land","Leinster",NA
"495","1975","Other land","Leinster",263644
"496","1980","Other land","Leinster",278150
"497","1926","Total Area","Co. Carlow",89632
"498","1933","Total Area","Co. Carlow",89632
"499","1955","Total Area","Co. Carlow",89632
"500","1960","Total Area","Co. Carlow",89632
"501","1965","Total Area","Co. Carlow",89632
"502","1970","Total Area","Co. Carlow",89632
"503","1975","Total Area","Co. Carlow",89632
"504","1980","Total Area","Co. Carlow",89632
"505","1926","Crops, hay, pasture and rough grazing","Co. Carlow",NA
"506","1933","Crops, hay, pasture and rough grazing","Co. Carlow",NA
"507","1955","Crops, hay, pasture and rough grazing","Co. Carlow",NA
"508","1960","Crops, hay, pasture and rough grazing","Co. Carlow",NA
"509","1965","Crops, hay, pasture and rough grazing","Co. Carlow",NA
"510","1970","Crops, hay, pasture and rough grazing","Co. Carlow",NA
"511","1975","Crops, hay, pasture and rough grazing","Co. Carlow",82684
"512","1980","Crops, hay, pasture and rough grazing","Co. Carlow",82666
"513","1926","Crops, hay and pasture","Co. Carlow",78638
"514","1933","Crops, hay and pasture","Co. Carlow",73444
"515","1955","Crops, hay and pasture","Co. Carlow",74796
"516","1960","Crops, hay and pasture","Co. Carlow",68620
"517","1965","Crops, hay and pasture","Co. Carlow",74349
"518","1970","Crops, hay and pasture","Co. Carlow",75496
"519","1975","Crops, hay and pasture","Co. Carlow",74498
"520","1980","Crops, hay and pasture","Co. Carlow",74938
"521","1926","Crops including fruit and horticultural","Co. Carlow",15351
"522","1933","Crops including fruit and horticultural","Co. Carlow",14534
"523","1955","Crops including fruit and horticultural","Co. Carlow",19405
"524","1960","Crops including fruit and horticultural","Co. Carlow",21167
"525","1965","Crops including fruit and horticultural","Co. Carlow",17728
"526","1970","Crops including fruit and horticultural","Co. Carlow",19165
"527","1975","Crops including fruit and horticultural","Co. Carlow",18884
"528","1980","Crops including fruit and horticultural","Co. Carlow",24802
"529","1926","Corn crops","Co. Carlow",8693
"530","1933","Corn crops","Co. Carlow",8072
"531","1955","Corn crops","Co. Carlow",12982
"532","1960","Corn crops","Co. Carlow",15005
"533","1965","Corn crops","Co. Carlow",12217
"534","1970","Corn crops","Co. Carlow",13461
"535","1975","Corn crops","Co. Carlow",13274
"536","1980","Corn crops","Co. Carlow",19570
"537","1926","Wheat","Co. Carlow",91
"538","1933","Wheat","Co. Carlow",505
"539","1955","Wheat","Co. Carlow",6265
"540","1960","Wheat","Co. Carlow",8493
"541","1965","Wheat","Co. Carlow",4331
"542","1970","Wheat","Co. Carlow",5331
"543","1975","Wheat","Co. Carlow",2768
"544","1980","Wheat","Co. Carlow",2188
"545","1926","Spring wheat","Co. Carlow",NA
"546","1933","Spring wheat","Co. Carlow",NA
"547","1955","Spring wheat","Co. Carlow",NA
"548","1960","Spring wheat","Co. Carlow",NA
"549","1965","Spring wheat","Co. Carlow",NA
"550","1970","Spring wheat","Co. Carlow",NA
"551","1975","Spring wheat","Co. Carlow",NA
"552","1980","Spring wheat","Co. Carlow",1678
"553","1926","Winter wheat","Co. Carlow",NA
"554","1933","Winter wheat","Co. Carlow",NA
"555","1955","Winter wheat","Co. Carlow",NA
"556","1960","Winter wheat","Co. Carlow",NA
"557","1965","Winter wheat","Co. Carlow",NA
"558","1970","Winter wheat","Co. Carlow",NA
"559","1975","Winter wheat","Co. Carlow",NA
"560","1980","Winter wheat","Co. Carlow",510
"561","1926","Oats","Co. Carlow",6663
"562","1933","Oats","Co. Carlow",6179
"563","1955","Oats","Co. Carlow",4105
"564","1960","Oats","Co. Carlow",2547
"565","1965","Oats","Co. Carlow",1708
"566","1970","Oats","Co. Carlow",805
"567","1975","Oats","Co. Carlow",456
"568","1980","Oats","Co. Carlow",117
"569","1926","Barley","Co. Carlow",1937
"570","1933","Barley","Co. Carlow",1388
"571","1955","Barley","Co. Carlow",2603
"572","1960","Barley","Co. Carlow",3893
"573","1965","Barley","Co. Carlow",5852
"574","1970","Barley","Co. Carlow",6920
"575","1975","Barley","Co. Carlow",9757
"576","1980","Barley","Co. Carlow",17081
"577","1926","Malting barley","Co. Carlow",NA
"578","1933","Malting barley","Co. Carlow",NA
"579","1955","Malting barley","Co. Carlow",NA
"580","1960","Malting barley","Co. Carlow",2056
"581","1965","Malting barley","Co. Carlow",2471
"582","1970","Malting barley","Co. Carlow",2132
"583","1975","Malting barley","Co. Carlow",2940
"584","1980","Malting barley","Co. Carlow",2073
"585","1926","Other barley","Co. Carlow",NA
"586","1933","Other barley","Co. Carlow",NA
"587","1955","Other barley","Co. Carlow",NA
"588","1960","Other barley","Co. Carlow",1836
"589","1965","Other barley","Co. Carlow",3381
"590","1970","Other barley","Co. Carlow",4788
"591","1975","Other barley","Co. Carlow",6817
"592","1980","Other barley","Co. Carlow",15008
"593","1926","Spring barley","Co. Carlow",NA
"594","1933","Spring barley","Co. Carlow",NA
"595","1955","Spring barley","Co. Carlow",NA
"596","1960","Spring barley","Co. Carlow",NA
"597","1965","Spring barley","Co. Carlow",NA
"598","1970","Spring barley","Co. Carlow",NA
"599","1975","Spring barley","Co. Carlow",NA
"600","1980","Spring barley","Co. Carlow",14207
"601","1926","Winter barley","Co. Carlow",NA
"602","1933","Winter barley","Co. Carlow",NA
"603","1955","Winter barley","Co. Carlow",NA
"604","1960","Winter barley","Co. Carlow",NA
"605","1965","Winter barley","Co. Carlow",NA
"606","1970","Winter barley","Co. Carlow",NA
"607","1975","Winter barley","Co. Carlow",NA
"608","1980","Winter barley","Co. Carlow",801
"609","1926","Other corn crops","Co. Carlow",2
"610","1933","Other corn crops","Co. Carlow",0
"611","1955","Other corn crops","Co. Carlow",10
"612","1960","Other corn crops","Co. Carlow",72
"613","1965","Other corn crops","Co. Carlow",326
"614","1970","Other corn crops","Co. Carlow",405
"615","1975","Other corn crops","Co. Carlow",292
"616","1980","Other corn crops","Co. Carlow",184
"617","1926","Root and green crops","Co. Carlow",6629
"618","1933","Root and green crops","Co. Carlow",6425
"619","1955","Root and green crops","Co. Carlow",6339
"620","1960","Root and green crops","Co. Carlow",6077
"621","1965","Root and green crops","Co. Carlow",5445
"622","1970","Root and green crops","Co. Carlow",5655
"623","1975","Root and green crops","Co. Carlow",5566
"624","1980","Root and green crops","Co. Carlow",5194
"625","1926","Potatoes","Co. Carlow",2702
"626","1933","Potatoes","Co. Carlow",2204
"627","1955","Potatoes","Co. Carlow",1564
"628","1960","Potatoes","Co. Carlow",1204
"629","1965","Potatoes","Co. Carlow",766
"630","1970","Potatoes","Co. Carlow",643
"631","1975","Potatoes","Co. Carlow",582
