"","Statistic","Year","Species","value"
"77","Weight of Aquaculture Production (Tonnes)","1999","Salmon",18076
"78","Value of Aquaculture Production (Euro Thousand)","1999","Salmon",54797
"79","Weight of Aquaculture Production (Tonnes)","2000","Salmon",17648
"80","Value of Aquaculture Production (Euro Thousand)","2000","Salmon",61445
"81","Weight of Aquaculture Production (Tonnes)","2001","Salmon",23312
"82","Value of Aquaculture Production (Euro Thousand)","2001","Salmon",70869
"83","Weight of Aquaculture Production (Tonnes)","2002","Salmon",21423
"84","Value of Aquaculture Production (Euro Thousand)","2002","Salmon",77731
"85","Weight of Aquaculture Production (Tonnes)","2003","Salmon",16347
"86","Value of Aquaculture Production (Euro Thousand)","2003","Salmon",54198
"87","Weight of Aquaculture Production (Tonnes)","2004","Salmon",14067
"88","Value of Aquaculture Production (Euro Thousand)","2004","Salmon",51289
