"","Region","Year","Statistic","value"
"39","South-East","1998","All Livestock (Euro Million)",384.13
"40","South-West","1998","All Livestock (Euro Million)",408.69
"41","State","1999","All Livestock (Euro Million)",2067.86
"42","Dublin plus Mid East","1999","All Livestock (Euro Million)",201.16
"43","Border, Midland and Western","1999","All Livestock (Euro Million)",848.59
"44","Border","1999","All Livestock (Euro Million)",376.51
"45","Midland","1999","All Livestock (Euro Million)",203.86
"46","West","1999","All Livestock (Euro Million)",268.22
"47","Southern and Eastern","1999","All Livestock (Euro Million)",1219.27
"48","Mid-West","1999","All Livestock (Euro Million)",251.39
"49","South-East","1999","All Livestock (Euro Million)",375
"50","South-West","1999","All Livestock (Euro Million)",391.74
"51","State","2000","All Livestock (Euro Million)",2170.64
"52","Dublin plus Mid East","2000","All Livestock (Euro Million)",213.6
"53","Border, Midland and Western","2000","All Livestock (Euro Million)",897.08
"54","Border","2000","All Livestock (Euro Million)",391.39
"55","Midland","2000","All Livestock (Euro Million)",220.27
"56","West","2000","All Livestock (Euro Million)",285.42
"57","Southern and Eastern","2000","All Livestock (Euro Million)",1273.56
"58","Mid-West","2000","All Livestock (Euro Million)",267.01
"59","South-East","2000","All Livestock (Euro Million)",390.78
"60","South-West","2000","All Livestock (Euro Million)",402.17
"61","State","2001","All Livestock (Euro Million)",2175.08
"62","Dublin plus Mid East","2001","All Livestock (Euro Million)",202.66
"63","Border, Midland and Western","2001","All Livestock (Euro Million)",926.47
"64","Border","2001","All Livestock (Euro Million)",421.25
"65","Midland","2001","All Livestock (Euro Million)",217.05
"66","West","2001","All Livestock (Euro Million)",288.17
"67","Southern and Eastern","2001","All Livestock (Euro Million)",1248.61
"68","Mid-West","2001","All Livestock (Euro Million)",255.73
"69","South-East","2001","All Livestock (Euro Million)",389.31
"70","South-West","2001","All Livestock (Euro Million)",400.91
"71","State","2002","All Livestock (Euro Million)",2014.84
"72","Dublin plus Mid East","2002","All Livestock (Euro Million)",192.31
"73","Border, Midland and Western","2002","All Livestock (Euro Million)",843.71
"74","Border","2002","All Livestock (Euro Million)",381.54
"75","Midland","2002","All Livestock (Euro Million)",201.78
"76","West","2002","All Livestock (Euro Million)",260.39
"77","Southern and Eastern","2002","All Livestock (Euro Million)",1171.13
"78","Mid-West","2002","All Livestock (Euro Million)",238.53
"79","South-East","2002","All Livestock (Euro Million)",368.38
"80","South-West","2002","All Livestock (Euro Million)",371.91
"81","State","2003","All Livestock (Euro Million)",2065.39
"82","Dublin plus Mid East","2003","All Livestock (Euro Million)",195.15
"83","Border, Midland and Western","2003","All Livestock (Euro Million)",874.66
"84","Border","2003","All Livestock (Euro Million)",389.45
"85","Midland","2003","All Livestock (Euro Million)",211.24
"86","West","2003","All Livestock (Euro Million)",273.97
"87","Southern and Eastern","2003","All Livestock (Euro Million)",1190.72
"88","Mid-West","2003","All Livestock (Euro Million)",257.56
"89","South-East","2003","All Livestock (Euro Million)",364.35
"90","South-West","2003","All Livestock (Euro Million)",373.67
"91","State","2004","All Livestock (Euro Million)",2212.82
"92","Dublin plus Mid East","2004","All Livestock (Euro Million)",213.07
"93","Border, Midland and Western","2004","All Livestock (Euro Million)",921.83
"94","Border","2004","All Livestock (Euro Million)",389.36
"95","Midland","2004","All Livestock (Euro Million)",239.9
"96","West","2004","All Livestock (Euro Million)",292.56
"97","Southern and Eastern","2004","All Livestock (Euro Million)",1291
"98","Mid-West","2004","All Livestock (Euro Million)",279.34
"99","South-East","2004","All Livestock (Euro Million)",397.33
"100","South-West","2004","All Livestock (Euro Million)",401.26
"101","State","2005","All Livestock (Euro Million)",2269.96
"102","Dublin plus Mid East","2005","All Livestock (Euro Million)",214.63
"103","Border, Midland and Western","2005","All Livestock (Euro Million)",951.23
"104","Border","2005","All Livestock (Euro Million)",417.11
"105","Midland","2005","All Livestock (Euro Million)",235.56
"106","West","2005","All Livestock (Euro Million)",298.56
"107","Southern and Eastern","2005","All Livestock (Euro Million)",1318.73
"108","Mid-West","2005","All Livestock (Euro Million)",290.66
"109","South-East","2005","All Livestock (Euro Million)",399.37
"110","South-West","2005","All Livestock (Euro Million)",414.07
"111","State","2006","All Livestock (Euro Million)",2385.98
"112","Dublin plus Mid East","2006","All Livestock (Euro Million)",219.9
"113","Border, Midland and Western","2006","All Livestock (Euro Million)",1004.16
"114","Border","2006","All Livestock (Euro Million)",433.78
"115","Midland","2006","All Livestock (Euro Million)",252.93
"116","West","2006","All Livestock (Euro Million)",317.46
"117","Southern and Eastern","2006","All Livestock (Euro Million)",1381.82
"118","Mid-West","2006","All Livestock (Euro Million)",308.86
"119","South-East","2006","All Livestock (Euro Million)",423.89
"120","South-West","2006","All Livestock (Euro Million)",429.16
"121","State","2007","All Livestock (Euro Million)",2381.34
"122","Dublin plus Mid East","2007","All Livestock (Euro Million)",222.92
"123","Border, Midland and Western","2007","All Livestock (Euro Million)",1010.57
"124","Border","2007","All Livestock (Euro Million)",440.24
"125","Midland","2007","All Livestock (Euro Million)",249.96
"126","West","2007","All Livestock (Euro Million)",320.36
"127","Southern and Eastern","2007","All Livestock (Euro Million)",1370.77
"128","Mid-West","2007","All Livestock (Euro Million)",297.69
"129","South-East","2007","All Livestock (Euro Million)",425.02
"130","South-West","2007","All Livestock (Euro Million)",425.14
"131","State","2008","All Livestock (Euro Million)",2541.63
"132","Dublin plus Mid East","2008","All Livestock (Euro Million)",228.91
"133","Border, Midland and Western","2008","All Livestock (Euro Million)",1053.76
"134","Border","2008","All Livestock (Euro Million)",457.66
"135","Midland","2008","All Livestock (Euro Million)",261.61
"136","West","2008","All Livestock (Euro Million)",334.49
"137","Southern and Eastern","2008","All Livestock (Euro Million)",1487.87
"138","Mid-West","2008","All Livestock (Euro Million)",317.93
"139","South-East","2008","All Livestock (Euro Million)",472.56
"140","South-West","2008","All Livestock (Euro Million)",468.48
"141","State","2009","All Livestock (Euro Million)",2224.9
"142","Dublin plus Mid East","2009","All Livestock (Euro Million)",199.53
"143","Border, Midland and Western","2009","All Livestock (Euro Million)",948.96
"144","Border","2009","All Livestock (Euro Million)",413.87
"145","Midland","2009","All Livestock (Euro Million)",245.38
"146","West","2009","All Livestock (Euro Million)",289.71
"147","Southern and Eastern","2009","All Livestock (Euro Million)",1275.94
"148","Mid-West","2009","All Livestock (Euro Million)",280.59
"149","South-East","2009","All Livestock (Euro Million)",405.72
"150","South-West","2009","All Livestock (Euro Million)",390.09
"151","State","2010","All Livestock (Euro Million)",2282.41
"152","Dublin plus Mid East","2010","All Livestock (Euro Million)",198.58
"153","Border, Midland and Western","2010","All Livestock (Euro Million)",972.28
"154","Border","2010","All Livestock (Euro Million)",426.9
"155","Midland","2010","All Livestock (Euro Million)",256.68
"156","West","2010","All Livestock (Euro Million)",288.7
"157","Southern and Eastern","2010","All Livestock (Euro Million)",1310.13
"158","Mid-West","2010","All Livestock (Euro Million)",274.21
"159","South-East","2010","All Livestock (Euro Million)",423.08
"160","South-West","2010","All Livestock (Euro Million)",414.26
"161","State","2011","All Livestock (Euro Million)",2654.71
"162","Dublin plus Mid East","2011","All Livestock (Euro Million)",229.09
"163","Border, Midland and Western","2011","All Livestock (Euro Million)",1124.52
"164","Border","2011","All Livestock (Euro Million)",493.77
"165","Midland","2011","All Livestock (Euro Million)",299.26
"166","West","2011","All Livestock (Euro Million)",331.49
"167","Southern and Eastern","2011","All Livestock (Euro Million)",1530.19
"168","Mid-West","2011","All Livestock (Euro Million)",321.97
"169","South-East","2011","All Livestock (Euro Million)",485.76
"170","South-West","2011","All Livestock (Euro Million)",493.37
"171","State","2012","All Livestock (Euro Million)",3118.71
"172","Dublin plus Mid East","2012","All Livestock (Euro Million)",267.15
"173","Border, Midland and Western","2012","All Livestock (Euro Million)",1307.19
"174","Border","2012","All Livestock (Euro Million)",565.63
"175","Midland","2012","All Livestock (Euro Million)",349.24
"176","West","2012","All Livestock (Euro Million)",392.32
"177","Southern and Eastern","2012","All Livestock (Euro Million)",1811.52
"178","Mid-West","2012","All Livestock (Euro Million)",384.91
"179","South-East","2012","All Livestock (Euro Million)",576.14
"180","South-West","2012","All Livestock (Euro Million)",583.32
"181","State","1995","Livestock - Cattle (Euro Million)",1659.08
"182","Dublin plus Mid East","1995","Livestock - Cattle (Euro Million)",141.71
"183","Border, Midland and Western","1995","Livestock - Cattle (Euro Million)",634.9
"184","Border","1995","Livestock - Cattle (Euro Million)",225.66
"185","Midland","1995","Livestock - Cattle (Euro Million)",172.69
"186","West","1995","Livestock - Cattle (Euro Million)",236.55
"187","Southern and Eastern","1995","Livestock - Cattle (Euro Million)",1024.18
"188","Mid-West","1995","Livestock - Cattle (Euro Million)",247.01
"189","South-East","1995","Livestock - Cattle (Euro Million)",294.93
"190","South-West","1995","Livestock - Cattle (Euro Million)",340.52
"191","State","1996","Livestock - Cattle (Euro Million)",1482.66
"192","Dublin plus Mid East","1996","Livestock - Cattle (Euro Million)",126.18
"193","Border, Midland and Western","1996","Livestock - Cattle (Euro Million)",566.03
"194","Border","1996","Livestock - Cattle (Euro Million)",201.29
"195","Midland","1996","Livestock - Cattle (Euro Million)",153.97
"196","West","1996","Livestock - Cattle (Euro Million)",210.76
"197","Southern and Eastern","1996","Livestock - Cattle (Euro Million)",916.63
"198","Mid-West","1996","Livestock - Cattle (Euro Million)",220.77
"199","South-East","1996","Livestock - Cattle (Euro Million)",264.25
"200","South-West","1996","Livestock - Cattle (Euro Million)",305.43
"201","State","1997","Livestock - Cattle (Euro Million)",1382.6
"202","Dublin plus Mid East","1997","Livestock - Cattle (Euro Million)",115
"203","Border, Midland and Western","1997","Livestock - Cattle (Euro Million)",534.16
"204","Border","1997","Livestock - Cattle (Euro Million)",190.48
"205","Midland","1997","Livestock - Cattle (Euro Million)",144.28
"206","West","1997","Livestock - Cattle (Euro Million)",199.39
"207","Southern and Eastern","1997","Livestock - Cattle (Euro Million)",848.45
"208","Mid-West","1997","Livestock - Cattle (Euro Million)",205.65
"209","South-East","1997","Livestock - Cattle (Euro Million)",240.87
"210","South-West","1997","Livestock - Cattle (Euro Million)",286.92
"211","State","1998","Livestock - Cattle (Euro Million)",1385
"212","Dublin plus Mid East","1998","Livestock - Cattle (Euro Million)",116.99
"213","Border, Midland and Western","1998","Livestock - Cattle (Euro Million)",540.08
"214","Border","1998","Livestock - Cattle (Euro Million)",191.25
"215","Midland","1998","Livestock - Cattle (Euro Million)",148.59
"216","West","1998","Livestock - Cattle (Euro Million)",200.24
"217","Southern and Eastern","1998","Livestock - Cattle (Euro Million)",844.91
"218","Mid-West","1998","Livestock - Cattle (Euro Million)",206.72
"219","South-East","1998","Livestock - Cattle (Euro Million)",240.74
"220","South-West","1998","Livestock - Cattle (Euro Million)",280.47
"221","State","1999","Livestock - Cattle (Euro Million)",1330.73
"222","Dublin plus Mid East","1999","Livestock - Cattle (Euro Million)",117.5
"223","Border, Midland and Western","1999","Livestock - Cattle (Euro Million)",512.81
"224","Border","1999","Livestock - Cattle (Euro Million)",182.91
"225","Midland","1999","Livestock - Cattle (Euro Million)",142.51
"226","West","1999","Livestock - Cattle (Euro Million)",187.39
"227","Southern and Eastern","1999","Livestock - Cattle (Euro Million)",817.92
"228","Mid-West","1999","Livestock - Cattle (Euro Million)",194.06
"229","South-East","1999","Livestock - Cattle (Euro Million)",236.13
"230","South-West","1999","Livestock - Cattle (Euro Million)",270.23
"231","State","2000","Livestock - Cattle (Euro Million)",1382.12
"232","Dublin plus Mid East","2000","Livestock - Cattle (Euro Million)",119.76
"233","Border, Midland and Western","2000","Livestock - Cattle (Euro Million)",538.9
"234","Border","2000","Livestock - Cattle (Euro Million)",189.97
"235","Midland","2000","Livestock - Cattle (Euro Million)",152.82
"236","West","2000","Livestock - Cattle (Euro Million)",196.11
"237","Southern and Eastern","2000","Livestock - Cattle (Euro Million)",843.22
"238","Mid-West","2000","Livestock - Cattle (Euro Million)",200.92
"239","South-East","2000","Livestock - Cattle (Euro Million)",248.63
"240","South-West","2000","Livestock - Cattle (Euro Million)",273.91
"241","State","2001","Livestock - Cattle (Euro Million)",1260.31
"242","Dublin plus Mid East","2001","Livestock - Cattle (Euro Million)",102.44
"243","Border, Midland and Western","2001","Livestock - Cattle (Euro Million)",486.47
"244","Border","2001","Livestock - Cattle (Euro Million)",175.11
"245","Midland","2001","Livestock - Cattle (Euro Million)",133.74
"246","West","2001","Livestock - Cattle (Euro Million)",177.61
"247","Southern and Eastern","2001","Livestock - Cattle (Euro Million)",773.85
"248","Mid-West","2001","Livestock - Cattle (Euro Million)",187.66
"249","South-East","2001","Livestock - Cattle (Euro Million)",224.74
"250","South-West","2001","Livestock - Cattle (Euro Million)",259.01
"251","State","2002","Livestock - Cattle (Euro Million)",1179.01
"252","Dublin plus Mid East","2002","Livestock - Cattle (Euro Million)",97.51
"253","Border, Midland and Western","2002","Livestock - Cattle (Euro Million)",460.16
"254","Border","2002","Livestock - Cattle (Euro Million)",163.71
"255","Midland","2002","Livestock - Cattle (Euro Million)",129.77
"256","West","2002","Livestock - Cattle (Euro Million)",166.68
"257","Southern and Eastern","2002","Livestock - Cattle (Euro Million)",718.85
"258","Mid-West","2002","Livestock - Cattle (Euro Million)",173.95
"259","South-East","2002","Livestock - Cattle (Euro Million)",209.54
"260","South-West","2002","Livestock - Cattle (Euro Million)",237.85
"261","State","2003","Livestock - Cattle (Euro Million)",1243.98
"262","Dublin plus Mid East","2003","Livestock - Cattle (Euro Million)",104.62
"263","Border, Midland and Western","2003","Livestock - Cattle (Euro Million)",488.51
"264","Border","2003","Livestock - Cattle (Euro Million)",170.88
"265","Midland","2003","Livestock - Cattle (Euro Million)",140.9
"266","West","2003","Livestock - Cattle (Euro Million)",176.73
"267","Southern and Eastern","2003","Livestock - Cattle (Euro Million)",755.47
"268","Mid-West","2003","Livestock - Cattle (Euro Million)",186.28
"269","South-East","2003","Livestock - Cattle (Euro Million)",213.86
"270","South-West","2003","Livestock - Cattle (Euro Million)",250.71
"271","State","2004","Livestock - Cattle (Euro Million)",1346.11
"272","Dublin plus Mid East","2004","Livestock - Cattle (Euro Million)",111.86
"273","Border, Midland and Western","2004","Livestock - Cattle (Euro Million)",523.25
"274","Border","2004","Livestock - Cattle (Euro Million)",183.23
"275","Midland","2004","Livestock - Cattle (Euro Million)",150.13
"276","West","2004","Livestock - Cattle (Euro Million)",189.9
"277","Southern and Eastern","2004","Livestock - Cattle (Euro Million)",822.86
"278","Mid-West","2004","Livestock - Cattle (Euro Million)",203.63
"279","South-East","2004","Livestock - Cattle (Euro Million)",238.07
"280","South-West","2004","Livestock - Cattle (Euro Million)",269.3
"281","State","2005","Livestock - Cattle (Euro Million)",1402.32
"282","Dublin plus Mid East","2005","Livestock - Cattle (Euro Million)",116.91
"283","Border, Midland and Western","2005","Livestock - Cattle (Euro Million)",551.79
"284","Border","2005","Livestock - Cattle (Euro Million)",191.46
"285","Midland","2005","Livestock - Cattle (Euro Million)",161.45
"286","West","2005","Livestock - Cattle (Euro Million)",198.89
"287","Southern and Eastern","2005","Livestock - Cattle (Euro Million)",850.53
"288","Mid-West","2005","Livestock - Cattle (Euro Million)",211.24
"289","South-East","2005","Livestock - Cattle (Euro Million)",243.68
"290","South-West","2005","Livestock - Cattle (Euro Million)",278.7
"291","State","2006","Livestock - Cattle (Euro Million)",1494.46
"292","Dublin plus Mid East","2006","Livestock - Cattle (Euro Million)",124.02
"293","Border, Midland and Western","2006","Livestock - Cattle (Euro Million)",592.63
"294","Border","2006","Livestock - Cattle (Euro Million)",208.91
"295","Midland","2006","Livestock - Cattle (Euro Million)",173.24
"296","West","2006","Livestock - Cattle (Euro Million)",210.48
"297","Southern and Eastern","2006","Livestock - Cattle (Euro Million)",901.84
"298","Mid-West","2006","Livestock - Cattle (Euro Million)",224.85
"299","South-East","2006","Livestock - Cattle (Euro Million)",261.27
"300","South-West","2006","Livestock - Cattle (Euro Million)",291.7
"301","State","2007","Livestock - Cattle (Euro Million)",1503.45
"302","Dublin plus Mid East","2007","Livestock - Cattle (Euro Million)",127.16
"303","Border, Midland and Western","2007","Livestock - Cattle (Euro Million)",596.8
"304","Border","2007","Livestock - Cattle (Euro Million)",207.04
"305","Midland","2007","Livestock - Cattle (Euro Million)",174.36
"306","West","2007","Livestock - Cattle (Euro Million)",215.39
"307","Southern and Eastern","2007","Livestock - Cattle (Euro Million)",906.65
"308","Mid-West","2007","Livestock - Cattle (Euro Million)",222.04
"309","South-East","2007","Livestock - Cattle (Euro Million)",261.24
"310","South-West","2007","Livestock - Cattle (Euro Million)",296.22
"311","State","2008","Livestock - Cattle (Euro Million)",1686.54
"312","Dublin plus Mid East","2008","Livestock - Cattle (Euro Million)",140.37
"313","Border, Midland and Western","2008","Livestock - Cattle (Euro Million)",660.37
"314","Border","2008","Livestock - Cattle (Euro Million)",224.39
"315","Midland","2008","Livestock - Cattle (Euro Million)",195.25
"316","West","2008","Livestock - Cattle (Euro Million)",240.73
"317","Southern and Eastern","2008","Livestock - Cattle (Euro Million)",1026.17
"318","Mid-West","2008","Livestock - Cattle (Euro Million)",250.44
"319","South-East","2008","Livestock - Cattle (Euro Million)",303.36
"320","South-West","2008","Livestock - Cattle (Euro Million)",331.99
"321","State","2009","Livestock - Cattle (Euro Million)",1475.57
"322","Dublin plus Mid East","2009","Livestock - Cattle (Euro Million)",123.4
"323","Border, Midland and Western","2009","Livestock - Cattle (Euro Million)",572.98
"324","Border","2009","Livestock - Cattle (Euro Million)",194.58
"325","Midland","2009","Livestock - Cattle (Euro Million)",171.07
"326","West","2009","Livestock - Cattle (Euro Million)",207.33
"327","Southern and Eastern","2009","Livestock - Cattle (Euro Million)",902.59
"328","Mid-West","2009","Livestock - Cattle (Euro Million)",217.77
"329","South-East","2009","Livestock - Cattle (Euro Million)",269.09
"330","South-West","2009","Livestock - Cattle (Euro Million)",292.33
"331","State","2010","Livestock - Cattle (Euro Million)",1502.28
"332","Dublin plus Mid East","2010","Livestock - Cattle (Euro Million)",128.03
"333","Border, Midland and Western","2010","Livestock - Cattle (Euro Million)",580.28
"334","Border","2010","Livestock - Cattle (Euro Million)",199.15
"335","Midland","2010","Livestock - Cattle (Euro Million)",174.66
"336","West","2010","Livestock - Cattle (Euro Million)",206.47
"337","Southern and Eastern","2010","Livestock - Cattle (Euro Million)",922
"338","Mid-West","2010","Livestock - Cattle (Euro Million)",218.11
"339","South-East","2010","Livestock - Cattle (Euro Million)",276.94
"340","South-West","2010","Livestock - Cattle (Euro Million)",298.92
"341","State","2011","Livestock - Cattle (Euro Million)",1794.88
"342","Dublin plus Mid East","2011","Livestock - Cattle (Euro Million)",151.16
"343","Border, Midland and Western","2011","Livestock - Cattle (Euro Million)",688.16
"344","Border","2011","Livestock - Cattle (Euro Million)",236.64
"345","Midland","2011","Livestock - Cattle (Euro Million)",206.68
"346","West","2011","Livestock - Cattle (Euro Million)",244.84
"347","Southern and Eastern","2011","Livestock - Cattle (Euro Million)",1106.71
"348","Mid-West","2011","Livestock - Cattle (Euro Million)",260.4
"349","South-East","2011","Livestock - Cattle (Euro Million)",333.72
"350","South-West","2011","Livestock - Cattle (Euro Million)",361.43
"351","State","2012","Livestock - Cattle (Euro Million)",2119.63
"352","Dublin plus Mid East","2012","Livestock - Cattle (Euro Million)",176.01
"353","Border, Midland and Western","2012","Livestock - Cattle (Euro Million)",810.11
"354","Border","2012","Livestock - Cattle (Euro Million)",277.32
"355","Midland","2012","Livestock - Cattle (Euro Million)",245.78
"356","West","2012","Livestock - Cattle (Euro Million)",287.02
"357","Southern and Eastern","2012","Livestock - Cattle (Euro Million)",1309.51
"358","Mid-West","2012","Livestock - Cattle (Euro Million)",310.46
"359","South-East","2012","Livestock - Cattle (Euro Million)",397.01
"360","South-West","2012","Livestock - Cattle (Euro Million)",426.04
"361","State","1995","Livestock - Pigs (Euro Million)",295.45
"362","Dublin plus Mid East","1995","Livestock - Pigs (Euro Million)",15.64
"363","Border, Midland and Western","1995","Livestock - Pigs (Euro Million)",134.63
"364","Border","1995","Livestock - Pigs (Euro Million)",84.33
"365","Midland","1995","Livestock - Pigs (Euro Million)",42.48
"366","West","1995","Livestock - Pigs (Euro Million)",7.82
"367","Southern and Eastern","1995","Livestock - Pigs (Euro Million)",160.81
"368","Mid-West","1995","Livestock - Pigs (Euro Million)",16.2
"369","South-East","1995","Livestock - Pigs (Euro Million)",62.77
"370","South-West","1995","Livestock - Pigs (Euro Million)",66.2
"371","State","1996","Livestock - Pigs (Euro Million)",356.54
"372","Dublin plus Mid East","1996","Livestock - Pigs (Euro Million)",18.37
"373","Border, Midland and Western","1996","Livestock - Pigs (Euro Million)",160.13
"374","Border","1996","Livestock - Pigs (Euro Million)",96.89
"375","Midland","1996","Livestock - Pigs (Euro Million)",51.2
"376","West","1996","Livestock - Pigs (Euro Million)",12.04
"377","Southern and Eastern","1996","Livestock - Pigs (Euro Million)",196.42
"378","Mid-West","1996","Livestock - Pigs (Euro Million)",17.81
"379","South-East","1996","Livestock - Pigs (Euro Million)",77.38
"380","South-West","1996","Livestock - Pigs (Euro Million)",82.86
"381","State","1997","Livestock - Pigs (Euro Million)",336.97
"382","Dublin plus Mid East","1997","Livestock - Pigs (Euro Million)",17.57
"383","Border, Midland and Western","1997","Livestock - Pigs (Euro Million)",143.28
"384","Border","1997","Livestock - Pigs (Euro Million)",82.93
"385","Midland","1997","Livestock - Pigs (Euro Million)",48.13
"386","West","1997","Livestock - Pigs (Euro Million)",12.21
"387","Southern and Eastern","1997","Livestock - Pigs (Euro Million)",193.69
"388","Mid-West","1997","Livestock - Pigs (Euro Million)",19.42
"389","South-East","1997","Livestock - Pigs (Euro Million)",73.4
"390","South-West","1997","Livestock - Pigs (Euro Million)",83.29
"391","State","1998","Livestock - Pigs (Euro Million)",282.6
"392","Dublin plus Mid East","1998","Livestock - Pigs (Euro Million)",13.13
"393","Border, Midland and Western","1998","Livestock - Pigs (Euro Million)",127
"394","Border","1998","Livestock - Pigs (Euro Million)",79.08
"395","Midland","1998","Livestock - Pigs (Euro Million)",39.49
"396","West","1998","Livestock - Pigs (Euro Million)",8.42
"397","Southern and Eastern","1998","Livestock - Pigs (Euro Million)",155.59
"398","Mid-West","1998","Livestock - Pigs (Euro Million)",17.11
"399","South-East","1998","Livestock - Pigs (Euro Million)",58.47
"400","South-West","1998","Livestock - Pigs (Euro Million)",66.88
"401","State","1999","Livestock - Pigs (Euro Million)",251.36
"402","Dublin plus Mid East","1999","Livestock - Pigs (Euro Million)",11.73
"403","Border, Midland and Western","1999","Livestock - Pigs (Euro Million)",111.83
"404","Border","1999","Livestock - Pigs (Euro Million)",67.26
"405","Midland","1999","Livestock - Pigs (Euro Million)",36.29
"406","West","1999","Livestock - Pigs (Euro Million)",8.28
"407","Southern and Eastern","1999","Livestock - Pigs (Euro Million)",139.53
"408","Mid-West","1999","Livestock - Pigs (Euro Million)",15.61
"409","South-East","1999","Livestock - Pigs (Euro Million)",52.5
"410","South-West","1999","Livestock - Pigs (Euro Million)",59.68
"411","State","2000","Livestock - Pigs (Euro Million)",296.66
"412","Dublin plus Mid East","2000","Livestock - Pigs (Euro Million)",15.85
"413","Border, Midland and Western","2000","Livestock - Pigs (Euro Million)",132.05
"414","Border","2000","Livestock - Pigs (Euro Million)",83.07
"415","Midland","2000","Livestock - Pigs (Euro Million)",39.09
"416","West","2000","Livestock - Pigs (Euro Million)",9.89
"417","Southern and Eastern","2000","Livestock - Pigs (Euro Million)",164.61
"418","Mid-West","2000","Livestock - Pigs (Euro Million)",19.98
"419","South-East","2000","Livestock - Pigs (Euro Million)",57.43
"420","South-West","2000","Livestock - Pigs (Euro Million)",71.36
"421","State","2001","Livestock - Pigs (Euro Million)",346.13
"422","Dublin plus Mid East","2001","Livestock - Pigs (Euro Million)",16.6
"423","Border, Midland and Western","2001","Livestock - Pigs (Euro Million)",166.68
"424","Border","2001","Livestock - Pigs (Euro Million)",105.93
"425","Midland","2001","Livestock - Pigs (Euro Million)",49.07
"426","West","2001","Livestock - Pigs (Euro Million)",11.68
"427","Southern and Eastern","2001","Livestock - Pigs (Euro Million)",179.45
"428","Mid-West","2001","Livestock - Pigs (Euro Million)",20
"429","South-East","2001","Livestock - Pigs (Euro Million)",65.44
"430","South-West","2001","Livestock - Pigs (Euro Million)",77.41
"431","State","2002","Livestock - Pigs (Euro Million)",300.86
"432","Dublin plus Mid East","2002","Livestock - Pigs (Euro Million)",13.39
"433","Border, Midland and Western","2002","Livestock - Pigs (Euro Million)",142.36
"434","Border","2002","Livestock - Pigs (Euro Million)",91.63
"435","Midland","2002","Livestock - Pigs (Euro Million)",40.39
"436","West","2002","Livestock - Pigs (Euro Million)",10.33
"437","Southern and Eastern","2002","Livestock - Pigs (Euro Million)",158.51
"438","Mid-West","2002","Livestock - Pigs (Euro Million)",14.46
"439","South-East","2002","Livestock - Pigs (Euro Million)",61.52
"440","South-West","2002","Livestock - Pigs (Euro Million)",69.14
"441","State","2003","Livestock - Pigs (Euro Million)",285.14
"442","Dublin plus Mid East","2003","Livestock - Pigs (Euro Million)",12.95
"443","Border, Midland and Western","2003","Livestock - Pigs (Euro Million)",138.53
"444","Border","2003","Livestock - Pigs (Euro Million)",88.14
"445","Midland","2003","Livestock - Pigs (Euro Million)",39.92
"446","West","2003","Livestock - Pigs (Euro Million)",10.47
"447","Southern and Eastern","2003","Livestock - Pigs (Euro Million)",146.61
"448","Mid-West","2003","Livestock - Pigs (Euro Million)",18.28
"449","South-East","2003","Livestock - Pigs (Euro Million)",55.5
"450","South-West","2003","Livestock - Pigs (Euro Million)",59.88
