"","Year","Statistic","value"
"72","2013","Livestock - Pigs (Euro Million)",475.68
"73","1990","Livestock - Sheep (Euro Million)",188.76
"74","1991","Livestock - Sheep (Euro Million)",198.94
"75","1992","Livestock - Sheep (Euro Million)",192.76
"76","1993","Livestock - Sheep (Euro Million)",232.41
"77","1994","Livestock - Sheep (Euro Million)",230.24
"78","1995","Livestock - Sheep (Euro Million)",190.73
"79","1996","Livestock - Sheep (Euro Million)",241.77
"80","1997","Livestock - Sheep (Euro Million)",229.98
"81","1998","Livestock - Sheep (Euro Million)",213.99
"82","1999","Livestock - Sheep (Euro Million)",197.97
"83","2000","Livestock - Sheep (Euro Million)",203.47
"84","2001","Livestock - Sheep (Euro Million)",284.4
"85","2002","Livestock - Sheep (Euro Million)",202.18
"86","2003","Livestock - Sheep (Euro Million)",193.28
"87","2004","Livestock - Sheep (Euro Million)",200.44
"88","2005","Livestock - Sheep (Euro Million)",194.23
"89","2006","Livestock - Sheep (Euro Million)",193.1
"90","2007","Livestock - Sheep (Euro Million)",184.48
"91","2008","Livestock - Sheep (Euro Million)",173.75
"92","2009","Livestock - Sheep (Euro Million)",159.4
"93","2010","Livestock - Sheep (Euro Million)",165.58
"94","2011","Livestock - Sheep (Euro Million)",189.79
"95","2012","Livestock - Sheep (Euro Million)",204.44
"96","2013","Livestock - Sheep (Euro Million)",203.77
"97","1990","Livestock - Horses (Euro Million)",83.22
"98","1991","Livestock - Horses (Euro Million)",70.18
"99","1992","Livestock - Horses (Euro Million)",61.44
"100","1993","Livestock - Horses (Euro Million)",84.5
"101","1994","Livestock - Horses (Euro Million)",75.92
"102","1995","Livestock - Horses (Euro Million)",70.12
"103","1996","Livestock - Horses (Euro Million)",96.85
"104","1997","Livestock - Horses (Euro Million)",106.87
"105","1998","Livestock - Horses (Euro Million)",128.66
"106","1999","Livestock - Horses (Euro Million)",150.01
"107","2000","Livestock - Horses (Euro Million)",164.35
"108","2001","Livestock - Horses (Euro Million)",146.5
"109","2002","Livestock - Horses (Euro Million)",200.65
"110","2003","Livestock - Horses (Euro Million)",204.27
"111","2004","Livestock - Horses (Euro Million)",217.6
"112","2005","Livestock - Horses (Euro Million)",233.96
"113","2006","Livestock - Horses (Euro Million)",263.45
"114","2007","Livestock - Horses (Euro Million)",269.27
"115","2008","Livestock - Horses (Euro Million)",228.51
"116","2009","Livestock - Horses (Euro Million)",172.73
"117","2010","Livestock - Horses (Euro Million)",150.82
"118","2011","Livestock - Horses (Euro Million)",136.61
"119","2012","Livestock - Horses (Euro Million)",194.69
"120","2013","Livestock - Horses (Euro Million)",191.47
"121","1990","Livestock - Poultry (Euro Million)",117.05
"122","1991","Livestock - Poultry (Euro Million)",125.5
"123","1992","Livestock - Poultry (Euro Million)",124.45
"124","1993","Livestock - Poultry (Euro Million)",115.99
"125","1994","Livestock - Poultry (Euro Million)",134.62
"126","1995","Livestock - Poultry (Euro Million)",133.75
"127","1996","Livestock - Poultry (Euro Million)",140.38
"128","1997","Livestock - Poultry (Euro Million)",149.09
"129","1998","Livestock - Poultry (Euro Million)",142.24
"130","1999","Livestock - Poultry (Euro Million)",137.8
"131","2000","Livestock - Poultry (Euro Million)",124.04
"132","2001","Livestock - Poultry (Euro Million)",137.73
"133","2002","Livestock - Poultry (Euro Million)",132.14
"134","2003","Livestock - Poultry (Euro Million)",138.72
"135","2004","Livestock - Poultry (Euro Million)",151.21
"136","2005","Livestock - Poultry (Euro Million)",146.51
"137","2006","Livestock - Poultry (Euro Million)",114.27
"138","2007","Livestock - Poultry (Euro Million)",132.95
"139","2008","Livestock - Poultry (Euro Million)",122.73
"140","2009","Livestock - Poultry (Euro Million)",115.12
"141","2010","Livestock - Poultry (Euro Million)",112.18
"142","2011","Livestock - Poultry (Euro Million)",130.1
"143","2012","Livestock - Poultry (Euro Million)",132.88
"144","2013","Livestock - Poultry (Euro Million)",131.32
"145","1990","All Livestock Products (Euro Million)",1359.96
"146","1991","All Livestock Products (Euro Million)",1301.93
"147","1992","All Livestock Products (Euro Million)",1410.71
"148","1993","All Livestock Products (Euro Million)",1476.72
"149","1994","All Livestock Products (Euro Million)",1487.62
"150","1995","All Livestock Products (Euro Million)",1580.79
"151","1996","All Livestock Products (Euro Million)",1573.9
"152","1997","All Livestock Products (Euro Million)",1450.85
"153","1998","All Livestock Products (Euro Million)",1465.9
"154","1999","All Livestock Products (Euro Million)",1438.08
"155","2000","All Livestock Products (Euro Million)",1484.31
"156","2001","All Livestock Products (Euro Million)",1604.21
"157","2002","All Livestock Products (Euro Million)",1450.96
"158","2003","All Livestock Products (Euro Million)",1470.61
"159","2004","All Livestock Products (Euro Million)",1459.34
"160","2005","All Livestock Products (Euro Million)",1389.45
"161","2006","All Livestock Products (Euro Million)",1380.19
"162","2007","All Livestock Products (Euro Million)",1716.07
"163","2008","All Livestock Products (Euro Million)",1681.5
"164","2009","All Livestock Products (Euro Million)",1153.87
"165","2010","All Livestock Products (Euro Million)",1582.69
"166","2011","All Livestock Products (Euro Million)",1891.31
"167","2012","All Livestock Products (Euro Million)",1693.31
"168","2013","All Livestock Products (Euro Million)",2133.76
"169","1990","All Livestock Products - Milk (Euro Million)",1316.25
"170","1991","All Livestock Products - Milk (Euro Million)",1258.94
"171","1992","All Livestock Products - Milk (Euro Million)",1373.07
"172","1993","All Livestock Products - Milk (Euro Million)",1439.04
"173","1994","All Livestock Products - Milk (Euro Million)",1446.2
"174","1995","All Livestock Products - Milk (Euro Million)",1538.47
"175","1996","All Livestock Products - Milk (Euro Million)",1536.02
"176","1997","All Livestock Products - Milk (Euro Million)",1414.52
"177","1998","All Livestock Products - Milk (Euro Million)",1431.22
"178","1999","All Livestock Products - Milk (Euro Million)",1408.75
"179","2000","All Livestock Products - Milk (Euro Million)",1447.09
"180","2001","All Livestock Products - Milk (Euro Million)",1566.14
"181","2002","All Livestock Products - Milk (Euro Million)",1413.02
"182","2003","All Livestock Products - Milk (Euro Million)",1431.32
"183","2004","All Livestock Products - Milk (Euro Million)",1417.77
"184","2005","All Livestock Products - Milk (Euro Million)",1342.12
"185","2006","All Livestock Products - Milk (Euro Million)",1332.47
"186","2007","All Livestock Products - Milk (Euro Million)",1667.46
"187","2008","All Livestock Products - Milk (Euro Million)",1628.13
"188","2009","All Livestock Products - Milk (Euro Million)",1106.46
"189","2010","All Livestock Products - Milk (Euro Million)",1541.93
"190","2011","All Livestock Products - Milk (Euro Million)",1834.77
"191","2012","All Livestock Products - Milk (Euro Million)",1629.77
"192","2013","All Livestock Products - Milk (Euro Million)",2073.43
"193","1990","All Livestock Products -Other Products (excluding Milk) (Euro Million)",43.71
"194","1991","All Livestock Products -Other Products (excluding Milk) (Euro Million)",42.99
"195","1992","All Livestock Products -Other Products (excluding Milk) (Euro Million)",37.64
"196","1993","All Livestock Products -Other Products (excluding Milk) (Euro Million)",37.68
"197","1994","All Livestock Products -Other Products (excluding Milk) (Euro Million)",41.42
"198","1995","All Livestock Products -Other Products (excluding Milk) (Euro Million)",42.32
"199","1996","All Livestock Products -Other Products (excluding Milk) (Euro Million)",37.88
"200","1997","All Livestock Products -Other Products (excluding Milk) (Euro Million)",36.32
"201","1998","All Livestock Products -Other Products (excluding Milk) (Euro Million)",34.69
"202","1999","All Livestock Products -Other Products (excluding Milk) (Euro Million)",29.34
"203","2000","All Livestock Products -Other Products (excluding Milk) (Euro Million)",37.22
"204","2001","All Livestock Products -Other Products (excluding Milk) (Euro Million)",38.06
"205","2002","All Livestock Products -Other Products (excluding Milk) (Euro Million)",37.94
"206","2003","All Livestock Products -Other Products (excluding Milk) (Euro Million)",39.29
"207","2004","All Livestock Products -Other Products (excluding Milk) (Euro Million)",41.57
"208","2005","All Livestock Products -Other Products (excluding Milk) (Euro Million)",47.33
"209","2006","All Livestock Products -Other Products (excluding Milk) (Euro Million)",47.72
"210","2007","All Livestock Products -Other Products (excluding Milk) (Euro Million)",48.6
"211","2008","All Livestock Products -Other Products (excluding Milk) (Euro Million)",53.37
"212","2009","All Livestock Products -Other Products (excluding Milk) (Euro Million)",47.4
"213","2010","All Livestock Products -Other Products (excluding Milk) (Euro Million)",40.76
"214","2011","All Livestock Products -Other Products (excluding Milk) (Euro Million)",56.54
"215","2012","All Livestock Products -Other Products (excluding Milk) (Euro Million)",63.54
"216","2013","All Livestock Products -Other Products (excluding Milk) (Euro Million)",60.33
"217","1990","All Crops (Euro Million)",1123.51
"218","1991","All Crops (Euro Million)",1127.31
"219","1992","All Crops (Euro Million)",1154.43
"220","1993","All Crops (Euro Million)",1101.71
"221","1994","All Crops (Euro Million)",1157
"222","1995","All Crops (Euro Million)",1217.18
"223","1996","All Crops (Euro Million)",1268.7
"224","1997","All Crops (Euro Million)",1102.6
"225","1998","All Crops (Euro Million)",1127.88
"226","1999","All Crops (Euro Million)",1184.32
"227","2000","All Crops (Euro Million)",1228.59
"228","2001","All Crops (Euro Million)",1322.52
"229","2002","All Crops (Euro Million)",1245.33
"230","2003","All Crops (Euro Million)",1302.71
"231","2004","All Crops (Euro Million)",1350.62
"232","2005","All Crops (Euro Million)",1378.09
"233","2006","All Crops (Euro Million)",1461.31
"234","2007","All Crops (Euro Million)",1632.69
"235","2008","All Crops (Euro Million)",1657.14
"236","2009","All Crops (Euro Million)",1377.92
"237","2010","All Crops (Euro Million)",1518
"238","2011","All Crops (Euro Million)",1763.92
"239","2012","All Crops (Euro Million)",1914.98
"240","2013","All Crops (Euro Million)",1963.14
"241","1990","All Cereals (Euro Million)",216.71
"242","1991","All Cereals (Euro Million)",218.62
"243","1992","All Cereals (Euro Million)",235.36
"244","1993","All Cereals (Euro Million)",165.72
"245","1994","All Cereals (Euro Million)",127.32
"246","1995","All Cereals (Euro Million)",159.35
"247","1996","All Cereals (Euro Million)",200.94
"248","1997","All Cereals (Euro Million)",159.99
"249","1998","All Cereals (Euro Million)",143.08
"250","1999","All Cereals (Euro Million)",164.06
"251","2000","All Cereals (Euro Million)",185.14
"252","2001","All Cereals (Euro Million)",169.83
"253","2002","All Cereals (Euro Million)",141.89
"254","2003","All Cereals (Euro Million)",171.72
"255","2004","All Cereals (Euro Million)",181.42
"256","2005","All Cereals (Euro Million)",125.66
"257","2006","All Cereals (Euro Million)",159.73
"258","2007","All Cereals (Euro Million)",241.78
"259","2008","All Cereals (Euro Million)",196.97
"260","2009","All Cereals (Euro Million)",107.03
"261","2010","All Cereals (Euro Million)",192.88
"262","2011","All Cereals (Euro Million)",290.21
"263","2012","All Cereals (Euro Million)",334.15
"264","2013","All Cereals (Euro Million)",289.04
"265","1990","Crops - Barley (Euro Million)",127.52
"266","1991","Crops - Barley (Euro Million)",123.36
"267","1992","Crops - Barley (Euro Million)",132.38
"268","1993","Crops - Barley (Euro Million)",93.98
"269","1994","Crops - Barley (Euro Million)",73.68
"270","1995","Crops - Barley (Euro Million)",110.06
"271","1996","Crops - Barley (Euro Million)",123.47
"272","1997","Crops - Barley (Euro Million)",92.69
"273","1998","Crops - Barley (Euro Million)",84.26
"274","1999","Crops - Barley (Euro Million)",106.81
"275","2000","Crops - Barley (Euro Million)",114.22
"276","2001","Crops - Barley (Euro Million)",105.31
"277","2002","Crops - Barley (Euro Million)",73.13
"278","2003","Crops - Barley (Euro Million)",102.21
"279","2004","Crops - Barley (Euro Million)",98.64
"280","2005","Crops - Barley (Euro Million)",67.16
"281","2006","Crops - Barley (Euro Million)",85.14
"282","2007","Crops - Barley (Euro Million)",137.7
"283","2008","Crops - Barley (Euro Million)",113.56
"284","2009","Crops - Barley (Euro Million)",63.9
"285","2010","Crops - Barley (Euro Million)",118.34
"286","2011","Crops - Barley (Euro Million)",163.22
"287","2012","Crops - Barley (Euro Million)",209.7
"288","2013","Crops - Barley (Euro Million)",207.35
"289","1990","Crops - Wheat (Euro Million)",79.35
"290","1991","Crops - Wheat (Euro Million)",85.29
"291","1992","Crops - Wheat (Euro Million)",91.75
"292","1993","Crops - Wheat (Euro Million)",61.46
"293","1994","Crops - Wheat (Euro Million)",46
"294","1995","Crops - Wheat (Euro Million)",42.82
"295","1996","Crops - Wheat (Euro Million)",68.39
"296","1997","Crops - Wheat (Euro Million)",59.36
"297","1998","Crops - Wheat (Euro Million)",51.47
"298","1999","Crops - Wheat (Euro Million)",48.48
"299","2000","Crops - Wheat (Euro Million)",63.03
"300","2001","Crops - Wheat (Euro Million)",57.81
"301","2002","Crops - Wheat (Euro Million)",61.17
"302","2003","Crops - Wheat (Euro Million)",59.46
"303","2004","Crops - Wheat (Euro Million)",72.37
"304","2005","Crops - Wheat (Euro Million)",51.64
"305","2006","Crops - Wheat (Euro Million)",61.77
"306","2007","Crops - Wheat (Euro Million)",83.46
"307","2008","Crops - Wheat (Euro Million)",72.23
"308","2009","Crops - Wheat (Euro Million)",33.93
"309","2010","Crops - Wheat (Euro Million)",59.94
"310","2011","Crops - Wheat (Euro Million)",106.2
"311","2012","Crops - Wheat (Euro Million)",100.84
"312","2013","Crops - Wheat (Euro Million)",57.37
"313","1990","Crops - Oats (Euro Million)",9.84
"314","1991","Crops - Oats (Euro Million)",9.97
"315","1992","Crops - Oats (Euro Million)",11.22
"316","1993","Crops - Oats (Euro Million)",10.28
"317","1994","Crops - Oats (Euro Million)",7.64
"318","1995","Crops - Oats (Euro Million)",6.47
"319","1996","Crops - Oats (Euro Million)",9.08
"320","1997","Crops - Oats (Euro Million)",7.94
"321","1998","Crops - Oats (Euro Million)",7.35
"322","1999","Crops - Oats (Euro Million)",8.77
"323","2000","Crops - Oats (Euro Million)",7.89
"324","2001","Crops - Oats (Euro Million)",6.71
"325","2002","Crops - Oats (Euro Million)",7.59
"326","2003","Crops - Oats (Euro Million)",10.04
"327","2004","Crops - Oats (Euro Million)",10.4
"328","2005","Crops - Oats (Euro Million)",6.86
"329","2006","Crops - Oats (Euro Million)",12.82
"330","2007","Crops - Oats (Euro Million)",20.61
"331","2008","Crops - Oats (Euro Million)",11.17
"332","2009","Crops - Oats (Euro Million)",9.19
"333","2010","Crops - Oats (Euro Million)",14.61
"334","2011","Crops - Oats (Euro Million)",20.8
"335","2012","Crops - Oats (Euro Million)",23.6
"336","2013","Crops - Oats (Euro Million)",24.32
"337","1990","Crops - Potatoes (Euro Million)",72.28
"338","1991","Crops - Potatoes (Euro Million)",88.76
"339","1992","Crops - Potatoes (Euro Million)",97.34
"340","1993","Crops - Potatoes (Euro Million)",83.44
"341","1994","Crops - Potatoes (Euro Million)",127.72
"342","1995","Crops - Potatoes (Euro Million)",130.52
"343","1996","Crops - Potatoes (Euro Million)",94.65
"344","1997","Crops - Potatoes (Euro Million)",52.57
"345","1998","Crops - Potatoes (Euro Million)",103.05
"346","1999","Crops - Potatoes (Euro Million)",117.96
"347","2000","Crops - Potatoes (Euro Million)",58.75
"348","2001","Crops - Potatoes (Euro Million)",98.06
"349","2002","Crops - Potatoes (Euro Million)",96.54
"350","2003","Crops - Potatoes (Euro Million)",98.67
"351","2004","Crops - Potatoes (Euro Million)",89.14
"352","2005","Crops - Potatoes (Euro Million)",78.76
"353","2006","Crops - Potatoes (Euro Million)",104.24
"354","2007","Crops - Potatoes (Euro Million)",103.86
"355","2008","Crops - Potatoes (Euro Million)",79.93
"356","2009","Crops - Potatoes (Euro Million)",86.63
"357","2010","Crops - Potatoes (Euro Million)",117.77
"358","2011","Crops - Potatoes (Euro Million)",85.73
"359","2012","Crops - Potatoes (Euro Million)",103.29
"360","2013","Crops - Potatoes (Euro Million)",164.47
"361","1990","Crops - Suger Beet (Euro Million)",70.54
"362","1991","Crops - Suger Beet (Euro Million)",69.11
"363","1992","Crops - Suger Beet (Euro Million)",72.53
"364","1993","Crops - Suger Beet (Euro Million)",64.19
"365","1994","Crops - Suger Beet (Euro Million)",76.42
"366","1995","Crops - Suger Beet (Euro Million)",77.06
"367","1996","Crops - Suger Beet (Euro Million)",74.52
"368","1997","Crops - Suger Beet (Euro Million)",70.73
"369","1998","Crops - Suger Beet (Euro Million)",74.39
"370","1999","Crops - Suger Beet (Euro Million)",72.87
"371","2000","Crops - Suger Beet (Euro Million)",74.89
"372","2001","Crops - Suger Beet (Euro Million)",75.05
"373","2002","Crops - Suger Beet (Euro Million)",72.12
"374","2003","Crops - Suger Beet (Euro Million)",75.61
"375","2004","Crops - Suger Beet (Euro Million)",75.6
"376","2005","Crops - Suger Beet (Euro Million)",66.68
"377","2006","Crops - Suger Beet (Euro Million)",0
"378","2007","Crops - Suger Beet (Euro Million)",0
"379","2008","Crops - Suger Beet (Euro Million)",0
"380","2009","Crops - Suger Beet (Euro Million)",0
"381","2010","Crops - Suger Beet (Euro Million)",0
"382","2011","Crops - Suger Beet (Euro Million)",0
"383","2012","Crops - Suger Beet (Euro Million)",0
"384","2013","Crops - Suger Beet (Euro Million)",0
"385","1990","Crops - Mushrooms (Euro Million)",57.12
"386","1991","Crops - Mushrooms (Euro Million)",63.48
"387","1992","Crops - Mushrooms (Euro Million)",64.77
"388","1993","Crops - Mushrooms (Euro Million)",68.09
"389","1994","Crops - Mushrooms (Euro Million)",76.34
"390","1995","Crops - Mushrooms (Euro Million)",77.97
"391","1996","Crops - Mushrooms (Euro Million)",92.26
"392","1997","Crops - Mushrooms (Euro Million)",101.9
"393","1998","Crops - Mushrooms (Euro Million)",106.66
"394","1999","Crops - Mushrooms (Euro Million)",111.42
"395","2000","Crops - Mushrooms (Euro Million)",114.81
"396","2001","Crops - Mushrooms (Euro Million)",115.56
"397","2002","Crops - Mushrooms (Euro Million)",137.66
"398","2003","Crops - Mushrooms (Euro Million)",124.54
"399","2004","Crops - Mushrooms (Euro Million)",114.71
"400","2005","Crops - Mushrooms (Euro Million)",110.02
"401","2006","Crops - Mushrooms (Euro Million)",99.91
"402","2007","Crops - Mushrooms (Euro Million)",99.61
"403","2008","Crops - Mushrooms (Euro Million)",102.77
"404","2009","Crops - Mushrooms (Euro Million)",98.84
"405","2010","Crops - Mushrooms (Euro Million)",98.53
"406","2011","Crops - Mushrooms (Euro Million)",100.26
"407","2012","Crops - Mushrooms (Euro Million)",111.88
"408","2013","Crops - Mushrooms (Euro Million)",121.54
"409","1990","Crops - Other Fresh Vegetables (Euro Million)",54.02
"410","1991","Crops - Other Fresh Vegetables (Euro Million)",58.76
"411","1992","Crops - Other Fresh Vegetables (Euro Million)",52.63
"412","1993","Crops - Other Fresh Vegetables (Euro Million)",57.4
"413","1994","Crops - Other Fresh Vegetables (Euro Million)",61.22
"414","1995","Crops - Other Fresh Vegetables (Euro Million)",57.22
"415","1996","Crops - Other Fresh Vegetables (Euro Million)",67.88
"416","1997","Crops - Other Fresh Vegetables (Euro Million)",59.06
"417","1998","Crops - Other Fresh Vegetables (Euro Million)",61.1
"418","1999","Crops - Other Fresh Vegetables (Euro Million)",59.25
"419","2000","Crops - Other Fresh Vegetables (Euro Million)",74.07
"420","2001","Crops - Other Fresh Vegetables (Euro Million)",82.78
"421","2002","Crops - Other Fresh Vegetables (Euro Million)",73.46
"422","2003","Crops - Other Fresh Vegetables (Euro Million)",78.66
"423","2004","Crops - Other Fresh Vegetables (Euro Million)",84.15
"424","2005","Crops - Other Fresh Vegetables (Euro Million)",89.3
"425","2006","Crops - Other Fresh Vegetables (Euro Million)",89.56
"426","2007","Crops - Other Fresh Vegetables (Euro Million)",94.79
"427","2008","Crops - Other Fresh Vegetables (Euro Million)",94.66
"428","2009","Crops - Other Fresh Vegetables (Euro Million)",108.42
"429","2010","Crops - Other Fresh Vegetables (Euro Million)",94.03
"430","2011","Crops - Other Fresh Vegetables (Euro Million)",94.68
"431","2012","Crops - Other Fresh Vegetables (Euro Million)",89.09
"432","2013","Crops - Other Fresh Vegetables (Euro Million)",90.72
"433","1990","Crops - Fresh Fruit (Euro Million)",12.95
"434","1991","Crops - Fresh Fruit (Euro Million)",14.05
"435","1992","Crops - Fresh Fruit (Euro Million)",11.71
"436","1993","Crops - Fresh Fruit (Euro Million)",9.81
"437","1994","Crops - Fresh Fruit (Euro Million)",14.26
"438","1995","Crops - Fresh Fruit (Euro Million)",18.54
"439","1996","Crops - Fresh Fruit (Euro Million)",20.48
"440","1997","Crops - Fresh Fruit (Euro Million)",9.58
"441","1998","Crops - Fresh Fruit (Euro Million)",15.51
"442","1999","Crops - Fresh Fruit (Euro Million)",8.39
"443","2000","Crops - Fresh Fruit (Euro Million)",7.14
"444","2001","Crops - Fresh Fruit (Euro Million)",16.98
"445","2002","Crops - Fresh Fruit (Euro Million)",22.93
"446","2003","Crops - Fresh Fruit (Euro Million)",30.37
"447","2004","Crops - Fresh Fruit (Euro Million)",28.94
"448","2005","Crops - Fresh Fruit (Euro Million)",33.99
"449","2006","Crops - Fresh Fruit (Euro Million)",40.84
"450","2007","Crops - Fresh Fruit (Euro Million)",32.99
"451","2008","Crops - Fresh Fruit (Euro Million)",33.21
"452","2009","Crops - Fresh Fruit (Euro Million)",32.51
"453","2010","Crops - Fresh Fruit (Euro Million)",35.24
"454","2011","Crops - Fresh Fruit (Euro Million)",34.93
"455","2012","Crops - Fresh Fruit (Euro Million)",46.41
"456","2013","Crops - Fresh Fruit (Euro Million)",48.87
"457","1990","Crops - Turf (Euro Million)",44.8
"458","1991","Crops - Turf (Euro Million)",47.67
"459","1992","Crops - Turf (Euro Million)",45.8
"460","1993","Crops - Turf (Euro Million)",39.79
"461","1994","Crops - Turf (Euro Million)",30.57
"462","1995","Crops - Turf (Euro Million)",30.83
"463","1996","Crops - Turf (Euro Million)",30.24
"464","1997","Crops - Turf (Euro Million)",28
"465","1998","Crops - Turf (Euro Million)",22.01
"466","1999","Crops - Turf (Euro Million)",24.05
"467","2000","Crops - Turf (Euro Million)",22.51
"468","2001","Crops - Turf (Euro Million)",26.54
"469","2002","Crops - Turf (Euro Million)",27.85
"470","2003","Crops - Turf (Euro Million)",34.24
"471","2004","Crops - Turf (Euro Million)",33.52
"472","2005","Crops - Turf (Euro Million)",32.67
"473","2006","Crops - Turf (Euro Million)",35.89
"474","2007","Crops - Turf (Euro Million)",32.84
"475","2008","Crops - Turf (Euro Million)",33.22
"476","2009","Crops - Turf (Euro Million)",34.83
"477","2010","Crops - Turf (Euro Million)",34.16
"478","2011","Crops - Turf (Euro Million)",35.01
"479","2012","Crops - Turf (Euro Million)",32.62
"480","2013","Crops - Turf (Euro Million)",36.27
"481","1990","Crops - Other Crops (Euro Million)",23.15
"482","1991","Crops - Other Crops (Euro Million)",22.78
"483","1992","Crops - Other Crops (Euro Million)",21.34
"484","1993","Crops - Other Crops (Euro Million)",20.55
"485","1994","Crops - Other Crops (Euro Million)",19.41
"486","1995","Crops - Other Crops (Euro Million)",27.08
"487","1996","Crops - Other Crops (Euro Million)",35.67
"488","1997","Crops - Other Crops (Euro Million)",36.44
"489","1998","Crops - Other Crops (Euro Million)",36.05
"490","1999","Crops - Other Crops (Euro Million)",44.17
"491","2000","Crops - Other Crops (Euro Million)",41.42
"492","2001","Crops - Other Crops (Euro Million)",42.67
"493","2002","Crops - Other Crops (Euro Million)",43.63
"494","2003","Crops - Other Crops (Euro Million)",44.67
"495","2004","Crops - Other Crops (Euro Million)",52.47
"496","2005","Crops - Other Crops (Euro Million)",51.48
"497","2006","Crops - Other Crops (Euro Million)",53.72
"498","2007","Crops - Other Crops (Euro Million)",62.71
"499","2008","Crops - Other Crops (Euro Million)",62.82
"500","2009","Crops - Other Crops (Euro Million)",57.34
"501","2010","Crops - Other Crops (Euro Million)",58.42
"502","2011","Crops - Other Crops (Euro Million)",72.15
"503","2012","Crops - Other Crops (Euro Million)",64.32
"504","2013","Crops - Other Crops (Euro Million)",60.07
"505","1990","Crops - Forage Plants (Euro Million)",571.96
"506","1991","Crops - Forage Plants (Euro Million)",544.09
"507","1992","Crops - Forage Plants (Euro Million)",552.94
"508","1993","Crops - Forage Plants (Euro Million)",592.71
"509","1994","Crops - Forage Plants (Euro Million)",623.74
"510","1995","Crops - Forage Plants (Euro Million)",638.6
"511","1996","Crops - Forage Plants (Euro Million)",652.04
"512","1997","Crops - Forage Plants (Euro Million)",584.34
