"","Statistic","Year","Product","value"
"84","Value of Changes in Livestock and Crops (Euro Million)","1992","Value of Livestock and Crop Stock Changes",113.8
"85","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Value of Livestock and Crop Stock Changes",NA
"86","Estimated Value of Agricultural Output (Euro Million)","1993","Value of Livestock and Crop Stock Changes",-1
"87","Estimated Quantity of Agricultural Output (Thousand)","1993","Value of Livestock and Crop Stock Changes",NA
"88","Value Index of Agricultural Output (Base 1995=100)","1993","Value of Livestock and Crop Stock Changes",NA
"89","Value of Changes in Livestock and Crops (Euro Million)","1993","Value of Livestock and Crop Stock Changes",-1
"90","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Value of Livestock and Crop Stock Changes",NA
"91","Estimated Value of Agricultural Output (Euro Million)","1994","Value of Livestock and Crop Stock Changes",76.9
"92","Estimated Quantity of Agricultural Output (Thousand)","1994","Value of Livestock and Crop Stock Changes",NA
"93","Value Index of Agricultural Output (Base 1995=100)","1994","Value of Livestock and Crop Stock Changes",NA
"94","Value of Changes in Livestock and Crops (Euro Million)","1994","Value of Livestock and Crop Stock Changes",76.9
"95","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Value of Livestock and Crop Stock Changes",NA
"96","Estimated Value of Agricultural Output (Euro Million)","1995","Value of Livestock and Crop Stock Changes",91
"97","Estimated Quantity of Agricultural Output (Thousand)","1995","Value of Livestock and Crop Stock Changes",NA
"98","Value Index of Agricultural Output (Base 1995=100)","1995","Value of Livestock and Crop Stock Changes",NA
"99","Value of Changes in Livestock and Crops (Euro Million)","1995","Value of Livestock and Crop Stock Changes",91
"100","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Value of Livestock and Crop Stock Changes",NA
"101","Estimated Value of Agricultural Output (Euro Million)","1996","Value of Livestock and Crop Stock Changes",134
"102","Estimated Quantity of Agricultural Output (Thousand)","1996","Value of Livestock and Crop Stock Changes",NA
"103","Value Index of Agricultural Output (Base 1995=100)","1996","Value of Livestock and Crop Stock Changes",NA
"104","Value of Changes in Livestock and Crops (Euro Million)","1996","Value of Livestock and Crop Stock Changes",134
"105","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Value of Livestock and Crop Stock Changes",NA
"106","Estimated Value of Agricultural Output (Euro Million)","1997","Value of Livestock and Crop Stock Changes",126.8
"107","Estimated Quantity of Agricultural Output (Thousand)","1997","Value of Livestock and Crop Stock Changes",NA
"108","Value Index of Agricultural Output (Base 1995=100)","1997","Value of Livestock and Crop Stock Changes",NA
"109","Value of Changes in Livestock and Crops (Euro Million)","1997","Value of Livestock and Crop Stock Changes",126.8
"110","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Value of Livestock and Crop Stock Changes",NA
"111","Estimated Value of Agricultural Output (Euro Million)","1998","Value of Livestock and Crop Stock Changes",43.3
"112","Estimated Quantity of Agricultural Output (Thousand)","1998","Value of Livestock and Crop Stock Changes",NA
"113","Value Index of Agricultural Output (Base 1995=100)","1998","Value of Livestock and Crop Stock Changes",NA
"114","Value of Changes in Livestock and Crops (Euro Million)","1998","Value of Livestock and Crop Stock Changes",43.3
"115","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Value of Livestock and Crop Stock Changes",NA
"116","Estimated Value of Agricultural Output (Euro Million)","1999","Value of Livestock and Crop Stock Changes",-178.5
"117","Estimated Quantity of Agricultural Output (Thousand)","1999","Value of Livestock and Crop Stock Changes",NA
"118","Value Index of Agricultural Output (Base 1995=100)","1999","Value of Livestock and Crop Stock Changes",NA
"119","Value of Changes in Livestock and Crops (Euro Million)","1999","Value of Livestock and Crop Stock Changes",-178.5
"120","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Value of Livestock and Crop Stock Changes",NA
"121","Estimated Value of Agricultural Output (Euro Million)","2000","Value of Livestock and Crop Stock Changes",-150.8
"122","Estimated Quantity of Agricultural Output (Thousand)","2000","Value of Livestock and Crop Stock Changes",NA
"123","Value Index of Agricultural Output (Base 1995=100)","2000","Value of Livestock and Crop Stock Changes",NA
"124","Value of Changes in Livestock and Crops (Euro Million)","2000","Value of Livestock and Crop Stock Changes",-150.8
"125","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Value of Livestock and Crop Stock Changes",NA
"126","Estimated Value of Agricultural Output (Euro Million)","2001","Value of Livestock and Crop Stock Changes",-12.9
"127","Estimated Quantity of Agricultural Output (Thousand)","2001","Value of Livestock and Crop Stock Changes",NA
"128","Value Index of Agricultural Output (Base 1995=100)","2001","Value of Livestock and Crop Stock Changes",NA
"129","Value of Changes in Livestock and Crops (Euro Million)","2001","Value of Livestock and Crop Stock Changes",-12.9
"130","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Value of Livestock and Crop Stock Changes",NA
"131","Estimated Value of Agricultural Output (Euro Million)","2002","Value of Livestock and Crop Stock Changes",-39.8
"132","Estimated Quantity of Agricultural Output (Thousand)","2002","Value of Livestock and Crop Stock Changes",NA
"133","Value Index of Agricultural Output (Base 1995=100)","2002","Value of Livestock and Crop Stock Changes",NA
"134","Value of Changes in Livestock and Crops (Euro Million)","2002","Value of Livestock and Crop Stock Changes",-39.8
"135","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Value of Livestock and Crop Stock Changes",NA
"136","Estimated Value of Agricultural Output (Euro Million)","2003","Value of Livestock and Crop Stock Changes",NA
"137","Estimated Quantity of Agricultural Output (Thousand)","2003","Value of Livestock and Crop Stock Changes",NA
"138","Value Index of Agricultural Output (Base 1995=100)","2003","Value of Livestock and Crop Stock Changes",NA
"139","Value of Changes in Livestock and Crops (Euro Million)","2003","Value of Livestock and Crop Stock Changes",NA
"140","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Value of Livestock and Crop Stock Changes",NA
"141","Estimated Value of Agricultural Output (Euro Million)","1990","Total Livestock (Incl. Stock Changes)",2208
"142","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Livestock (Incl. Stock Changes)",NA
"143","Value Index of Agricultural Output (Base 1995=100)","1990","Total Livestock (Incl. Stock Changes)",96.6
"144","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Livestock (Incl. Stock Changes)",NA
"145","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Livestock (Incl. Stock Changes)",NA
"146","Estimated Value of Agricultural Output (Euro Million)","1991","Total Livestock (Incl. Stock Changes)",2128.2
"147","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Livestock (Incl. Stock Changes)",NA
"148","Value Index of Agricultural Output (Base 1995=100)","1991","Total Livestock (Incl. Stock Changes)",98
"149","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Livestock (Incl. Stock Changes)",NA
"150","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Livestock (Incl. Stock Changes)",NA
"151","Estimated Value of Agricultural Output (Euro Million)","1992","Total Livestock (Incl. Stock Changes)",2286.3
"152","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Livestock (Incl. Stock Changes)",NA
"153","Value Index of Agricultural Output (Base 1995=100)","1992","Total Livestock (Incl. Stock Changes)",105.1
"154","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Livestock (Incl. Stock Changes)",NA
"155","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Livestock (Incl. Stock Changes)",NA
"156","Estimated Value of Agricultural Output (Euro Million)","1993","Total Livestock (Incl. Stock Changes)",2470.2
"157","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Livestock (Incl. Stock Changes)",NA
"158","Value Index of Agricultural Output (Base 1995=100)","1993","Total Livestock (Incl. Stock Changes)",103.4
"159","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Livestock (Incl. Stock Changes)",NA
"160","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Livestock (Incl. Stock Changes)",NA
"161","Estimated Value of Agricultural Output (Euro Million)","1994","Total Livestock (Incl. Stock Changes)",2347.8
"162","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Livestock (Incl. Stock Changes)",NA
"163","Value Index of Agricultural Output (Base 1995=100)","1994","Total Livestock (Incl. Stock Changes)",97.3
"164","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Livestock (Incl. Stock Changes)",NA
"165","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Livestock (Incl. Stock Changes)",NA
"166","Estimated Value of Agricultural Output (Euro Million)","1995","Total Livestock (Incl. Stock Changes)",2357.3
"167","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Livestock (Incl. Stock Changes)",NA
"168","Value Index of Agricultural Output (Base 1995=100)","1995","Total Livestock (Incl. Stock Changes)",100
"169","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Livestock (Incl. Stock Changes)",NA
"170","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Livestock (Incl. Stock Changes)",NA
"171","Estimated Value of Agricultural Output (Euro Million)","1996","Total Livestock (Incl. Stock Changes)",2338.4
"172","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Livestock (Incl. Stock Changes)",NA
"173","Value Index of Agricultural Output (Base 1995=100)","1996","Total Livestock (Incl. Stock Changes)",106.8
"174","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Livestock (Incl. Stock Changes)",NA
"175","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Livestock (Incl. Stock Changes)",NA
"176","Estimated Value of Agricultural Output (Euro Million)","1997","Total Livestock (Incl. Stock Changes)",2227.3
"177","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Livestock (Incl. Stock Changes)",NA
"178","Value Index of Agricultural Output (Base 1995=100)","1997","Total Livestock (Incl. Stock Changes)",107.1
"179","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Livestock (Incl. Stock Changes)",NA
"180","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Livestock (Incl. Stock Changes)",NA
"181","Estimated Value of Agricultural Output (Euro Million)","1998","Total Livestock (Incl. Stock Changes)",2166.7
"182","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Livestock (Incl. Stock Changes)",NA
"183","Value Index of Agricultural Output (Base 1995=100)","1998","Total Livestock (Incl. Stock Changes)",109.7
"184","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Livestock (Incl. Stock Changes)",NA
"185","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Livestock (Incl. Stock Changes)",NA
"186","Estimated Value of Agricultural Output (Euro Million)","1999","Total Livestock (Incl. Stock Changes)",2081.8
"187","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Livestock (Incl. Stock Changes)",NA
"188","Value Index of Agricultural Output (Base 1995=100)","1999","Total Livestock (Incl. Stock Changes)",108.4
"189","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Livestock (Incl. Stock Changes)",NA
"190","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Livestock (Incl. Stock Changes)",NA
"191","Estimated Value of Agricultural Output (Euro Million)","2000","Total Livestock (Incl. Stock Changes)",2184.4
"192","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Livestock (Incl. Stock Changes)",NA
"193","Value Index of Agricultural Output (Base 1995=100)","2000","Total Livestock (Incl. Stock Changes)",102.2
"194","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Livestock (Incl. Stock Changes)",NA
"195","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Livestock (Incl. Stock Changes)",NA
"196","Estimated Value of Agricultural Output (Euro Million)","2001","Total Livestock (Incl. Stock Changes)",2189.9
"197","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Livestock (Incl. Stock Changes)",NA
"198","Value Index of Agricultural Output (Base 1995=100)","2001","Total Livestock (Incl. Stock Changes)",102.3
"199","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Livestock (Incl. Stock Changes)",NA
"200","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Livestock (Incl. Stock Changes)",NA
"201","Estimated Value of Agricultural Output (Euro Million)","2002","Total Livestock (Incl. Stock Changes)",2019.7
"202","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Livestock (Incl. Stock Changes)",NA
"203","Value Index of Agricultural Output (Base 1995=100)","2002","Total Livestock (Incl. Stock Changes)",95.7
"204","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Livestock (Incl. Stock Changes)",NA
"205","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Livestock (Incl. Stock Changes)",NA
"206","Estimated Value of Agricultural Output (Euro Million)","2003","Total Livestock (Incl. Stock Changes)",2069.8
"207","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Livestock (Incl. Stock Changes)",NA
"208","Value Index of Agricultural Output (Base 1995=100)","2003","Total Livestock (Incl. Stock Changes)",NA
"209","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Livestock (Incl. Stock Changes)",NA
"210","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Livestock (Incl. Stock Changes)",NA
"211","Estimated Value of Agricultural Output (Euro Million)","1990","Total Cattle",1576.4
"212","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Cattle",1888
"213","Value Index of Agricultural Output (Base 1995=100)","1990","Total Cattle",100.2
"214","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Cattle",83.5
"215","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Cattle",131.5
"216","Estimated Value of Agricultural Output (Euro Million)","1991","Total Cattle",1484.4
"217","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Cattle",1904
"218","Value Index of Agricultural Output (Base 1995=100)","1991","Total Cattle",100.3
"219","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Cattle",26.9
"220","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Cattle",57.1
"221","Estimated Value of Agricultural Output (Euro Million)","1992","Total Cattle",1616
"222","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Cattle",1995
"223","Value Index of Agricultural Output (Base 1995=100)","1992","Total Cattle",107.9
"224","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Cattle",100.9
"225","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Cattle",107
"226","Estimated Value of Agricultural Output (Euro Million)","1993","Total Cattle",1772.9
"227","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Cattle",2013
"228","Value Index of Agricultural Output (Base 1995=100)","1993","Total Cattle",104.4
"229","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Cattle",13.6
"230","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Cattle",43.8
"231","Estimated Value of Agricultural Output (Euro Million)","1994","Total Cattle",1632.9
"232","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Cattle",1930
"233","Value Index of Agricultural Output (Base 1995=100)","1994","Total Cattle",94.9
"234","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Cattle",77.7
"235","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Cattle",101.6
"236","Estimated Value of Agricultural Output (Euro Million)","1995","Total Cattle",1656.7
"237","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Cattle",1994
"238","Value Index of Agricultural Output (Base 1995=100)","1995","Total Cattle",100
"239","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Cattle",79.2
"240","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Cattle",121.6
"241","Estimated Value of Agricultural Output (Euro Million)","1996","Total Cattle",1491.5
"242","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Cattle",2066
"243","Value Index of Agricultural Output (Base 1995=100)","1996","Total Cattle",107.2
"244","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Cattle",130.4
"245","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Cattle",225
"246","Estimated Value of Agricultural Output (Euro Million)","1997","Total Cattle",1389.9
"247","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Cattle",2072
"248","Value Index of Agricultural Output (Base 1995=100)","1997","Total Cattle",106.4
"249","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Cattle",120.2
"250","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Cattle",235.1
"251","Estimated Value of Agricultural Output (Euro Million)","1998","Total Cattle",1385
"252","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Cattle",2157
"253","Value Index of Agricultural Output (Base 1995=100)","1998","Total Cattle",108.6
"254","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Cattle",50.9
"255","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Cattle",70.1
"256","Estimated Value of Agricultural Output (Euro Million)","1999","Total Cattle",1330.7
"257","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Cattle",2132
"258","Value Index of Agricultural Output (Base 1995=100)","1999","Total Cattle",106.6
"259","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Cattle",-172.8
"260","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Cattle",-393.8
"261","Estimated Value of Agricultural Output (Euro Million)","2000","Total Cattle",1378
"262","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Cattle",2061
"263","Value Index of Agricultural Output (Base 1995=100)","2000","Total Cattle",100.2
"264","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Cattle",-130.9
"265","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Cattle",-227.7
"266","Estimated Value of Agricultural Output (Euro Million)","2001","Total Cattle",1257.9
"267","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Cattle",2072
"268","Value Index of Agricultural Output (Base 1995=100)","2001","Total Cattle",99.3
"269","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Cattle",-5
"270","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Cattle",77.9
"271","Estimated Value of Agricultural Output (Euro Million)","2002","Total Cattle",1168.1
"272","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Cattle",1825
"273","Value Index of Agricultural Output (Base 1995=100)","2002","Total Cattle",91.7
"274","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Cattle",-32.5
"275","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Cattle",-75.2
"276","Estimated Value of Agricultural Output (Euro Million)","2003","Total Cattle",1229.5
"277","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Cattle",NA
"278","Value Index of Agricultural Output (Base 1995=100)","2003","Total Cattle",NA
"279","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Cattle",NA
"280","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Cattle",NA
"281","Estimated Value of Agricultural Output (Euro Million)","1990","Total Pigs",237.2
"282","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Pigs",2533
"283","Value Index of Agricultural Output (Base 1995=100)","1990","Total Pigs",77
"284","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Pigs",7.6
"285","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Pigs",139
"286","Estimated Value of Agricultural Output (Euro Million)","1991","Total Pigs",242.1
"287","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Pigs",2645
"288","Value Index of Agricultural Output (Base 1995=100)","1991","Total Pigs",81.6
"289","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Pigs",5.2
"290","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Pigs",96.4
"291","Estimated Value of Agricultural Output (Euro Million)","1992","Total Pigs",280.4
"292","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Pigs",2822
"293","Value Index of Agricultural Output (Base 1995=100)","1992","Total Pigs",88.7
"294","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Pigs",4.5
"295","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Pigs",77.1
"296","Estimated Value of Agricultural Output (Euro Million)","1993","Total Pigs",257.9
"297","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Pigs",2975
"298","Value Index of Agricultural Output (Base 1995=100)","1993","Total Pigs",94.6
"299","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Pigs",2.5
"300","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Pigs",64.6
"301","Estimated Value of Agricultural Output (Euro Million)","1994","Total Pigs",264.5
"302","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Pigs",2994
