"","Year","Statistic","value"
"107","2000","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",9.9
"108","2001","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",7.6
"109","2002","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",7.6
"110","2003","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",7.7
"111","2004","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",67.7
"112","2005","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",1.38
"113","2006","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0.14
"114","2007","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0.13
"115","2008","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0.1
"116","2009","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0.07
"117","2010","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0.01
"118","2011","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0.01
"119","2012","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0
"120","2013","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0
