"","Statistic","Year","Production.Cost","value"
"204","Agricultural Input Value Index (Base 1995=100)","1993","Crop Protection Products",100.5
"205","Agricultural Input Value (Euro Million)","1994","Crop Protection Products",57.5
"206","Agricultural Input Value Index (Base 1995=100)","1994","Crop Protection Products",97.9
"207","Agricultural Input Value (Euro Million)","1995","Crop Protection Products",60.2
"208","Agricultural Input Value Index (Base 1995=100)","1995","Crop Protection Products",100
"209","Agricultural Input Value (Euro Million)","1996","Crop Protection Products",67
"210","Agricultural Input Value Index (Base 1995=100)","1996","Crop Protection Products",107.6
"211","Agricultural Input Value (Euro Million)","1997","Crop Protection Products",69.5
"212","Agricultural Input Value Index (Base 1995=100)","1997","Crop Protection Products",112.1
"213","Agricultural Input Value (Euro Million)","1998","Crop Protection Products",72.3
"214","Agricultural Input Value Index (Base 1995=100)","1998","Crop Protection Products",116.1
"215","Agricultural Input Value (Euro Million)","1999","Crop Protection Products",69.9
"216","Agricultural Input Value Index (Base 1995=100)","1999","Crop Protection Products",112.5
"217","Agricultural Input Value (Euro Million)","2000","Crop Protection Products",67.4
"218","Agricultural Input Value Index (Base 1995=100)","2000","Crop Protection Products",109
"219","Agricultural Input Value (Euro Million)","2001","Crop Protection Products",60.5
"220","Agricultural Input Value Index (Base 1995=100)","2001","Crop Protection Products",96.9
"221","Agricultural Input Value (Euro Million)","2002","Crop Protection Products",73
"222","Agricultural Input Value Index (Base 1995=100)","2002","Crop Protection Products",115.9
"223","Agricultural Input Value (Euro Million)","2003","Crop Protection Products",NA
"224","Agricultural Input Value Index (Base 1995=100)","2003","Crop Protection Products",NA
"225","Agricultural Input Value (Euro Million)","1990","Veterinary Pharmaceutical Products",71.1
"226","Agricultural Input Value Index (Base 1995=100)","1990","Veterinary Pharmaceutical Products",85.9
"227","Agricultural Input Value (Euro Million)","1991","Veterinary Pharmaceutical Products",75.3
"228","Agricultural Input Value Index (Base 1995=100)","1991","Veterinary Pharmaceutical Products",85.9
"229","Agricultural Input Value (Euro Million)","1992","Veterinary Pharmaceutical Products",77
"230","Agricultural Input Value Index (Base 1995=100)","1992","Veterinary Pharmaceutical Products",85.2
"231","Agricultural Input Value (Euro Million)","1993","Veterinary Pharmaceutical Products",79.7
"232","Agricultural Input Value Index (Base 1995=100)","1993","Veterinary Pharmaceutical Products",86
"233","Agricultural Input Value (Euro Million)","1994","Veterinary Pharmaceutical Products",92.5
"234","Agricultural Input Value Index (Base 1995=100)","1994","Veterinary Pharmaceutical Products",100.1
"235","Agricultural Input Value (Euro Million)","1995","Veterinary Pharmaceutical Products",94.3
"236","Agricultural Input Value Index (Base 1995=100)","1995","Veterinary Pharmaceutical Products",100
"237","Agricultural Input Value (Euro Million)","1996","Veterinary Pharmaceutical Products",93.5
"238","Agricultural Input Value Index (Base 1995=100)","1996","Veterinary Pharmaceutical Products",98.1
"239","Agricultural Input Value (Euro Million)","1997","Veterinary Pharmaceutical Products",101.5
"240","Agricultural Input Value Index (Base 1995=100)","1997","Veterinary Pharmaceutical Products",103.7
"241","Agricultural Input Value (Euro Million)","1998","Veterinary Pharmaceutical Products",104.7
"242","Agricultural Input Value Index (Base 1995=100)","1998","Veterinary Pharmaceutical Products",103.5
"243","Agricultural Input Value (Euro Million)","1999","Veterinary Pharmaceutical Products",99.5
"244","Agricultural Input Value Index (Base 1995=100)","1999","Veterinary Pharmaceutical Products",97.3
"245","Agricultural Input Value (Euro Million)","2000","Veterinary Pharmaceutical Products",100.2
"246","Agricultural Input Value Index (Base 1995=100)","2000","Veterinary Pharmaceutical Products",93.5
"247","Agricultural Input Value (Euro Million)","2001","Veterinary Pharmaceutical Products",105.8
"248","Agricultural Input Value Index (Base 1995=100)","2001","Veterinary Pharmaceutical Products",95.8
"249","Agricultural Input Value (Euro Million)","2002","Veterinary Pharmaceutical Products",108.8
"250","Agricultural Input Value Index (Base 1995=100)","2002","Veterinary Pharmaceutical Products",95.4
"251","Agricultural Input Value (Euro Million)","2003","Veterinary Pharmaceutical Products",NA
"252","Agricultural Input Value Index (Base 1995=100)","2003","Veterinary Pharmaceutical Products",NA
"253","Agricultural Input Value (Euro Million)","1990","Other Goods (Detergents Small Tools etc.)",97.8
"254","Agricultural Input Value Index (Base 1995=100)","1990","Other Goods (Detergents Small Tools etc.)",NA
"255","Agricultural Input Value (Euro Million)","1991","Other Goods (Detergents Small Tools etc.)",105
"256","Agricultural Input Value Index (Base 1995=100)","1991","Other Goods (Detergents Small Tools etc.)",NA
"257","Agricultural Input Value (Euro Million)","1992","Other Goods (Detergents Small Tools etc.)",114.1
"258","Agricultural Input Value Index (Base 1995=100)","1992","Other Goods (Detergents Small Tools etc.)",NA
"259","Agricultural Input Value (Euro Million)","1993","Other Goods (Detergents Small Tools etc.)",112.3
"260","Agricultural Input Value Index (Base 1995=100)","1993","Other Goods (Detergents Small Tools etc.)",NA
"261","Agricultural Input Value (Euro Million)","1994","Other Goods (Detergents Small Tools etc.)",112.5
"262","Agricultural Input Value Index (Base 1995=100)","1994","Other Goods (Detergents Small Tools etc.)",NA
"263","Agricultural Input Value (Euro Million)","1995","Other Goods (Detergents Small Tools etc.)",117.8
"264","Agricultural Input Value Index (Base 1995=100)","1995","Other Goods (Detergents Small Tools etc.)",NA
"265","Agricultural Input Value (Euro Million)","1996","Other Goods (Detergents Small Tools etc.)",126
"266","Agricultural Input Value Index (Base 1995=100)","1996","Other Goods (Detergents Small Tools etc.)",NA
"267","Agricultural Input Value (Euro Million)","1997","Other Goods (Detergents Small Tools etc.)",125.8
"268","Agricultural Input Value Index (Base 1995=100)","1997","Other Goods (Detergents Small Tools etc.)",NA
"269","Agricultural Input Value (Euro Million)","1998","Other Goods (Detergents Small Tools etc.)",132.4
"270","Agricultural Input Value Index (Base 1995=100)","1998","Other Goods (Detergents Small Tools etc.)",NA
"271","Agricultural Input Value (Euro Million)","1999","Other Goods (Detergents Small Tools etc.)",137.4
"272","Agricultural Input Value Index (Base 1995=100)","1999","Other Goods (Detergents Small Tools etc.)",NA
"273","Agricultural Input Value (Euro Million)","2000","Other Goods (Detergents Small Tools etc.)",141.4
"274","Agricultural Input Value Index (Base 1995=100)","2000","Other Goods (Detergents Small Tools etc.)",NA
"275","Agricultural Input Value (Euro Million)","2001","Other Goods (Detergents Small Tools etc.)",148.5
"276","Agricultural Input Value Index (Base 1995=100)","2001","Other Goods (Detergents Small Tools etc.)",NA
"277","Agricultural Input Value (Euro Million)","2002","Other Goods (Detergents Small Tools etc.)",145.2
"278","Agricultural Input Value Index (Base 1995=100)","2002","Other Goods (Detergents Small Tools etc.)",NA
"279","Agricultural Input Value (Euro Million)","2003","Other Goods (Detergents Small Tools etc.)",NA
"280","Agricultural Input Value Index (Base 1995=100)","2003","Other Goods (Detergents Small Tools etc.)",NA
"281","Agricultural Input Value (Euro Million)","1990","Forage Plants",397.4
"282","Agricultural Input Value Index (Base 1995=100)","1990","Forage Plants",NA
"283","Agricultural Input Value (Euro Million)","1991","Forage Plants",417.9
"284","Agricultural Input Value Index (Base 1995=100)","1991","Forage Plants",NA
"285","Agricultural Input Value (Euro Million)","1992","Forage Plants",429
"286","Agricultural Input Value Index (Base 1995=100)","1992","Forage Plants",NA
"287","Agricultural Input Value (Euro Million)","1993","Forage Plants",439.7
"288","Agricultural Input Value Index (Base 1995=100)","1993","Forage Plants",NA
"289","Agricultural Input Value (Euro Million)","1994","Forage Plants",434.4
"290","Agricultural Input Value Index (Base 1995=100)","1994","Forage Plants",NA
"291","Agricultural Input Value (Euro Million)","1995","Forage Plants",482.9
"292","Agricultural Input Value Index (Base 1995=100)","1995","Forage Plants",NA
"293","Agricultural Input Value (Euro Million)","1996","Forage Plants",447.4
"294","Agricultural Input Value Index (Base 1995=100)","1996","Forage Plants",NA
"295","Agricultural Input Value (Euro Million)","1997","Forage Plants",430.5
"296","Agricultural Input Value Index (Base 1995=100)","1997","Forage Plants",NA
"297","Agricultural Input Value (Euro Million)","1998","Forage Plants",460.8
"298","Agricultural Input Value Index (Base 1995=100)","1998","Forage Plants",NA
"299","Agricultural Input Value (Euro Million)","1999","Forage Plants",471.8
"300","Agricultural Input Value Index (Base 1995=100)","1999","Forage Plants",NA
"301","Agricultural Input Value (Euro Million)","2000","Forage Plants",504.6
"302","Agricultural Input Value Index (Base 1995=100)","2000","Forage Plants",NA
"303","Agricultural Input Value (Euro Million)","2001","Forage Plants",528.5
"304","Agricultural Input Value Index (Base 1995=100)","2001","Forage Plants",NA
"305","Agricultural Input Value (Euro Million)","2002","Forage Plants",479.5
"306","Agricultural Input Value Index (Base 1995=100)","2002","Forage Plants",NA
"307","Agricultural Input Value (Euro Million)","2003","Forage Plants",474.5
"308","Agricultural Input Value Index (Base 1995=100)","2003","Forage Plants",NA
"309","Agricultural Input Value (Euro Million)","1990","Contract Work",197.6
"310","Agricultural Input Value Index (Base 1995=100)","1990","Contract Work",NA
"311","Agricultural Input Value (Euro Million)","1991","Contract Work",192.4
"312","Agricultural Input Value Index (Base 1995=100)","1991","Contract Work",NA
"313","Agricultural Input Value (Euro Million)","1992","Contract Work",200.4
"314","Agricultural Input Value Index (Base 1995=100)","1992","Contract Work",NA
"315","Agricultural Input Value (Euro Million)","1993","Contract Work",221.6
"316","Agricultural Input Value Index (Base 1995=100)","1993","Contract Work",NA
"317","Agricultural Input Value (Euro Million)","1994","Contract Work",227.7
"318","Agricultural Input Value Index (Base 1995=100)","1994","Contract Work",NA
"319","Agricultural Input Value (Euro Million)","1995","Contract Work",234.8
"320","Agricultural Input Value Index (Base 1995=100)","1995","Contract Work",NA
"321","Agricultural Input Value (Euro Million)","1996","Contract Work",245.4
"322","Agricultural Input Value Index (Base 1995=100)","1996","Contract Work",NA
"323","Agricultural Input Value (Euro Million)","1997","Contract Work",250.4
"324","Agricultural Input Value Index (Base 1995=100)","1997","Contract Work",NA
"325","Agricultural Input Value (Euro Million)","1998","Contract Work",250.6
"326","Agricultural Input Value Index (Base 1995=100)","1998","Contract Work",NA
"327","Agricultural Input Value (Euro Million)","1999","Contract Work",272.9
"328","Agricultural Input Value Index (Base 1995=100)","1999","Contract Work",NA
"329","Agricultural Input Value (Euro Million)","2000","Contract Work",288.4
"330","Agricultural Input Value Index (Base 1995=100)","2000","Contract Work",NA
"331","Agricultural Input Value (Euro Million)","2001","Contract Work",312.1
"332","Agricultural Input Value Index (Base 1995=100)","2001","Contract Work",NA
"333","Agricultural Input Value (Euro Million)","2002","Contract Work",287.2
"334","Agricultural Input Value Index (Base 1995=100)","2002","Contract Work",NA
"335","Agricultural Input Value (Euro Million)","2003","Contract Work",303.6
"336","Agricultural Input Value Index (Base 1995=100)","2003","Contract Work",NA
"337","Agricultural Input Value (Euro Million)","1990","Gross Value Added at Basic Prices",2779.1
"338","Agricultural Input Value Index (Base 1995=100)","1990","Gross Value Added at Basic Prices",107.3
"339","Agricultural Input Value (Euro Million)","1991","Gross Value Added at Basic Prices",2606.2
"340","Agricultural Input Value Index (Base 1995=100)","1991","Gross Value Added at Basic Prices",104.6
"341","Agricultural Input Value (Euro Million)","1992","Gross Value Added at Basic Prices",2935.2
"342","Agricultural Input Value Index (Base 1995=100)","1992","Gross Value Added at Basic Prices",114.7
"343","Agricultural Input Value (Euro Million)","1993","Gross Value Added at Basic Prices",3060.6
"344","Agricultural Input Value Index (Base 1995=100)","1993","Gross Value Added at Basic Prices",104.5
"345","Agricultural Input Value (Euro Million)","1994","Gross Value Added at Basic Prices",3060.1
"346","Agricultural Input Value Index (Base 1995=100)","1994","Gross Value Added at Basic Prices",103.1
"347","Agricultural Input Value (Euro Million)","1995","Gross Value Added at Basic Prices",3191.9
"348","Agricultural Input Value Index (Base 1995=100)","1995","Gross Value Added at Basic Prices",100
"349","Agricultural Input Value (Euro Million)","1996","Gross Value Added at Basic Prices",3197.5
"350","Agricultural Input Value Index (Base 1995=100)","1996","Gross Value Added at Basic Prices",109
"351","Agricultural Input Value (Euro Million)","1997","Gross Value Added at Basic Prices",2981.2
"352","Agricultural Input Value Index (Base 1995=100)","1997","Gross Value Added at Basic Prices",106.9
"353","Agricultural Input Value (Euro Million)","1998","Gross Value Added at Basic Prices",2966.1
"354","Agricultural Input Value Index (Base 1995=100)","1998","Gross Value Added at Basic Prices",106.7
"355","Agricultural Input Value (Euro Million)","1999","Gross Value Added at Basic Prices",2710.5
"356","Agricultural Input Value Index (Base 1995=100)","1999","Gross Value Added at Basic Prices",101.6
"357","Agricultural Input Value (Euro Million)","2000","Gross Value Added at Basic Prices",2932.8
"358","Agricultural Input Value Index (Base 1995=100)","2000","Gross Value Added at Basic Prices",103.8
"359","Agricultural Input Value (Euro Million)","2001","Gross Value Added at Basic Prices",2851.5
"360","Agricultural Input Value Index (Base 1995=100)","2001","Gross Value Added at Basic Prices",99.7
