"","Statistic","Year","Type.of.Pig","value"
"61","Pig Population Estimated from June Survey (Thousand)","2005","Total pigs",1687.7
"62","Pig Population Estimated from December Survey (Thousand)","2005","Total pigs",1670.8
"63","Pig Population Estimated from June Survey (Thousand)","2006","Total pigs",1643.2
"64","Pig Population Estimated from December Survey (Thousand)","2006","Total pigs",1620
"65","Pig Population Estimated from June Survey (Thousand)","2007","Total pigs",1587.8
"66","Pig Population Estimated from December Survey (Thousand)","2007","Total pigs",1500.5
"67","Pig Population Estimated from June Survey (Thousand)","2008","Total pigs",1462
"68","Pig Population Estimated from December Survey (Thousand)","2008","Total pigs",1510.7
"69","Pig Population Estimated from June Survey (Thousand)","2009","Total pigs",1385.2
"70","Pig Population Estimated from December Survey (Thousand)","2009","Total pigs",1501.9
"71","Pig Population Estimated from June Survey (Thousand)","2010","Total pigs",1516.3
"72","Pig Population Estimated from December Survey (Thousand)","2010","Total pigs",1500.4
"73","Pig Population Estimated from June Survey (Thousand)","2011","Total pigs",1549
"74","Pig Population Estimated from December Survey (Thousand)","2011","Total pigs",1552.9
"75","Pig Population Estimated from June Survey (Thousand)","2012","Total pigs",1570.6
"76","Pig Population Estimated from December Survey (Thousand)","2012","Total pigs",1493
"77","Pig Population Estimated from June Survey (Thousand)","2013","Total pigs",1552
"78","Pig Population Estimated from December Survey (Thousand)","2013","Total pigs",NA
"79","Pig Population Estimated from June Survey (Thousand)","1975","Breeding pigs",106
"80","Pig Population Estimated from December Survey (Thousand)","1975","Breeding pigs",112.8
"81","Pig Population Estimated from June Survey (Thousand)","1976","Breeding pigs",117.7
"82","Pig Population Estimated from December Survey (Thousand)","1976","Breeding pigs",117.3
"83","Pig Population Estimated from June Survey (Thousand)","1977","Breeding pigs",110.9
"84","Pig Population Estimated from December Survey (Thousand)","1977","Breeding pigs",117.1
"85","Pig Population Estimated from June Survey (Thousand)","1978","Breeding pigs",129.1
"86","Pig Population Estimated from December Survey (Thousand)","1978","Breeding pigs",129.2
"87","Pig Population Estimated from June Survey (Thousand)","1979","Breeding pigs",120.2
"88","Pig Population Estimated from December Survey (Thousand)","1979","Breeding pigs",121.3
"89","Pig Population Estimated from June Survey (Thousand)","1980","Breeding pigs",120.2
"90","Pig Population Estimated from December Survey (Thousand)","1980","Breeding pigs",115
"91","Pig Population Estimated from June Survey (Thousand)","1981","Breeding pigs",118.3
"92","Pig Population Estimated from December Survey (Thousand)","1981","Breeding pigs",121.5
"93","Pig Population Estimated from June Survey (Thousand)","1982","Breeding pigs",122.5
"94","Pig Population Estimated from December Survey (Thousand)","1982","Breeding pigs",124.8
"95","Pig Population Estimated from June Survey (Thousand)","1983","Breeding pigs",122.5
"96","Pig Population Estimated from December Survey (Thousand)","1983","Breeding pigs",122.8
"97","Pig Population Estimated from June Survey (Thousand)","1984","Breeding pigs",116.8
"98","Pig Population Estimated from December Survey (Thousand)","1984","Breeding pigs",119.5
"99","Pig Population Estimated from June Survey (Thousand)","1985","Breeding pigs",116.9
"100","Pig Population Estimated from December Survey (Thousand)","1985","Breeding pigs",117.5
"101","Pig Population Estimated from June Survey (Thousand)","1986","Breeding pigs",116.9
"102","Pig Population Estimated from December Survey (Thousand)","1986","Breeding pigs",113.4
"103","Pig Population Estimated from June Survey (Thousand)","1987","Breeding pigs",111.8
"104","Pig Population Estimated from December Survey (Thousand)","1987","Breeding pigs",112.8
"105","Pig Population Estimated from June Survey (Thousand)","1988","Breeding pigs",120.5
"106","Pig Population Estimated from December Survey (Thousand)","1988","Breeding pigs",119.6
"107","Pig Population Estimated from June Survey (Thousand)","1989","Breeding pigs",126.4
"108","Pig Population Estimated from December Survey (Thousand)","1989","Breeding pigs",138.2
"109","Pig Population Estimated from June Survey (Thousand)","1990","Breeding pigs",151.7
"110","Pig Population Estimated from December Survey (Thousand)","1990","Breeding pigs",155.1
"111","Pig Population Estimated from June Survey (Thousand)","1991","Breeding pigs",161.1
"112","Pig Population Estimated from December Survey (Thousand)","1991","Breeding pigs",166.6
"113","Pig Population Estimated from June Survey (Thousand)","1992","Breeding pigs",173.6
"114","Pig Population Estimated from December Survey (Thousand)","1992","Breeding pigs",178
"115","Pig Population Estimated from June Survey (Thousand)","1993","Breeding pigs",179.7
"116","Pig Population Estimated from December Survey (Thousand)","1993","Breeding pigs",175
"117","Pig Population Estimated from June Survey (Thousand)","1994","Breeding pigs",175.8
"118","Pig Population Estimated from December Survey (Thousand)","1994","Breeding pigs",167
"119","Pig Population Estimated from June Survey (Thousand)","1995","Breeding pigs",174.8
"120","Pig Population Estimated from December Survey (Thousand)","1995","Breeding pigs",180.8
"121","Pig Population Estimated from June Survey (Thousand)","1996","Breeding pigs",183.4
"122","Pig Population Estimated from December Survey (Thousand)","1996","Breeding pigs",187.4
"123","Pig Population Estimated from June Survey (Thousand)","1997","Breeding pigs",191.7
"124","Pig Population Estimated from December Survey (Thousand)","1997","Breeding pigs",197.6
"125","Pig Population Estimated from June Survey (Thousand)","1998","Breeding pigs",199.9
"126","Pig Population Estimated from December Survey (Thousand)","1998","Breeding pigs",192.4
"127","Pig Population Estimated from June Survey (Thousand)","1999","Breeding pigs",192.6
"128","Pig Population Estimated from December Survey (Thousand)","1999","Breeding pigs",190.4
"129","Pig Population Estimated from June Survey (Thousand)","2000","Breeding pigs",180.8
"130","Pig Population Estimated from December Survey (Thousand)","2000","Breeding pigs",188.7
"131","Pig Population Estimated from June Survey (Thousand)","2001","Breeding pigs",186.8
"132","Pig Population Estimated from December Survey (Thousand)","2001","Breeding pigs",190.9
"133","Pig Population Estimated from June Survey (Thousand)","2002","Breeding pigs",185.1
"134","Pig Population Estimated from December Survey (Thousand)","2002","Breeding pigs",186.3
"135","Pig Population Estimated from June Survey (Thousand)","2003","Breeding pigs",175.7
"136","Pig Population Estimated from December Survey (Thousand)","2003","Breeding pigs",178.4
"137","Pig Population Estimated from June Survey (Thousand)","2004","Breeding pigs",170.2
"138","Pig Population Estimated from December Survey (Thousand)","2004","Breeding pigs",181.5
"139","Pig Population Estimated from June Survey (Thousand)","2005","Breeding pigs",173.4
"140","Pig Population Estimated from December Survey (Thousand)","2005","Breeding pigs",177
"141","Pig Population Estimated from June Survey (Thousand)","2006","Breeding pigs",169.4
"142","Pig Population Estimated from December Survey (Thousand)","2006","Breeding pigs",168.9
"143","Pig Population Estimated from June Survey (Thousand)","2007","Breeding pigs",165.4
"144","Pig Population Estimated from December Survey (Thousand)","2007","Breeding pigs",160.2
"145","Pig Population Estimated from June Survey (Thousand)","2008","Breeding pigs",157.4
"146","Pig Population Estimated from December Survey (Thousand)","2008","Breeding pigs",152.1
"147","Pig Population Estimated from June Survey (Thousand)","2009","Breeding pigs",149
"148","Pig Population Estimated from December Survey (Thousand)","2009","Breeding pigs",159.8
"149","Pig Population Estimated from June Survey (Thousand)","2010","Breeding pigs",161.4
"150","Pig Population Estimated from December Survey (Thousand)","2010","Breeding pigs",150.9
"151","Pig Population Estimated from June Survey (Thousand)","2011","Breeding pigs",156.2
"152","Pig Population Estimated from December Survey (Thousand)","2011","Breeding pigs",147.7
"153","Pig Population Estimated from June Survey (Thousand)","2012","Breeding pigs",145.7
"154","Pig Population Estimated from December Survey (Thousand)","2012","Breeding pigs",145.1
"155","Pig Population Estimated from June Survey (Thousand)","2013","Breeding pigs",147.5
"156","Pig Population Estimated from December Survey (Thousand)","2013","Breeding pigs",NA
"157","Pig Population Estimated from June Survey (Thousand)","1975","Gilts in pig",12.8
"158","Pig Population Estimated from December Survey (Thousand)","1975","Gilts in pig",14.8
"159","Pig Population Estimated from June Survey (Thousand)","1976","Gilts in pig",14.2
"160","Pig Population Estimated from December Survey (Thousand)","1976","Gilts in pig",13
"161","Pig Population Estimated from June Survey (Thousand)","1977","Gilts in pig",13.3
"162","Pig Population Estimated from December Survey (Thousand)","1977","Gilts in pig",14.6
"163","Pig Population Estimated from June Survey (Thousand)","1978","Gilts in pig",16.3
"164","Pig Population Estimated from December Survey (Thousand)","1978","Gilts in pig",15.7
"165","Pig Population Estimated from June Survey (Thousand)","1979","Gilts in pig",13.4
"166","Pig Population Estimated from December Survey (Thousand)","1979","Gilts in pig",12.4
"167","Pig Population Estimated from June Survey (Thousand)","1980","Gilts in pig",13.1
"168","Pig Population Estimated from December Survey (Thousand)","1980","Gilts in pig",12.2
"169","Pig Population Estimated from June Survey (Thousand)","1981","Gilts in pig",13.7
"170","Pig Population Estimated from December Survey (Thousand)","1981","Gilts in pig",14.6
"171","Pig Population Estimated from June Survey (Thousand)","1982","Gilts in pig",14.6
"172","Pig Population Estimated from December Survey (Thousand)","1982","Gilts in pig",14.1
"173","Pig Population Estimated from June Survey (Thousand)","1983","Gilts in pig",14.4
"174","Pig Population Estimated from December Survey (Thousand)","1983","Gilts in pig",14.9
"175","Pig Population Estimated from June Survey (Thousand)","1984","Gilts in pig",14.1
"176","Pig Population Estimated from December Survey (Thousand)","1984","Gilts in pig",14.1
"177","Pig Population Estimated from June Survey (Thousand)","1985","Gilts in pig",14.4
"178","Pig Population Estimated from December Survey (Thousand)","1985","Gilts in pig",14.8
"179","Pig Population Estimated from June Survey (Thousand)","1986","Gilts in pig",13.9
"180","Pig Population Estimated from December Survey (Thousand)","1986","Gilts in pig",14.7
"181","Pig Population Estimated from June Survey (Thousand)","1987","Gilts in pig",13.8
"182","Pig Population Estimated from December Survey (Thousand)","1987","Gilts in pig",14.4
"183","Pig Population Estimated from June Survey (Thousand)","1988","Gilts in pig",15.3
"184","Pig Population Estimated from December Survey (Thousand)","1988","Gilts in pig",15.1
"185","Pig Population Estimated from June Survey (Thousand)","1989","Gilts in pig",15.8
"186","Pig Population Estimated from December Survey (Thousand)","1989","Gilts in pig",20
"187","Pig Population Estimated from June Survey (Thousand)","1990","Gilts in pig",22.1
"188","Pig Population Estimated from December Survey (Thousand)","1990","Gilts in pig",20.1
"189","Pig Population Estimated from June Survey (Thousand)","1991","Gilts in pig",21.6
"190","Pig Population Estimated from December Survey (Thousand)","1991","Gilts in pig",22.1
"191","Pig Population Estimated from June Survey (Thousand)","1992","Gilts in pig",24.3
"192","Pig Population Estimated from December Survey (Thousand)","1992","Gilts in pig",26.6
"193","Pig Population Estimated from June Survey (Thousand)","1993","Gilts in pig",23.7
"194","Pig Population Estimated from December Survey (Thousand)","1993","Gilts in pig",22.7
"195","Pig Population Estimated from June Survey (Thousand)","1994","Gilts in pig",22.1
"196","Pig Population Estimated from December Survey (Thousand)","1994","Gilts in pig",21.2
"197","Pig Population Estimated from June Survey (Thousand)","1995","Gilts in pig",23.2
"198","Pig Population Estimated from December Survey (Thousand)","1995","Gilts in pig",24.2
"199","Pig Population Estimated from June Survey (Thousand)","1996","Gilts in pig",24.3
"200","Pig Population Estimated from December Survey (Thousand)","1996","Gilts in pig",24.7
"201","Pig Population Estimated from June Survey (Thousand)","1997","Gilts in pig",27.2
"202","Pig Population Estimated from December Survey (Thousand)","1997","Gilts in pig",26.5
"203","Pig Population Estimated from June Survey (Thousand)","1998","Gilts in pig",25.5
"204","Pig Population Estimated from December Survey (Thousand)","1998","Gilts in pig",25.7
"205","Pig Population Estimated from June Survey (Thousand)","1999","Gilts in pig",25.5
"206","Pig Population Estimated from December Survey (Thousand)","1999","Gilts in pig",24.2
"207","Pig Population Estimated from June Survey (Thousand)","2000","Gilts in pig",19.6
"208","Pig Population Estimated from December Survey (Thousand)","2000","Gilts in pig",22.9
"209","Pig Population Estimated from June Survey (Thousand)","2001","Gilts in pig",21
"210","Pig Population Estimated from December Survey (Thousand)","2001","Gilts in pig",24.3
"211","Pig Population Estimated from June Survey (Thousand)","2002","Gilts in pig",19.2
"212","Pig Population Estimated from December Survey (Thousand)","2002","Gilts in pig",20.9
"213","Pig Population Estimated from June Survey (Thousand)","2003","Gilts in pig",18.8
"214","Pig Population Estimated from December Survey (Thousand)","2003","Gilts in pig",21.2
"215","Pig Population Estimated from June Survey (Thousand)","2004","Gilts in pig",19.5
"216","Pig Population Estimated from December Survey (Thousand)","2004","Gilts in pig",23.6
"217","Pig Population Estimated from June Survey (Thousand)","2005","Gilts in pig",18.5
"218","Pig Population Estimated from December Survey (Thousand)","2005","Gilts in pig",21
"219","Pig Population Estimated from June Survey (Thousand)","2006","Gilts in pig",21.6
"220","Pig Population Estimated from December Survey (Thousand)","2006","Gilts in pig",21.7
"221","Pig Population Estimated from June Survey (Thousand)","2007","Gilts in pig",20.9
"222","Pig Population Estimated from December Survey (Thousand)","2007","Gilts in pig",22
"223","Pig Population Estimated from June Survey (Thousand)","2008","Gilts in pig",24
"224","Pig Population Estimated from December Survey (Thousand)","2008","Gilts in pig",18.4
"225","Pig Population Estimated from June Survey (Thousand)","2009","Gilts in pig",18.8
"226","Pig Population Estimated from December Survey (Thousand)","2009","Gilts in pig",21.9
"227","Pig Population Estimated from June Survey (Thousand)","2010","Gilts in pig",19.5
"228","Pig Population Estimated from December Survey (Thousand)","2010","Gilts in pig",19.1
"229","Pig Population Estimated from June Survey (Thousand)","2011","Gilts in pig",18.8
"230","Pig Population Estimated from December Survey (Thousand)","2011","Gilts in pig",18.2
"231","Pig Population Estimated from June Survey (Thousand)","2012","Gilts in pig",20.1
"232","Pig Population Estimated from December Survey (Thousand)","2012","Gilts in pig",20.7
"233","Pig Population Estimated from June Survey (Thousand)","2013","Gilts in pig",19.2
"234","Pig Population Estimated from December Survey (Thousand)","2013","Gilts in pig",NA
"235","Pig Population Estimated from June Survey (Thousand)","1975","Sows in pig",47.3
"236","Pig Population Estimated from December Survey (Thousand)","1975","Sows in pig",51.4
"237","Pig Population Estimated from June Survey (Thousand)","1976","Sows in pig",55.8
"238","Pig Population Estimated from December Survey (Thousand)","1976","Sows in pig",56.2
"239","Pig Population Estimated from June Survey (Thousand)","1977","Sows in pig",53.4
"240","Pig Population Estimated from December Survey (Thousand)","1977","Sows in pig",58.6
"241","Pig Population Estimated from June Survey (Thousand)","1978","Sows in pig",64.7
"242","Pig Population Estimated from December Survey (Thousand)","1978","Sows in pig",66.9
"243","Pig Population Estimated from June Survey (Thousand)","1979","Sows in pig",66.4
"244","Pig Population Estimated from December Survey (Thousand)","1979","Sows in pig",65.5
"245","Pig Population Estimated from June Survey (Thousand)","1980","Sows in pig",66
"246","Pig Population Estimated from December Survey (Thousand)","1980","Sows in pig",64.4
"247","Pig Population Estimated from June Survey (Thousand)","1981","Sows in pig",64.4
"248","Pig Population Estimated from December Survey (Thousand)","1981","Sows in pig",65.2
"249","Pig Population Estimated from June Survey (Thousand)","1982","Sows in pig",65.2
"250","Pig Population Estimated from December Survey (Thousand)","1982","Sows in pig",67.3
"251","Pig Population Estimated from June Survey (Thousand)","1983","Sows in pig",65.5
"252","Pig Population Estimated from December Survey (Thousand)","1983","Sows in pig",65.5
"253","Pig Population Estimated from June Survey (Thousand)","1984","Sows in pig",62.8
"254","Pig Population Estimated from December Survey (Thousand)","1984","Sows in pig",65.3
"255","Pig Population Estimated from June Survey (Thousand)","1985","Sows in pig",63.4
"256","Pig Population Estimated from December Survey (Thousand)","1985","Sows in pig",62.3
"257","Pig Population Estimated from June Survey (Thousand)","1986","Sows in pig",64
"258","Pig Population Estimated from December Survey (Thousand)","1986","Sows in pig",61.1
"259","Pig Population Estimated from June Survey (Thousand)","1987","Sows in pig",62
"260","Pig Population Estimated from December Survey (Thousand)","1987","Sows in pig",61.8
"261","Pig Population Estimated from June Survey (Thousand)","1988","Sows in pig",65.8
"262","Pig Population Estimated from December Survey (Thousand)","1988","Sows in pig",66.1
"263","Pig Population Estimated from June Survey (Thousand)","1989","Sows in pig",69.8
"264","Pig Population Estimated from December Survey (Thousand)","1989","Sows in pig",74.5
"265","Pig Population Estimated from June Survey (Thousand)","1990","Sows in pig",81.5
"266","Pig Population Estimated from December Survey (Thousand)","1990","Sows in pig",85.4
"267","Pig Population Estimated from June Survey (Thousand)","1991","Sows in pig",87.9
"268","Pig Population Estimated from December Survey (Thousand)","1991","Sows in pig",92.6
"269","Pig Population Estimated from June Survey (Thousand)","1992","Sows in pig",95.8
"270","Pig Population Estimated from December Survey (Thousand)","1992","Sows in pig",96.5
"271","Pig Population Estimated from June Survey (Thousand)","1993","Sows in pig",101.3
"272","Pig Population Estimated from December Survey (Thousand)","1993","Sows in pig",100.2
"273","Pig Population Estimated from June Survey (Thousand)","1994","Sows in pig",102.5
"274","Pig Population Estimated from December Survey (Thousand)","1994","Sows in pig",96.3
"275","Pig Population Estimated from June Survey (Thousand)","1995","Sows in pig",98.2
"276","Pig Population Estimated from December Survey (Thousand)","1995","Sows in pig",102.4
"277","Pig Population Estimated from June Survey (Thousand)","1996","Sows in pig",102.7
"278","Pig Population Estimated from December Survey (Thousand)","1996","Sows in pig",103.7
"279","Pig Population Estimated from June Survey (Thousand)","1997","Sows in pig",104.4
"280","Pig Population Estimated from December Survey (Thousand)","1997","Sows in pig",111.5
"281","Pig Population Estimated from June Survey (Thousand)","1998","Sows in pig",111.1
"282","Pig Population Estimated from December Survey (Thousand)","1998","Sows in pig",107.1
"283","Pig Population Estimated from June Survey (Thousand)","1999","Sows in pig",109.5
"284","Pig Population Estimated from December Survey (Thousand)","1999","Sows in pig",107.7
"285","Pig Population Estimated from June Survey (Thousand)","2000","Sows in pig",109.5
"286","Pig Population Estimated from December Survey (Thousand)","2000","Sows in pig",109.8
"287","Pig Population Estimated from June Survey (Thousand)","2001","Sows in pig",106.8
"288","Pig Population Estimated from December Survey (Thousand)","2001","Sows in pig",107.8
"289","Pig Population Estimated from June Survey (Thousand)","2002","Sows in pig",109.6
"290","Pig Population Estimated from December Survey (Thousand)","2002","Sows in pig",110.4
"291","Pig Population Estimated from June Survey (Thousand)","2003","Sows in pig",104.3
"292","Pig Population Estimated from December Survey (Thousand)","2003","Sows in pig",103.6
"293","Pig Population Estimated from June Survey (Thousand)","2004","Sows in pig",102.3
"294","Pig Population Estimated from December Survey (Thousand)","2004","Sows in pig",102.2
"295","Pig Population Estimated from June Survey (Thousand)","2005","Sows in pig",100.4
"296","Pig Population Estimated from December Survey (Thousand)","2005","Sows in pig",99.2
"297","Pig Population Estimated from June Survey (Thousand)","2006","Sows in pig",97.3
"298","Pig Population Estimated from December Survey (Thousand)","2006","Sows in pig",95.5
"299","Pig Population Estimated from June Survey (Thousand)","2007","Sows in pig",97.5
"300","Pig Population Estimated from December Survey (Thousand)","2007","Sows in pig",93.6
"301","Pig Population Estimated from June Survey (Thousand)","2008","Sows in pig",91.5
"302","Pig Population Estimated from December Survey (Thousand)","2008","Sows in pig",90.8
"303","Pig Population Estimated from June Survey (Thousand)","2009","Sows in pig",87.3
"304","Pig Population Estimated from December Survey (Thousand)","2009","Sows in pig",89.9
"305","Pig Population Estimated from June Survey (Thousand)","2010","Sows in pig",94.3
"306","Pig Population Estimated from December Survey (Thousand)","2010","Sows in pig",89.4
"307","Pig Population Estimated from June Survey (Thousand)","2011","Sows in pig",90.6
"308","Pig Population Estimated from December Survey (Thousand)","2011","Sows in pig",88.9
"309","Pig Population Estimated from June Survey (Thousand)","2012","Sows in pig",84.6
"310","Pig Population Estimated from December Survey (Thousand)","2012","Sows in pig",82.6
"311","Pig Population Estimated from June Survey (Thousand)","2013","Sows in pig",84.2
"312","Pig Population Estimated from December Survey (Thousand)","2013","Sows in pig",NA
"313","Pig Population Estimated from June Survey (Thousand)","1975","Other sows for breeding",35.6
"314","Pig Population Estimated from December Survey (Thousand)","1975","Other sows for breeding",34.7
"315","Pig Population Estimated from June Survey (Thousand)","1976","Other sows for breeding",37.7
"316","Pig Population Estimated from December Survey (Thousand)","1976","Other sows for breeding",38
"317","Pig Population Estimated from June Survey (Thousand)","1977","Other sows for breeding",33.4
"318","Pig Population Estimated from December Survey (Thousand)","1977","Other sows for breeding",32
"319","Pig Population Estimated from June Survey (Thousand)","1978","Other sows for breeding",34
"320","Pig Population Estimated from December Survey (Thousand)","1978","Other sows for breeding",32.6
"321","Pig Population Estimated from June Survey (Thousand)","1979","Other sows for breeding",31.1
"322","Pig Population Estimated from December Survey (Thousand)","1979","Other sows for breeding",30.1
"323","Pig Population Estimated from June Survey (Thousand)","1980","Other sows for breeding",28.6
"324","Pig Population Estimated from December Survey (Thousand)","1980","Other sows for breeding",26.6
"325","Pig Population Estimated from June Survey (Thousand)","1981","Other sows for breeding",27.1
"326","Pig Population Estimated from December Survey (Thousand)","1981","Other sows for breeding",27.2
"327","Pig Population Estimated from June Survey (Thousand)","1982","Other sows for breeding",27.5
"328","Pig Population Estimated from December Survey (Thousand)","1982","Other sows for breeding",28.2
"329","Pig Population Estimated from June Survey (Thousand)","1983","Other sows for breeding",27.9
"330","Pig Population Estimated from December Survey (Thousand)","1983","Other sows for breeding",27.6
"331","Pig Population Estimated from June Survey (Thousand)","1984","Other sows for breeding",25.8
"332","Pig Population Estimated from December Survey (Thousand)","1984","Other sows for breeding",25.4
"333","Pig Population Estimated from June Survey (Thousand)","1985","Other sows for breeding",25
"334","Pig Population Estimated from December Survey (Thousand)","1985","Other sows for breeding",26
"335","Pig Population Estimated from June Survey (Thousand)","1986","Other sows for breeding",25.3
"336","Pig Population Estimated from December Survey (Thousand)","1986","Other sows for breeding",24.1
"337","Pig Population Estimated from June Survey (Thousand)","1987","Other sows for breeding",22.4
"338","Pig Population Estimated from December Survey (Thousand)","1987","Other sows for breeding",23.1
"339","Pig Population Estimated from June Survey (Thousand)","1988","Other sows for breeding",25.2
"340","Pig Population Estimated from December Survey (Thousand)","1988","Other sows for breeding",24.5
"341","Pig Population Estimated from June Survey (Thousand)","1989","Other sows for breeding",26.1
"342","Pig Population Estimated from December Survey (Thousand)","1989","Other sows for breeding",26.6
"343","Pig Population Estimated from June Survey (Thousand)","1990","Other sows for breeding",30.1
"344","Pig Population Estimated from December Survey (Thousand)","1990","Other sows for breeding",30.9
"345","Pig Population Estimated from June Survey (Thousand)","1991","Other sows for breeding",31.1
"346","Pig Population Estimated from December Survey (Thousand)","1991","Other sows for breeding",31.3
"347","Pig Population Estimated from June Survey (Thousand)","1992","Other sows for breeding",32.7
"348","Pig Population Estimated from December Survey (Thousand)","1992","Other sows for breeding",33.5
"349","Pig Population Estimated from June Survey (Thousand)","1993","Other sows for breeding",34.1
"350","Pig Population Estimated from December Survey (Thousand)","1993","Other sows for breeding",31.4
"351","Pig Population Estimated from June Survey (Thousand)","1994","Other sows for breeding",31.1
"352","Pig Population Estimated from December Survey (Thousand)","1994","Other sows for breeding",28.9
"353","Pig Population Estimated from June Survey (Thousand)","1995","Other sows for breeding",30.8
"354","Pig Population Estimated from December Survey (Thousand)","1995","Other sows for breeding",31
"355","Pig Population Estimated from June Survey (Thousand)","1996","Other sows for breeding",35.1
"356","Pig Population Estimated from December Survey (Thousand)","1996","Other sows for breeding",36.5
"357","Pig Population Estimated from June Survey (Thousand)","1997","Other sows for breeding",37.4
"358","Pig Population Estimated from December Survey (Thousand)","1997","Other sows for breeding",36.7
"359","Pig Population Estimated from June Survey (Thousand)","1998","Other sows for breeding",38.6
"360","Pig Population Estimated from December Survey (Thousand)","1998","Other sows for breeding",37.4
"361","Pig Population Estimated from June Survey (Thousand)","1999","Other sows for breeding",36.5
"362","Pig Population Estimated from December Survey (Thousand)","1999","Other sows for breeding",38.9
