"","Statistic","Year","Type.of.Cow","Size.of.Herd","value"
"141","Number of Farms with Cattle (Thousand)","1977","Cattle","1-2",6.2
"142","Number of Cattle (Thousand)","1977","Cattle","1-2",10.5
"143","Number of Farms with Cattle (Thousand)","1979","Cattle","1-2",5.5
"144","Number of Cattle (Thousand)","1979","Cattle","1-2",9.6
"145","Number of Farms with Cattle (Thousand)","1981","Cattle","1-2",4.8
"146","Number of Cattle (Thousand)","1981","Cattle","1-2",8.5
"147","Number of Farms with Cattle (Thousand)","1983","Cattle","1-2",4.1
"148","Number of Cattle (Thousand)","1983","Cattle","1-2",7.5
"149","Number of Farms with Cattle (Thousand)","1985","Cattle","1-2",3.5
"150","Number of Cattle (Thousand)","1985","Cattle","1-2",6.3
"151","Number of Farms with Cattle (Thousand)","1987","Cattle","1-2",3.8
"152","Number of Cattle (Thousand)","1987","Cattle","1-2",6.8
"153","Number of Farms with Cattle (Thousand)","1989","Cattle","1-2",3.1
"154","Number of Cattle (Thousand)","1989","Cattle","1-2",5.6
"155","Number of Farms with Cattle (Thousand)","1991","Cattle","1-2",3.8
"156","Number of Cattle (Thousand)","1991","Cattle","1-2",6.9
"157","Number of Farms with Cattle (Thousand)","1993","Cattle","1-2",2.9
"158","Number of Cattle (Thousand)","1993","Cattle","1-2",5.4
"159","Number of Farms with Cattle (Thousand)","1995","Cattle","1-2",2.6
"160","Number of Cattle (Thousand)","1995","Cattle","1-2",5.1
"161","Number of Farms with Cattle (Thousand)","1997","Cattle","1-2",2.3
"162","Number of Cattle (Thousand)","1997","Cattle","1-2",4.4
"163","Number of Farms with Cattle (Thousand)","1999","Cattle","1-2",2.3
"164","Number of Cattle (Thousand)","1999","Cattle","1-2",4.5
"165","Number of Farms with Cattle (Thousand)","2001","Cattle","1-2",2.4
"166","Number of Cattle (Thousand)","2001","Cattle","1-2",4.3
"167","Number of Farms with Cattle (Thousand)","2003","Cattle","1-2",2.2
"168","Number of Cattle (Thousand)","2003","Cattle","1-2",4.2
"169","Number of Farms with Cattle (Thousand)","2005","Cattle","1-2",1.7
"170","Number of Cattle (Thousand)","2005","Cattle","1-2",2.9
"171","Number of Farms with Cattle (Thousand)","1973","Cows","1-2",41.7
"172","Number of Cattle (Thousand)","1973","Cows","1-2",65.5
"173","Number of Farms with Cattle (Thousand)","1975","Cows","1-2",43.5
"174","Number of Cattle (Thousand)","1975","Cows","1-2",68
"175","Number of Farms with Cattle (Thousand)","1977","Cows","1-2",34.9
"176","Number of Cattle (Thousand)","1977","Cows","1-2",55.5
"177","Number of Farms with Cattle (Thousand)","1979","Cows","1-2",33.7
"178","Number of Cattle (Thousand)","1979","Cows","1-2",53.9
"179","Number of Farms with Cattle (Thousand)","1981","Cows","1-2",30.3
"180","Number of Cattle (Thousand)","1981","Cows","1-2",48.8
"181","Number of Farms with Cattle (Thousand)","1983","Cows","1-2",28.5
"182","Number of Cattle (Thousand)","1983","Cows","1-2",46
"183","Number of Farms with Cattle (Thousand)","1985","Cows","1-2",25.1
"184","Number of Cattle (Thousand)","1985","Cows","1-2",40.6
"185","Number of Farms with Cattle (Thousand)","1987","Cows","1-2",21.9
"186","Number of Cattle (Thousand)","1987","Cows","1-2",35.4
"187","Number of Farms with Cattle (Thousand)","1989","Cows","1-2",19.1
"188","Number of Cattle (Thousand)","1989","Cows","1-2",31.7
"189","Number of Farms with Cattle (Thousand)","1991","Cows","1-2",16.2
"190","Number of Cattle (Thousand)","1991","Cows","1-2",25.9
"191","Number of Farms with Cattle (Thousand)","1993","Cows","1-2",13.1
"192","Number of Cattle (Thousand)","1993","Cows","1-2",21.7
"193","Number of Farms with Cattle (Thousand)","1995","Cows","1-2",11.9
"194","Number of Cattle (Thousand)","1995","Cows","1-2",20.3
"195","Number of Farms with Cattle (Thousand)","1997","Cows","1-2",10.3
"196","Number of Cattle (Thousand)","1997","Cows","1-2",18.5
"197","Number of Farms with Cattle (Thousand)","1999","Cows","1-2",8.2
"198","Number of Cattle (Thousand)","1999","Cows","1-2",21.2
"199","Number of Farms with Cattle (Thousand)","2001","Cows","1-2",7.3
"200","Number of Cattle (Thousand)","2001","Cows","1-2",17.2
"201","Number of Farms with Cattle (Thousand)","2003","Cows","1-2",7
"202","Number of Cattle (Thousand)","2003","Cows","1-2",16.6
"203","Number of Farms with Cattle (Thousand)","2005","Cows","1-2",6.1
"204","Number of Cattle (Thousand)","2005","Cows","1-2",14.1
"205","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","1-2",47
"206","Number of Cattle (Thousand)","1973","Dairy Cows","1-2",69.3
"207","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","1-2",47
"208","Number of Cattle (Thousand)","1975","Dairy Cows","1-2",67.8
"209","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","1-2",35
"210","Number of Cattle (Thousand)","1977","Dairy Cows","1-2",50.2
"211","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","1-2",28.3
"212","Number of Cattle (Thousand)","1979","Dairy Cows","1-2",40.2
"213","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","1-2",21.1
"214","Number of Cattle (Thousand)","1981","Dairy Cows","1-2",30.1
"215","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","1-2",18.5
"216","Number of Cattle (Thousand)","1983","Dairy Cows","1-2",26.2
"217","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","1-2",13.2
"218","Number of Cattle (Thousand)","1985","Dairy Cows","1-2",18.5
"219","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","1-2",10.8
"220","Number of Cattle (Thousand)","1987","Dairy Cows","1-2",15.2
"221","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","1-2",6
"222","Number of Cattle (Thousand)","1989","Dairy Cows","1-2",7.8
"223","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","1-2",3.9
"224","Number of Cattle (Thousand)","1991","Dairy Cows","1-2",5
"225","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","1-2",3
"226","Number of Cattle (Thousand)","1993","Dairy Cows","1-2",4.2
"227","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","1-2",2.4
"228","Number of Cattle (Thousand)","1995","Dairy Cows","1-2",3.3
"229","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","1-2",1.9
"230","Number of Cattle (Thousand)","1997","Dairy Cows","1-2",2.6
"231","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","1-2",1.5
"232","Number of Cattle (Thousand)","1999","Dairy Cows","1-2",2.3
"233","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","1-2",0.8
"234","Number of Cattle (Thousand)","2001","Dairy Cows","1-2",1.2
"235","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","1-2",0.8
"236","Number of Cattle (Thousand)","2003","Dairy Cows","1-2",1.2
"237","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","1-2",0.6
"238","Number of Cattle (Thousand)","2005","Dairy Cows","1-2",0.8
"239","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","1-2",30.7
"240","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","1-2",47.1
"241","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","1-2",32.5
"242","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","1-2",50.1
"243","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","1-2",29.4
"244","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","1-2",45.6
"245","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","1-2",26.8
"246","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","1-2",42.8
"247","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","1-2",24.4
"248","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","1-2",39.8
"249","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","1-2",25
"250","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","1-2",40.5
"251","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","1-2",23.4
"252","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","1-2",38
"253","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","1-2",20.4
"254","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","1-2",32.9
"255","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","1-2",26.9
"256","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","1-2",43.3
"257","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","1-2",18.3
"258","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","1-2",29.2
"259","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","1-2",16.1
"260","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","1-2",26.9
"261","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","1-2",15
"262","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","1-2",24.8
"263","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","1-2",12.8
"264","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","1-2",22.1
"265","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","1-2",10.2
"266","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","1-2",18.9
"267","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","1-2",9.6
"268","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","1-2",16
"269","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","1-2",8.7
"270","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","1-2",15.4
"271","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","1-2",8.1
"272","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","1-2",13.3
"273","Number of Farms with Cattle (Thousand)","1973","Cattle","3-4",16.6
"274","Number of Cattle (Thousand)","1973","Cattle","3-4",59.2
"275","Number of Farms with Cattle (Thousand)","1975","Cattle","3-4",15.9
"276","Number of Cattle (Thousand)","1975","Cattle","3-4",56.7
"277","Number of Farms with Cattle (Thousand)","1977","Cattle","3-4",11.4
"278","Number of Cattle (Thousand)","1977","Cattle","3-4",40.7
"279","Number of Farms with Cattle (Thousand)","1979","Cattle","3-4",10.5
"280","Number of Cattle (Thousand)","1979","Cattle","3-4",37.5
"281","Number of Farms with Cattle (Thousand)","1981","Cattle","3-4",10.3
"282","Number of Cattle (Thousand)","1981","Cattle","3-4",36.8
"283","Number of Farms with Cattle (Thousand)","1983","Cattle","3-4",9.9
"284","Number of Cattle (Thousand)","1983","Cattle","3-4",35.9
"285","Number of Farms with Cattle (Thousand)","1985","Cattle","3-4",8.9
"286","Number of Cattle (Thousand)","1985","Cattle","3-4",32.1
"287","Number of Farms with Cattle (Thousand)","1987","Cattle","3-4",9.6
"288","Number of Cattle (Thousand)","1987","Cattle","3-4",34.6
"289","Number of Farms with Cattle (Thousand)","1989","Cattle","3-4",8.3
"290","Number of Cattle (Thousand)","1989","Cattle","3-4",29.9
"291","Number of Farms with Cattle (Thousand)","1991","Cattle","3-4",7.6
"292","Number of Cattle (Thousand)","1991","Cattle","3-4",27.5
"293","Number of Farms with Cattle (Thousand)","1993","Cattle","3-4",6.1
"294","Number of Cattle (Thousand)","1993","Cattle","3-4",22.1
"295","Number of Farms with Cattle (Thousand)","1995","Cattle","3-4",5.7
"296","Number of Cattle (Thousand)","1995","Cattle","3-4",21.6
"297","Number of Farms with Cattle (Thousand)","1997","Cattle","3-4",4.8
"298","Number of Cattle (Thousand)","1997","Cattle","3-4",18.6
"299","Number of Farms with Cattle (Thousand)","1999","Cattle","3-4",4.8
"300","Number of Cattle (Thousand)","1999","Cattle","3-4",18.5
"301","Number of Farms with Cattle (Thousand)","2001","Cattle","3-4",4.8
"302","Number of Cattle (Thousand)","2001","Cattle","3-4",17
"303","Number of Farms with Cattle (Thousand)","2003","Cattle","3-4",4.9
"304","Number of Cattle (Thousand)","2003","Cattle","3-4",17.9
"305","Number of Farms with Cattle (Thousand)","2005","Cattle","3-4",3.8
"306","Number of Cattle (Thousand)","2005","Cattle","3-4",12.7
"307","Number of Farms with Cattle (Thousand)","1973","Cows","3-4",37.9
"308","Number of Cattle (Thousand)","1973","Cows","3-4",131.6
"309","Number of Farms with Cattle (Thousand)","1975","Cows","3-4",37.9
"310","Number of Cattle (Thousand)","1975","Cows","3-4",132.6
"311","Number of Farms with Cattle (Thousand)","1977","Cows","3-4",32
"312","Number of Cattle (Thousand)","1977","Cows","3-4",111.4
"313","Number of Farms with Cattle (Thousand)","1979","Cows","3-4",30.2
"314","Number of Cattle (Thousand)","1979","Cows","3-4",104.7
"315","Number of Farms with Cattle (Thousand)","1981","Cows","3-4",26.7
"316","Number of Cattle (Thousand)","1981","Cows","3-4",92.5
"317","Number of Farms with Cattle (Thousand)","1983","Cows","3-4",26.1
"318","Number of Cattle (Thousand)","1983","Cows","3-4",90.7
"319","Number of Farms with Cattle (Thousand)","1985","Cows","3-4",23.8
"320","Number of Cattle (Thousand)","1985","Cows","3-4",82.5
"321","Number of Farms with Cattle (Thousand)","1987","Cows","3-4",21.7
"322","Number of Cattle (Thousand)","1987","Cows","3-4",76
"323","Number of Farms with Cattle (Thousand)","1989","Cows","3-4",23.3
"324","Number of Cattle (Thousand)","1989","Cows","3-4",81.1
"325","Number of Farms with Cattle (Thousand)","1991","Cows","3-4",15.7
"326","Number of Cattle (Thousand)","1991","Cows","3-4",54.9
"327","Number of Farms with Cattle (Thousand)","1993","Cows","3-4",13.8
"328","Number of Cattle (Thousand)","1993","Cows","3-4",49.8
"329","Number of Farms with Cattle (Thousand)","1995","Cows","3-4",12.6
"330","Number of Cattle (Thousand)","1995","Cows","3-4",47.2
"331","Number of Farms with Cattle (Thousand)","1997","Cows","3-4",11.6
"332","Number of Cattle (Thousand)","1997","Cows","3-4",44.5
"333","Number of Farms with Cattle (Thousand)","1999","Cows","3-4",10
"334","Number of Cattle (Thousand)","1999","Cows","3-4",49.2
"335","Number of Farms with Cattle (Thousand)","2001","Cows","3-4",8.8
"336","Number of Cattle (Thousand)","2001","Cows","3-4",40.7
"337","Number of Farms with Cattle (Thousand)","2003","Cows","3-4",8.2
"338","Number of Cattle (Thousand)","2003","Cows","3-4",39.2
"339","Number of Farms with Cattle (Thousand)","2005","Cows","3-4",7.4
"340","Number of Cattle (Thousand)","2005","Cows","3-4",33.4
"341","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","3-4",21.7
"342","Number of Cattle (Thousand)","1973","Dairy Cows","3-4",74.4
"343","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","3-4",18.2
"344","Number of Cattle (Thousand)","1975","Dairy Cows","3-4",61.8
"345","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","3-4",13.8
"346","Number of Cattle (Thousand)","1977","Dairy Cows","3-4",48
"347","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","3-4",11.4
"348","Number of Cattle (Thousand)","1979","Dairy Cows","3-4",39.6
"349","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","3-4",9
"350","Number of Cattle (Thousand)","1981","Dairy Cows","3-4",31.2
"351","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","3-4",7.3
"352","Number of Cattle (Thousand)","1983","Dairy Cows","3-4",25.3
"353","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","3-4",5.9
"354","Number of Cattle (Thousand)","1985","Dairy Cows","3-4",20.5
"355","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","3-4",4.3
"356","Number of Cattle (Thousand)","1987","Dairy Cows","3-4",15.2
"357","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","3-4",2.1
"358","Number of Cattle (Thousand)","1989","Dairy Cows","3-4",7.4
"359","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","3-4",1.9
"360","Number of Cattle (Thousand)","1991","Dairy Cows","3-4",6.6
"361","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","3-4",1.5
"362","Number of Cattle (Thousand)","1993","Dairy Cows","3-4",5.3
"363","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","3-4",1.2
"364","Number of Cattle (Thousand)","1995","Dairy Cows","3-4",4.3
"365","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","3-4",0.9
"366","Number of Cattle (Thousand)","1997","Dairy Cows","3-4",3.1
"367","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","3-4",0.8
"368","Number of Cattle (Thousand)","1999","Dairy Cows","3-4",2.8
"369","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","3-4",0.5
"370","Number of Cattle (Thousand)","2001","Dairy Cows","3-4",1.6
"371","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","3-4",0.5
"372","Number of Cattle (Thousand)","2003","Dairy Cows","3-4",1.8
"373","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","3-4",0.4
"374","Number of Cattle (Thousand)","2005","Dairy Cows","3-4",1.2
"375","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","3-4",22
